land,population,continent,deathrate,datum
Kuwait,4210000,Asien,0.102,datum[1,1]
Angola,31830000,Afrika,0.094,datum[1,1]
Ruanda,12630000,Afrika,0.09,datum[1,1]
Algerien,43050000,Afrika,0.086,datum[1,1]
Bahrain,1640000,Asien,0.085,datum[1,1]
Japan,126260000,Asien,0.079,datum[1,1]
Kenia,52570000,Afrika,0.076,datum[1,1]
Usbekistan,33580000,Asien,0.072,datum[1,1]
Afghanistan,38040000,Asien,0.071,datum[1,1]
Saudi-Arabien,34270000,Asien,0.062,datum[1,1]
Gambia,2350000,Afrika,0.06,datum[1,1]
Pakistan,216570000,Asien,0.057,datum[1,1]
Uganda,44270000,Afrika,0.052,datum[1,1]
Haiti,11260000,Nordamerika,0.051,datum[1,1]
Katar,2830000,Asien,0.049,datum[1,1]
Bangladesch,163050000,Asien,0.044,datum[1,1]
Senegal,16300000,Afrika,0.044,datum[1,1]
Niger,23310000,Afrika,0.037,datum[1,1]
Togo,8080000,Afrika,0.036,datum[1,1]
Nigeria,200960000,Afrika,0.033,datum[1,1]
Mauretanien,4530000,Afrika,0.031,datum[1,1]
Liberia,4940000,Afrika,0.028,datum[1,1]
Ghana,30420000,Afrika,0.023,datum[1,1]
Mali,19660000,Afrika,0.022,datum[1,1]
Nicaragua,6550000,Nordamerika,0.021,datum[1,1]
Sambia,17860000,Afrika,0.016,datum[1,1]
Madagaskar,26970000,Afrika,0.016,datum[1,1]
Elfenbeinküste,25720000,Afrika,0.011,datum[1,1]
Mosambik,30370000,Afrika,0.01,datum[1,1]
Malawi,18630000,Afrika,0.008,datum[1,1]
Tansania,58010000,Afrika,0.002,datum[1,1]
Äquatorialguinea,1360000,Afrika,0,datum[1,1]
Guinea Bissau,1920000,Afrika,0,datum[1,1]
Zentralafr. Republik,4750000,Afrika,0,datum[1,1]
Sierra Leone,7810000,Afrika,0,datum[1,1]
Tadschikistan,9320000,Asien,0,datum[1,1]
Tschad,15950000,Afrika,0,datum[1,1]
Guinea,12770000,Afrika,0,datum[1,1]
Südsudan,11060000,Afrika,0,datum[1,1]
Neuseeland,4920000,Asien,0,datum[1,1]
Kongo,86790000,Afrika,0,datum[1,1]
Benin,11800000,Afrika,0,datum[1,1]
Burkina Faso,20320000,Afrika,0,datum[1,1]
China,1397720000,Asien,0,datum[1,1]
Burundi,11530000,Afrika,0,datum[1,1]
Mikronesien,113815,Asien,0,datum[1,1]
Samoa,197097,Asien,0,datum[1,1]
