"Kreis","Typ","Bundesland","Einwohner","Tote","Infizierte","Fälle.pro.100.000","Neuinfektionen.pro.100.000","Neuinfektionen","Tote.in.7.Tagen","hc.key","lat","lon"
"Unstrut-Hainich-Kreis","Landkreis","Thüringen","101698",331,12539,12329.6,907.6,923,0,"de-th-16064000","51.185238708","10.551795561"
"Kyffhäuserkreis","Landkreis","Thüringen","73522",169,8442,11482.3,768.5,565,1,"de-th-16065000","51.3247630758","10.9848331992"
"Schmalkalden-Meiningen","Landkreis","Thüringen","124241",476,19550,15735.5,1056.8,1313,1,"de-th-16066000","50.6307076864","10.4050434075"
"Gotha","Landkreis","Thüringen","134563",264,18966,14094.5,786.2,1058,2,"de-th-16067000","50.9106605802","10.6937627152"
"Sömmerda","Landkreis","Thüringen","69107",161,8529,12341.7,735.1,508,0,"de-th-16068000","51.1578080643","11.1547511823"
"Hildburghausen","Landkreis","Thüringen","62656",320,11406,18204.2,1473.1,923,1,"de-th-16069000","50.4340027482","10.7340904102"
"Ilm-Kreis","Landkreis","Thüringen","105606",329,14374,13611,1296.3,1369,7,"de-th-16070000","50.7379337622","10.9663574908"
"Weimarer Land","Landkreis","Thüringen","82291",95,9258,11250.3,941.8,775,0,"de-th-16071000","50.9715719951","11.3735532667"
"Sonneberg","Landkreis","Thüringen","57044",230,9223,16168.2,1020.3,582,0,"de-th-16072000","50.4146305494","11.1329526551"
"Saalfeld-Rudolstadt","Landkreis","Thüringen","102139",377,14758,14448.9,1292.4,1320,2,"de-th-16073000","50.637797959","11.3091162493"
"Saale-Holzland-Kreis","Landkreis","Thüringen","82816",171,10701,12921.4,958.8,794,1,"de-th-16074000","50.904172137","11.7315307817"
"Saale-Orla-Kreis","Landkreis","Thüringen","79632",242,13045,16381.6,921.7,734,1,"de-th-16075000","50.5808480206","11.7105737336"
"Greiz","Landkreis","Thüringen","96668",269,13770,14244.6,648.6,627,0,"de-th-16076000","50.7484595538","12.0740705739"
"Altenburger Land","Landkreis","Thüringen","88356",352,12886,14584.2,720.9,637,1,"de-th-16077000","50.9564246614","12.3991313423"
