"Kreis","Typ","Bundesland","Einwohner","Tote","Infizierte","Fälle.pro.100.000","Neuinfektionen.pro.100.000","Neuinfektionen","Tote.in.7.Tagen","hc.key","lat","lon"
"Mönchengladbach","Kreisfreie Stadt","Nordrhein-Westfalen","259665",265,18540,7140,134,348,0,"de-nw-05116000","51.1671935981","6.41197447381"
"Mülheim an der Ruhr","Kreisfreie Stadt","Nordrhein-Westfalen","170921",258,12254,7169.4,150.9,258,0,"de-nw-05117000","51.4137814936","6.878461621"
"Oberhausen","Kreisfreie Stadt","Nordrhein-Westfalen","209566",396,15923,7598.1,271,568,1,"de-nw-05119000","51.5131313527","6.84712049817"
"Remscheid","Kreisfreie Stadt","Nordrhein-Westfalen","111516",203,9247,8292.1,395.5,441,2,"de-nw-05120000","51.1826933037","7.22411565185"
"Solingen","Kreisfreie Stadt","Nordrhein-Westfalen","159193",231,13991,8788.7,256.9,409,0,"de-nw-05122000","51.1624551579","7.06606973298"
"Wuppertal","Kreisfreie Stadt","Nordrhein-Westfalen","355004",527,32556,9170.6,352.1,1250,1,"de-nw-05124000","51.2506036112","7.16893008228"
"Kleve","Kreis","Nordrhein-Westfalen","313586",251,18806,5997.1,222.9,699,0,"de-nw-05154000","51.6523631313","6.25880908496"
"Mettmann","Kreis","Nordrhein-Westfalen","484322",841,38184,7884,315.9,1530,1,"de-nw-05158000","51.2571043543","6.96906518309"
"Rhein-Kreis Neuss","Kreis","Nordrhein-Westfalen","452001",407,29916,6618.6,181.6,821,0,"de-nw-05162000","51.1435712356","6.64932316692"
"Viersen","Kreis","Nordrhein-Westfalen","298536",340,18408,6166.1,245.5,733,1,"de-nw-05166000","51.2828202383","6.32612051327"
"Wesel","Kreis","Nordrhein-Westfalen","460113",343,27541,5985.7,186,856,0,"de-nw-05170000","51.6270425398","6.61836262868"
"Bonn","Kreisfreie Stadt","Nordrhein-Westfalen","330579",293,23280,7042.2,191.2,632,0,"de-nw-05314000","50.7057346173","7.10983940994"
"Köln","Kreisfreie Stadt","Nordrhein-Westfalen","1083498",853,92616,8547.9,289.1,3132,2,"de-nw-05315000","50.9456668791","6.97321855167"
"Leverkusen","Kreisfreie Stadt","Nordrhein-Westfalen","163905",131,13945,8508,260.5,427,0,"de-nw-05316000","51.0530662603","7.01547411084"
"Städteregion Aachen","Kreis","Nordrhein-Westfalen","556631",650,41135,7390,200.5,1116,0,"de-nw-05334000","50.7275046127","6.21672721805"
"Düren","Kreis","Nordrhein-Westfalen","265140",332,20221,7626.5,226.3,600,2,"de-nw-05358000","50.8178950546","6.44556160998"
"Rhein-Erft-Kreis","Kreis","Nordrhein-Westfalen","469611",448,33080,7044.1,242.3,1138,1,"de-nw-05362000","50.9049330282","6.71649101914"
"Euskirchen","Kreis","Nordrhein-Westfalen","194359",264,12762,6566.2,250.1,486,0,"de-nw-05366000","50.5364731669","6.6441519123"
"Heinsberg","Kreis","Nordrhein-Westfalen","256458",427,18790,7326.7,283.5,727,0,"de-nw-05370000","51.0493489074","6.16411292416"
"Oberbergischer Kreis","Kreis","Nordrhein-Westfalen","271699",308,24384,8974.6,333.8,907,0,"de-nw-05374000","51.0127091971","7.51662881723"
"Rheinisch-Bergischer Kreis","Kreis","Nordrhein-Westfalen","283275",199,18337,6473.2,240.8,682,0,"de-nw-05378000","51.0230044262","7.19484653806"
"Rhein-Sieg-Kreis","Kreis","Nordrhein-Westfalen","600375",622,38898,6479,196.9,1182,1,"de-nw-05382000","50.7606389137","7.23457302819"
"Bottrop","Kreisfreie Stadt","Nordrhein-Westfalen","117388",139,8192,6978.6,159.3,187,0,"de-nw-05512000","51.5716938262","6.9201161778"
"Gelsenkirchen","Kreisfreie Stadt","Nordrhein-Westfalen","259105",473,23513,9074.7,211.9,549,1,"de-nw-05513000","51.5539564213","7.07124023772"
"Münster","Kreisfreie Stadt","Nordrhein-Westfalen","316403",139,13584,4293.3,110.6,350,0,"de-nw-05515000","51.954316786","7.62364679497"
"Borken","Kreis","Nordrhein-Westfalen","371898",307,22242,5980.7,188.5,701,2,"de-nw-05554000","51.9613198354","6.89961561244"
"Coesfeld","Kreis","Nordrhein-Westfalen","220712",104,8887,4026.5,157.7,348,0,"de-nw-05558000","51.8668510417","7.36601223345"
"Recklinghausen","Kreis","Nordrhein-Westfalen","613599",1069,45909,7481.9,231.7,1422,0,"de-nw-05562000","51.6724839158","7.15924893893"
"Steinfurt","Kreis","Nordrhein-Westfalen","448197",377,27560,6149.1,241.4,1082,0,"de-nw-05566000","52.2115366779","7.57944671253"
