datum,covid,frei
2020-07-10,276,10689
2020-07-11,253,10671
2020-07-12,254,10647
2020-07-13,263,10643
2020-07-14,256,10613
2020-07-15,246,10562
2020-07-16,251,10525
2020-07-17,246,10504
2020-07-18,246,10490
2020-07-19,249,10470
2020-07-20,245,10427
2020-07-21,251,10422
2020-07-22,248,10435
2020-07-23,234,10452
2020-07-24,235,10448
2020-07-25,247,10431
2020-07-26,265,10420
2020-07-27,257,10420
2020-07-28,253,10400
2020-07-29,255,10384
2020-07-30,260,10382
2020-07-31,259,10387
2020-08-01,255,10393
2020-08-02,267,10395
2020-08-03,263,10396
2020-08-04,258,10154
2020-08-05,238,9884
2020-08-06,236,9593
2020-08-07,226,9305
2020-08-08,228,9013
2020-08-09,234,8717
2020-08-10,227,8396
2020-08-11,230,8299
2020-08-12,220,8244
2020-08-13,223,8168
2020-08-14,230,8093
2020-08-15,228,8032
2020-08-16,224,7980
2020-08-17,226,7951
2020-08-18,219,7953
2020-08-19,226,7953
2020-08-20,229,7972
2020-08-21,235,7992
2020-08-22,230,8023
2020-08-23,242,8046
2020-08-24,243,8090
2020-08-25,223,8121
2020-08-26,225,8143
2020-08-27,238,8186
2020-08-28,234,8221
2020-08-29,239,8212
2020-08-30,243,8207
2020-08-31,244,8187
2020-09-01,233,8171
2020-09-02,226,8166
2020-09-03,221,8145
2020-09-04,223,8140
2020-09-05,220,8139
2020-09-06,216,8149
2020-09-07,227,8141
2020-09-08,229,8115
2020-09-09,225,8089
2020-09-10,230,8055
2020-09-11,218,8001
2020-09-12,231,7979
2020-09-13,234,7944
2020-09-14,233,7942
2020-09-15,232,7931
2020-09-16,228,7908
2020-09-17,234,7882
2020-09-18,243,7886
2020-09-19,253,7904
2020-09-20,265,7914
2020-09-21,265,7911
2020-09-22,274,7924
2020-09-23,289,7941
2020-09-24,291,7971
2020-09-25,297,7975
2020-09-26,309,7948
2020-09-27,324,7947
2020-09-28,352,7955
2020-09-29,351,7957
2020-09-30,354,7954
2020-10-01,360,7949
2020-10-02,370,7952
2020-10-03,401,7958
2020-10-04,422,7945
2020-10-05,444,7930
2020-10-06,448,7921
2020-10-07,470,7887
2020-10-08,487,7856
2020-10-09,510,7836
2020-10-10,531,7838
2020-10-11,545,7845
2020-10-12,589,7826
2020-10-13,617,7835
2020-10-14,601,7865
2020-10-15,651,7894
2020-10-16,688,7906
2020-10-17,726,7899
2020-10-18,766,7898
2020-10-19,846,7909
2020-10-20,875,7900
2020-10-21,940,7868
2020-10-22,1025,7797
2020-10-23,1116,7674
2020-10-24,1193,7550
2020-10-25,1286,7416
2020-10-26,1352,7273
2020-10-27,1462,7106
2020-10-28,1563,6972
2020-10-29,1689,6879
2020-10-30,1832,6851
2020-10-31,1935,6831
2020-11-02,2234,6768
2020-11-03,2374,6610
2020-11-04,2542,6526
2020-11-05,2647,6439
2020-11-06,2745,6368
2020-11-07,2830,6295
2020-11-08,2897,6255
2020-11-09,3001,6187
2020-11-10,3053,6124
2020-11-11,3118,6053
2020-11-12,3177,5989
2020-11-13,3289,5878
2020-11-14,3315,5784
2020-11-15,3376,5675
2020-11-16,3425,5584
2020-11-17,3507,5517
2020-11-18,3551,5449
2020-11-19,3581,5405
2020-11-20,3603,5372
2020-11-21,3621,5331
2020-11-22,3696,5305
2020-11-23,3726,5267
2020-11-24,3758,5204
2020-11-25,3769,5151
2020-11-26,3815,5070
2020-11-27,3846,4975
2020-11-28,3880,4897
2020-11-29,3891,4808
2020-11-30,3916,4724
2020-12-01,3912,4658
2020-12-02,3949,4596
2020-12-03,3971,4552
2020-12-04,4001,4515
2020-12-05,4038,4458
2020-12-06,4097,4409
2020-12-07,4167,4345
2020-12-08,4238,4277
2020-12-09,4259,4216
2020-12-10,4319,4146
2020-12-11,4414,4091
2020-12-12,4475,4059
2020-12-13,4541,4012
2020-12-14,4661,3958
2020-12-15,4722,3921
2020-12-16,4820,3877
2020-12-17,4839,3861
2020-12-18,4889,3848
2020-12-19,4930,3831
2020-12-20,5018,3811
2020-12-21,5157,3783
2020-12-22,5202,3794
2020-12-23,5226,3837
2020-12-24,5330,3891
2020-12-25,5364,3983
2020-12-26,5520,4041
2020-12-27,5546,4049
2020-12-28,5582,4066
2020-12-29,5637,4056
2020-12-30,5630,4038
2020-12-31,5622,3999
2021-01-01,5583,3940
2021-01-02,5703,3881
2021-01-03,5745,3820
2021-01-04,5723,3781
2021-01-05,5650,3758
2021-01-06,5552,3722
2021-01-07,5474,3687
2021-01-08,5467,3626
2021-01-09,5398,3596
2021-01-10,5300,3635
2021-01-11,5267,3652
2021-01-12,5209,3659
2021-01-13,5164,3662
2021-01-14,5104,3649
2021-01-15,5050,3652
2021-01-16,4992,3651
2021-01-17,4950,3652
2021-01-18,4984,3658
2021-01-19,4930,3643
2021-01-20,4816,3628
2021-01-21,4767,3614
2021-01-22,4749,3588
2021-01-23,4639,3579
2021-01-24,4607,3557
2021-01-25,4604,3552
2021-01-26,4559,3554
2021-01-27,4487,3538
2021-01-28,4428,3551
2021-01-29,4367,3570
2021-01-30,4342,3586
2021-01-31,4337,3597
2021-02-01,4313,3589
2021-02-02,4252,3595
2021-02-03,4207,3605
2021-02-04,4170,3603
2021-02-05,4066,3607
2021-02-06,3958,3616
2021-02-07,3926,3643
2021-02-08,3951,3658
2021-02-09,3840,3673
2021-02-10,3732,3707
2021-02-11,3668,3740
2021-02-12,3546,3781
2021-02-13,3479,3801
2021-02-14,3417,3808
2021-02-15,3426,3826
2021-02-16,3342,3827
2021-02-17,3239,3829
2021-02-18,3169,3830
2021-02-19,3114,3810
2021-02-20,3068,3793
2021-02-21,3049,3776
2021-02-22,3053,3769
2021-02-23,3030,3768
2021-02-24,2950,3755
2021-02-25,2891,3740
2021-02-26,2841,3743
2021-02-27,2820,3760
2021-02-28,2834,3782
2021-03-01,2862,3802
2021-03-02,2849,3805
2021-03-03,2816,3831
2021-03-04,2805,3854
2021-03-05,2756,3862
2021-03-06,2746,3877
2021-03-07,2779,3887
2021-03-08,2857,3891
2021-03-09,2776,3918
2021-03-10,2727,3909
2021-03-11,2748,3897
2021-03-12,2747,3885
2021-03-13,2713,3867
2021-03-14,2767,3848
2021-03-15,2825,3839
2021-03-16,2844,3809
2021-03-17,2849,3794
2021-03-18,2887,3775
2021-03-19,2938,3757
2021-03-20,2945,3742
2021-03-21,3044,3738
2021-03-22,3139,3715
2021-03-23,3156,3690
2021-03-24,3196,3666
2021-03-25,3249,3647
2021-03-26,3322,3620
2021-03-27,3379,3574
2021-03-28,3444,3536
2021-03-29,3559,3520
2021-03-30,3588,3520
2021-03-31,3668,3506
2021-04-01,3719,3497
2021-04-02,3839,3533
2021-04-03,3905,3601
2021-04-04,4047,3609
2021-04-05,4152,3598
2021-04-06,4342,3586
2021-04-07,4428,3558
2021-04-08,4461,3510
2021-04-09,4501,3422
2021-04-10,4517,3314
2021-04-11,4566,3245
2021-04-12,4642,3173
2021-04-13,4668,3099
2021-04-14,4653,3065
2021-04-15,4658,3061
2021-04-16,4714,3059
2021-04-17,4760,3060
2021-04-18,4818,3054
2021-04-19,4910,3066
2021-04-20,4951,3074
2021-04-21,4970,3067
2021-04-22,5034,3049
2021-04-23,5037,3039
2021-04-24,5008,3020
2021-04-25,5040,2996
2021-04-26,5106,2968
2021-04-27,5050,2952
2021-04-28,5033,2938
2021-04-29,5019,2927
2021-04-30,5011,2907
2021-05-01,4998,2894
2021-05-02,5018,2880
2021-05-03,4997,2879
2021-05-04,4945,2879
2021-05-05,4829,2876
2021-05-06,4756,2889
2021-05-07,4662,2898
2021-05-08,4596,2919
2021-05-09,4569,2944
2021-05-10,4571,2932
2021-05-11,4449,2929
2021-05-12,4361,2938
2021-05-13,4244,2961
2021-05-14,4172,3047
2021-05-15,4084,3086
2021-05-16,4054,3114
2021-05-17,4002,3168
2021-05-18,3864,3203
2021-05-19,3693,3230
2021-05-20,3579,3230
2021-05-21,3460,3184
2021-05-22,3344,3176
2021-05-23,3291,3203
2021-05-24,3222,3256
2021-05-25,3165,3348
2021-05-26,2990,3399
2021-05-27,2826,3446
2021-05-28,2696,3504
2021-05-29,2589,3558
2021-05-30,2512,3588
2021-05-31,2446,3589
2021-06-01,2285,3565
2021-06-02,2144,3575
2021-06-03,2029,3600
2021-06-04,1962,3634
2021-06-05,1889,3648
2021-06-06,1846,3659
2021-06-07,1789,3684
2021-06-08,1693,3685
2021-06-09,1591,3694
2021-06-10,1499,3691
2021-06-11,1413,3666
2021-06-12,1336,3651
2021-06-13,1329,3645
2021-06-14,1273,3632
2021-06-15,1202,3642
2021-06-16,1130,3655
2021-06-17,1065,3667
2021-06-18,1006,3663
2021-06-19,961,3672
2021-06-20,927,3683
2021-06-21,885,3674
2021-06-22,845,3650
2021-06-23,807,3626
2021-06-24,776,3610
2021-06-25,731,3607
2021-06-26,712,3608
2021-06-27,701,3603
2021-06-28,683,3625
2021-06-29,660,3651
2021-06-30,611,3679
2021-07-01,588,3714
2021-07-02,563,3737
2021-07-03,546,3760
2021-07-04,545,3777
2021-07-05,524,3798
2021-07-06,506,3817
2021-07-07,482,3827
2021-07-08,467,3830
2021-07-09,450,3829
2021-07-10,433,3830
2021-07-11,430,3839
2021-07-12,433,3849
2021-07-13,404,3836
2021-07-14,394,3829
2021-07-15,393,3805
2021-07-16,376,3794
2021-07-17,369,3773
2021-07-18,369,3760
2021-07-19,363,3745
2021-07-20,357,3739
2021-07-21,353,3734
2021-07-22,350,3748
2021-07-23,353,3751
2021-07-24,351,3753
2021-07-25,367,3747
2021-07-26,365,3733
2021-07-27,367,3739
2021-07-28,352,3722
2021-07-29,344,3703
2021-07-30,349,3697
2021-07-31,357,3688
2021-08-01,360,3670
2021-08-02,374,3675
2021-08-03,375,3679
2021-08-04,389,3711
2021-08-05,384,3733
2021-08-06,390,3732
2021-08-07,410,3719
2021-08-08,429,3707
2021-08-09,451,3695
2021-08-10,438,3705
2021-08-11,450,3700
2021-08-12,468,3703
2021-08-13,476,3717
2021-08-14,484,3745
2021-08-15,512,3772
2021-08-16,541,3768
2021-08-17,571,3763
2021-08-18,594,3765
2021-08-19,617,3751
2021-08-20,647,3736
2021-08-21,677,3726
2021-08-22,707,3717
2021-08-23,770,3718
2021-08-24,800,3689
2021-08-25,832,3680
2021-08-26,863,3663
2021-08-27,919,3659
2021-08-28,965,3644
2021-08-29,1003,3621
2021-08-30,1062,3608
2021-08-31,1091,3610
2021-09-01,1129,3584
2021-09-02,1161,3577
2021-09-03,1208,3559
2021-09-04,1251,3528
2021-09-05,1278,3499
2021-09-06,1315,3471
2021-09-07,1341,3435
2021-09-08,1379,3402
2021-09-10,1401,3352
2021-09-11,1424,3332
2021-09-12,1441,3344
2021-09-13,1490,3343
2021-09-14,1530,3275
2021-09-15,1519,3242
2021-09-16,1539,3216
2021-09-17,1534,3219
2021-09-18,1516,3236
2021-09-19,1526,3250
2021-09-20,1532,3262
2021-09-21,1495,3288
2021-09-22,1492,3300
2021-09-23,1451,3330
2021-09-24,1424,3344
2021-09-25,1427,3356
2021-09-26,1427,3347
2021-09-27,1424,3333
2021-09-28,1403,3318
2021-09-29,1351,3316
2021-09-30,1342,3299
2021-10-01,1344,3285
2021-10-02,1320,3257
2021-10-03,1320,3255
2021-10-04,1336,3261
2021-10-05,1348,3249
2021-10-06,1347,3242
2021-10-07,1364,3236
2021-10-08,1343,3227
2021-10-09,1333,3219
2021-10-10,1337,3213
2021-10-11,1346,3187
2021-10-12,1375,3176
2021-10-13,1394,3152
2021-10-14,1389,3146
2021-10-15,1396,3136
2021-10-16,1400,3138
2021-10-17,1414,3118
2021-10-18,1451,3110
2021-10-19,1467,3093
2021-10-20,1472,3086
2021-10-21,1525,3045
2021-10-22,1531,3005
2021-10-23,1593,2965
2021-10-24,1617,2932
2021-10-25,1671,2889
2021-10-26,1695,2865
2021-10-27,1758,2817
2021-10-28,1802,2801
2021-10-29,1862,2784
2021-10-30,1929,2758
2021-10-31,1978,2739
2021-11-01,2054,2726
2021-11-02,2132,2716
2021-11-03,2220,2719
2021-11-04,2326,2705
2021-11-05,2411,2689
2021-11-06,2441,2681
2021-11-07,2533,2663
2021-11-08,2613,2653
2021-11-09,2678,2624
2021-11-10,2732,2605
2021-11-11,2818,2603
2021-11-12,2852,2604
2021-11-13,2925,2588
2021-11-14,3021,2572
2021-11-15,3177,2545
2021-11-16,3271,2539
2021-11-17,3362,2535
2021-11-18,3412,2528
2021-11-19,3495,2527
2021-11-20,3547,2526
2021-11-21,3660,2539
2021-11-22,3833,2539
2021-11-23,3971,2526
2021-11-24,4053,2511
2021-11-25,4182,2494
2021-11-26,4302,2467
2021-11-27,4353,2446
2021-11-28,4451,2416
2021-11-29,4581,2383
2021-11-30,4622,2379
2021-12-01,4668,2382
2021-12-02,4778,2370
2021-12-03,4773,2360
2021-12-04,4781,2352
2021-12-05,4802,2351
2021-12-06,4879,2352
2021-12-07,4918,2347
2021-12-09,4914,2328
2021-12-10,4917,2327
2021-12-11,4876,2346
2021-12-12,4876,2362
2021-12-13,4894,2355
2021-12-14,4862,2332
2021-12-15,4792,2329
2021-12-16,4736,2358
2021-12-17,4653,2388
2021-12-18,4631,2425
2021-12-19,4607,2469
2021-12-20,4583,2511
2021-12-21,4529,2546
