id,wahlkreis2021,berechtigt2021,gültig2021,SPD2021,CDU2021,Grüne2021,FDP2021,Linke2021,AfD2021,partei2021,max2021,berechtigt2016,gültig2016,SPD2016,CDU2016,Grüne2016,FDP2016,Linke2016,AfD2016,partei2016,max2016
25,Schwäbisch Gmünd,108098,68777,10.8,25.8,30.1,10.8,3.4,12,Grüne,3,107859,75656,13.6,31.4,25.6,7.1,2.8,16.2,CDU,2
26,Aalen,122402,77425,10,29.8,25,9.1,2.7,9.5,CDU,2,122026,85209,12,35.4,25.9,6.2,3.1,14.5,CDU,2
27,Karlsruhe I,103423,65773,11.8,17.5,39.1,8.2,6.9,6.7,Grüne,3,103271,72971,13.2,21.2,36.2,7.7,4.8,12,Grüne,3
28,Karlsruhe II,101847,59769,12,18.4,38.6,7.3,6.7,7.5,Grüne,3,102308,68497,13.4,21,35.1,6.7,4.9,13.9,Grüne,3
29,Bruchsal,112897,71257,11.8,27.1,26.3,9.7,2.6,13.2,CDU,2,113214,79405,11.9,30,24.2,8.2,2.4,19.7,CDU,2
30,Bretten,114197,74479,10.8,23,32,11.4,2.8,11.2,Grüne,3,113901,81292,12.1,27.2,27.5,8.3,2.2,18.5,Grüne,3
31,Ettlingen,94043,63099,11.8,24.2,33.5,10.2,2.8,9.5,Grüne,3,94772,69372,13.8,28.8,29.5,8.5,2.5,14.1,Grüne,3
32,Rastatt,113287,67045,13.6,23.8,30.4,8,2.8,12.6,Grüne,3,113868,75647,17.6,25.6,26.4,6.2,2.3,17.6,Grüne,3
33,Baden-Baden,90818,57180,11.1,27.8,32.6,8.8,2.7,8.9,Grüne,3,91743,62418,10,29.3,32.7,8.5,2.4,14.5,Grüne,3
34,Heidelberg,98968,66268,12.7,15.3,41.7,7,8.4,5.2,Grüne,3,98081,68530,12.1,19.2,41,8,6.1,10.9,Grüne,3
35,Mannheim I,91398,46414,21.7,15.2,27.8,6.7,6.2,12.7,Grüne,3,91837,53384,22.2,17.2,21.9,6,5.1,23,AfD,6
36,Mannheim II,104559,64222,15.9,16.7,35.9,9.3,5.5,7.9,Grüne,3,104833,68341,16.8,20.9,31.4,8.4,4.5,14.4,Grüne,3
37,Wiesloch,99366,62455,12.1,26.6,29.7,9.4,2.8,11.2,Grüne,3,99908,70140,12.3,28.4,28.2,7.4,2.6,18.6,CDU,2
38,Neckar-Odenwald,107925,66449,12.2,31.6,23.7,7.9,2.4,12.3,CDU,2,108962,73725,15.2,34.2,19.7,7,2.3,18,CDU,2
39,Weinheim,107170,71659,13.4,22.6,35.6,8.6,3.6,7.9,Grüne,3,107402,78258,15.3,25.8,29.2,8.8,3,15.2,Grüne,3
40,Schwetzingen,92364,56644,14.8,23.6,31.3,8.2,3.1,10.4,Grüne,3,92617,64507,15.4,25,26.6,7,3,19.1,Grüne,3
41,Sinsheim,96488,60640,13.8,25.9,29.3,9.1,2.9,11,Grüne,3,97608,68601,15,26.6,26.8,7.7,2.7,18,Grüne,3
42,Pforzheim,91744,49157,10.1,20.1,26.2,16.1,3.3,15.8,Grüne,3,94642,60129,11.4,22.4,24.1,10.6,3.4,24.2,AfD,6
43,Calw,111854,70682,7.8,28.8,27.1,10,2.7,13.5,CDU,2,110797,78066,11.6,31.5,24.3,8.1,2.2,19.1,CDU,2
44,Enz,124894,82168,9.6,19.5,30.9,16.9,2.3,12.9,Grüne,3,124758,91867,12.3,24.7,26.9,10.4,2,19.2,Grüne,3
45,Freudenstadt,86151,53155,8.4,27.3,24.7,14.9,2.2,13.2,CDU,2,86449,59459,10.8,30.3,21.3,13.5,1.9,17.6,CDU,2
46,Freiburg I,125235,87912,11.2,19.4,40.2,7.5,6.8,5.1,Grüne,3,125440,91476,11.7,25.6,38.9,7.5,4.8,8.4,Grüne,3
47,Freiburg II,125819,80792,12.7,13.3,40.3,5.9,11.2,5.8,Grüne,3,124903,85828,13.8,17.2,40.5,6.1,7.7,10.6,Grüne,3
48,Breisgau,128592,84515,10.3,23.9,37.7,9,3.7,7,Grüne,3,126484,90467,12.2,27.8,35.1,7.4,2.6,11.5,Grüne,3
49,Emmendingen,123105,79449,11.5,21.8,36.2,10.1,3.4,7.2,Grüne,3,122345,86446,13.4,24.5,35.5,7.5,2.7,11.6,Grüne,3
50,Lahr,109718,66346,10.4,24.5,33.1,10.2,2.6,10,Grüne,3,109901,71660,13,28,30.7,6.7,2.4,15,Grüne,3
51,Offenburg,99374,60925,8.6,25.4,36.8,8.9,2.9,8.3,Grüne,3,99217,67124,10.6,28.4,33.7,7.4,2.2,14.1,Grüne,3
52,Kehl,105368,64090,8.7,27.1,31.4,9.4,2.6,9.7,Grüne,3,105364,69206,12.2,30.8,28.8,8.1,2.3,15,CDU,2
53,Rottweil,102197,65074,7.3,26.7,26,16.2,2.6,12.8,CDU,2,102909,70953,8.6,33,26,8.5,1.9,16.4,CDU,2
54,Villingen-Schwenningen,118882,71339,9.1,22.5,34.6,12.2,2.4,11.3,Grüne,3,121156,81425,10,29,31.6,7.9,2,14.8,Grüne,3
55,Tuttlingen-Donaueschingen,123423,73569,6.9,29.3,28.1,13.4,2.6,12.9,CDU,2,124057,84491,8.8,33.7,27,8.3,2.1,15.9,CDU,2
56,Konstanz,101238,63667,8.4,18.2,42.1,12.1,5.4,5.8,Grüne,3,101097,71101,12.2,22.6,39.6,9.1,3.9,9.4,Grüne,3
57,Singen,101317,58715,12.3,21.5,32.1,11.7,3,11.3,Grüne,3,101365,66809,12.8,27.8,28.8,8.3,2.2,15.7,Grüne,3
58,Lörrach,123515,73437,12.6,21.4,35.8,10.3,3,7.9,Grüne,3,125929,80784,16.7,25.2,31.7,6.5,2.7,13.2,Grüne,3
59,Waldshut,121373,68140,9.6,22.9,37.1,10.2,2.7,9.9,Grüne,3,122603,78199,12.3,30.8,30.4,7.4,2.2,12.3,CDU,2
60,Reutlingen,128012,80899,10.2,22,36.2,11.3,3.7,9.5,Grüne,3,127898,90077,14.2,23.9,31.2,8.4,3.4,15.1,Grüne,3
61,Hechingen-Münsingen,118234,75566,8.9,25,31.6,12.6,2.6,12.2,Grüne,3,118891,85181,11.2,28.5,27.8,11.4,2.2,16.1,CDU,2
62,Tübingen,131269,92088,11.6,20.5,39,7.6,6.7,6.5,Grüne,3,128848,96177,12.7,23.5,38,6.4,5.4,10.2,Grüne,3
63,Balingen,119638,72834,7.8,32.6,26.5,10,2.4,12.2,CDU,2,120378,81110,9.9,29.5,29,8.1,2.3,17.9,CDU,2
64,Ulm,120233,75792,13.1,22.9,36.5,7.8,4.3,7.4,Grüne,3,120198,79963,14.7,25.2,33,7.3,2.9,13,Grüne,3
65,Ehingen,101723,67131,7,35.9,29.5,8.2,2.1,10.1,CDU,2,100504,71402,9.1,36.2,27.6,6.5,1.6,16,CDU,2
66,Biberach,130761,84578,5.8,34.1,28.9,8.1,2.2,10,CDU,2,128547,90716,7.3,35.9,29.4,7.2,1.9,15,CDU,2
67,Bodensee,130185,86803,8.5,21.9,36.8,13.3,3.1,8.6,Grüne,3,129785,92731,10.1,27.4,35.7,9.1,2.7,12.4,Grüne,3
68,Wangen,125021,79204,6.5,30.6,31.3,8.9,2.7,9.5,Grüne,3,123399,84331,7.5,35.1,30.3,6.1,1.9,13.9,CDU,2
69,Ravensburg,125888,81667,8.2,23.7,33.1,11.5,3.4,8.7,Grüne,3,124396,86782,8.5,31,33.1,9.1,2.5,12.1,Grüne,3
70,Sigmaringen,96285,60389,6.2,27.8,32.6,12.1,2.4,11.2,Grüne,3,96338,66341,6.8,32.3,33.7,7.5,1.8,14.7,Grüne,3
