Land,Kreis,Ort,Straße,Standort,lon,lat,z
Baden-Württemberg,Landkreis Konstanz,Singen (Hohentwiel),Hohgarten 4,Stadthalle Singen,8.8325771,47.7612411,1
Baden-Württemberg,Landkreis Lörrach,Lörrach,Beim Haagensteg 5,Freizeitcenter Impulsiv,7.6814623,47.63259,1
Baden-Württemberg,Landkreis Ludwigsburg,Ludwigsburg,Grönerstraße 33,MM Studio (Doppelstandort),9.1683451,48.8926679,1
Baden-Württemberg,Landkreis Main-Tauber-Kreis,Bad Mergentheim,Seegartenstraße 16,Berufliches Schulzentrum,9.7700168,49.4871778,1
Baden-Württemberg,Landkreis Neckar-Odenwald-Kreis,Mosbach,Alte Bergsteige,Obertorzentrum,9.1587921,49.3505219,1
Baden-Württemberg,Landkreis Ortenaukreis,Lahr/Schwarzwald,Rheinstraße 15,Rheintalsporthalle,7.8325254,48.3447069,1
Baden-Württemberg,Landkreis Ortenaukreis,Offenburg,Schuttenwälder Straße,Messe Offenburg-Ortenau (zusätzliches KIZ an ZIZ- Standort),7.9231603,48.4610711,1
Baden-Württemberg,Landkreis Ostalbkreis,Aalen,Parkstraße 15,Ulrich-Pfeifle-Halle,10.0821922,48.8401628,1
Baden-Württemberg,Landkreis Rastatt,Bühl,Ludwig-Jahn-Straße 6a,Schwarzwaldhalle,8.1281924,48.6893581,1
Baden-Württemberg,Landkreis Ravensburg,Ravensburg,Bleicherstraße 20,Oberschwabenhalle,9.6137881,47.7907711,1
Baden-Württemberg,Landkreis Rems-Murr-Kreis,Waiblingen,Beinsteiner Straße 160,Rundsporthalle,9.3301265,48.8263635,1
Baden-Württemberg,Landkreis Reutlingen,Reutlingen,An der Kreuzeiche,Kreuzeiche-Stadion,9.1941608,48.4802071,1
Baden-Württemberg,Landkreis Rhein-Neckar-Kreis,Sinsheim,Breite Seite,„Parsa“-Halle,8.8663228,49.251781,1
Baden-Württemberg,Landkreis Rhein-Neckar-Kreis,Weinheim,,Details sind noch nicht bekannt,8.6620453,49.5407466,1
Baden-Württemberg,Landkreis Rottweil,Rottweil,Stadionstraße,Stadthalle,8.6285191,48.1541695,1
Baden-Württemberg,Landkreis Schwäbisch Hall,Wolpertshausen,,Halle,9.8447956,49.1588773,1
Baden-Württemberg,Landkreis Schwarzwald-Baar-Kreis,Villingen-Schwenningen,Waldeckweg 25,Tennishalle des Tennisclubs TCS Schwenningen e.V.,8.5424307,48.0501269,1
Baden-Württemberg,Landkreis Sigmaringen,Hohentengen,,Kaserne Sporthalle,9.3806377,48.0255488,1
Baden-Württemberg,Landkreis Tübingen,Tübingen,Europastraße 50,Paul-Horn-Arena,9.0420197,48.5105016,1
Baden-Württemberg,Landkreis Tuttlingen,Tuttlingen,Mühlenweg 19,Kreissporthalle,8.8043406,47.9861121,1
Baden-Württemberg,Landkreis Waldshut,Waldshut-Tiengen,Berliner Straße 2,Stadthalle Tiengen,8.276046,47.6305195,1
Baden-Württemberg,Stadt Baden-Baden,Baden-Baden,Sophienstraße,Baden-Baden Kurhaus,8.241351,48.7615665,1
Baden-Württemberg,Stadt Heilbronn,Heilbronn,Nussäckerstraße 3,Messehalle intersport red-blue,9.17141,49.11404,1
Baden-Württemberg,Stadt Pforzheim,Pforzheim,Hohwiesenweg 4,Eissporthalle St.-Maur- Halle,8.723269,48.8961343,1
Baden-Württemberg,Stadtkreis Freiburg,Freiburg im Breisgau,Hermann-Mitsch-Straße 3,voraussichtlich Freiburg Messe,7.8402587,48.0159052,1
Baden-Württemberg,Stadtkreis Heidelberg,Heidelberg,Schwalbenweg 43862,Gesellschaftshaus Pfaffengrund,8.6460246,49.3982602,1
Baden-Württemberg,Stadtkreis Karlsruhe,Karlsruhe,Festplatz 5,Kongresszentrum Schwarzwaldhalle,8.4010219,49.0017796,1
Baden-Württemberg,Stadtkreis Mannheim,Mannheim,Xaver-Fuhr-Straße,Maimarktareal,8.5217911,49.4669021,1
Baden-Württemberg,Stadtkreis Stuttgart,,,Details sind noch nicht bekannt,9.3501336,48.6616037,1
Baden-Württemberg,Stadtkreis Ulm,Ulm,Böfinger Straße,Halle 5 und Teilbereich Halle 6 der Ulmer Messe,10.0126845,48.415206,1
Baden-Württemberg,Zollernalbkreis,Meßstetten,Geißbühlstraße,Zollern-Alb-Kaserne (ehemalige LEA),8.9887078,48.1858375,1
,,,,,NA,NA,1
,,,,,NA,NA,1
,,,,,NA,NA,1
Bayern,Landkreis Altötting,Neuötting,Badstraße 1,Kreishallenbad,12.6898094,48.2341587,1
Bayern,Stadt Amberg,Amberg,Bruno-Hofer-Straße 8,Jugendzentrum Klärwerk,11.8669302,49.4347757,1
Bayern,Landkreis Amberg-Sulzbach,Sulzbach-Rosenberg,Obere Gartenstraße 3,Landkreis Cultur Center LCC,11.7471154,49.5039237,1
