land,country,name,id,nuts,2020-04-05,2020-04-12,2020-04-19,2020-04-26,2020-05-03,2020-05-10,2020-05-17,2020-05-24,2020-05-31,2020-06-07,2020-06-14,2020-06-21,2020-06-28,2020-07-05,2020-07-12,2020-07-19,2020-07-26,2020-08-02,2020-08-09,2020-08-16,2020-08-23,2020-08-30,2020-09-06,2020-09-13,2020-09-20,2020-09-27,2020-10-04,2020-10-11,2020-10-18,2020-10-25,2020-11-01,2020-11-08,2020-11-15,2020-11-22,2020-11-29,2020-12-06,2020-12-13,2020-12-20,2020-12-27,2021-01-04,2021-01-10,2021-01-17,2021-01-24,2021-01-31,2021-02-07,2021-02-14,2021-02-21,2021-02-28,2021-03-07,2021-03-14,2021-03-21,2021-03-28,2021-04-04,2021-04-11,2021-04-18,2021-04-25
Belgien,Belgium,Flanders,BE,BE2,116,200,183,100,66,54,46,35,26,18,13,12,10,9,13,22,40,62,74,65,51,46,47,69,108,140,166,288,542,932,1118,859,556,393,298,268,288,317,284,222,224,243,259,281,272,233,249,278,268,300,398,489,481,409,369,370
Belgien,Belgium,Région Wallone,BE,BE3,111,186,213,156,86,45,38,27,21,14,11,10,7,3,7,13,21,38,54,60,54,44,44,64,139,210,302,694,1407,2343,2861,2171,1179,663,421,321,272,284,247,189,198,223,222,252,265,237,232,260,281,318,443,583,621,536,473,473
Bulgarien,Bulgaria,Widin,BG,BG311,keine Daten,keine Daten,30,78,141,101,22,19,13,6,7,28,24,keine Daten,7,12,12,12,14,10,12,10,7,6,1,5,28,35,19,47,116,325,465,396,356,324,295,290,211,167,158,105,63,42,52,42,46,72,95,155,276,320,325,332,275,254
Bulgarien,Bulgaria,Montana,BG,BG312,keine Daten,keine Daten,-4,-2,6,5,2,1,0,0,1,1,2,keine Daten,9,-6,4,24,11,4,9,19,27,34,31,37,55,87,130,217,317,519,623,631,572,428,398,288,146,120,131,85,44,46,74,74,77,144,239,369,560,619,579,502,401,342
Bulgarien,Bulgaria,Wraza,BG,BG313,keine Daten,keine Daten,1,2,5,5,2,2,2,0,1,2,8,keine Daten,17,18,13,16,19,8,5,5,2,7,13,18,25,46,100,204,315,461,568,571,598,613,632,556,343,258,252,170,120,125,167,224,309,435,514,670,795,845,800,584,379,279
Bulgarien,Bulgaria,Plewen,BG,BG314,keine Daten,0,12,52,57,26,16,10,4,4,18,21,11,keine Daten,32,23,12,22,22,23,13,8,3,3,9,10,16,23,68,142,197,323,471,573,558,472,462,408,278,214,208,158,125,141,178,219,292,449,575,669,765,749,608,443,305,215
Bulgarien,Bulgaria,Lowetsch,BG,BG315,keine Daten,2,0,0,0,0,0,2,2,2,6,7,4,keine Daten,10,14,6,4,9,11,11,7,4,3,4,11,19,29,81,144,203,293,372,416,424,379,390,384,255,192,151,82,68,65,80,100,139,213,264,323,512,671,667,595,479,371
Bulgarien,Bulgaria,Weliko Tarnowo,BG,BG321,keine Daten,keine Daten,3,5,6,1,0,2,1,0,1,2,4,keine Daten,46,68,40,19,14,16,10,6,4,6,9,11,17,39,64,107,143,254,399,427,439,467,466,373,195,122,121,73,52,64,77,86,100,139,215,327,432,481,486,444,362,299
Bulgarien,Bulgaria,Gabrowo,BG,BG322,0,1,1,2,4,2,1,2,1,1,6,6,3,keine Daten,16,32,73,78,46,34,11,2,2,8,21,66,92,75,159,298,445,724,1064,1116,1035,878,596,449,250,99,118,96,49,46,80,108,129,195,262,369,482,500,479,438,364,327
Bulgarien,Bulgaria,Russe,BG,BG323,keine Daten,keine Daten,1,3,5,1,1,1,0,0,0,0,5,keine Daten,26,36,39,64,47,15,19,19,26,28,14,19,24,36,95,236,417,627,807,822,766,714,664,561,361,232,190,123,89,100,107,103,97,125,213,388,582,733,794,734,600,465
