land,country,name,id,nuts,2020-04-05,2020-04-12,2020-04-19,2020-04-26,2020-05-03,2020-05-10,2020-05-17,2020-05-24,2020-05-31,2020-06-07,2020-06-14,2020-06-21,2020-06-28,2020-07-05,2020-07-12,2020-07-19,2020-07-26,2020-08-02,2020-08-09,2020-08-16,2020-08-23,2020-08-30,2020-09-06,2020-09-13,2020-09-20,2020-09-27,2020-10-04,2020-10-11,2020-10-18,2020-10-25,2020-11-01,2020-11-08,2020-11-15,2020-11-22,2020-11-29,2020-12-06,2020-12-13,2020-12-20,2020-12-27,2021-01-04,2021-01-10,2021-01-17,2021-01-24,2021-01-31,2021-02-07,2021-02-14,2021-02-21,2021-02-28,2021-03-07,2021-03-14,2021-03-21,2021-03-28,2021-04-04,2021-04-11,2021-04-18,2021-04-25
Dänemark,Denmark,Sjælland,DK,DK02,35,68,72,56,45,38,28,17,13,13,10,10,8,2,3,8,11,20,27,20,13,12,19,43,64,91,97,67,62,99,161,215,229,219,237,334,557,795,766,593,488,349,239,180,122,111,111,119,133,157,162,94,79,118,137,144
Estland,Estonia,Järva Maakond,EE,EEG11215,keine Daten,keine Daten,13,7,7,3,0,0,0,0,0,0,0,3,3,-7,-7,3,7,3,0,0,0,0,3,13,10,0,0,0,13,53,80,99,96,89,89,209,408,481,414,355,268,444,653,689,795,716,580,633,782,716,610,524,391,298
Estland,Estonia,Ida-Viru Maakond,EE,EEG11214,keine Daten,keine Daten,22,28,21,4,5,1,6,14,11,4,3,5,6,4,5,9,6,5,49,77,45,49,97,127,133,139,114,95,110,241,456,606,765,954,1050,1114,975,807,918,961,832,804,801,825,975,1232,1529,1466,1302,1138,1000,888,682,544
Estland,Estonia,Lääne Maakond,EE,EEG11218,keine Daten,keine Daten,0,0,10,10,20,34,15,5,0,-5,0,0,5,5,0,0,0,0,0,0,0,5,10,29,29,20,15,5,24,54,73,132,176,166,181,220,166,161,215,279,274,225,245,220,313,563,1032,1345,1257,964,773,655,450,411
Estland,Estonia,Harju Maakond,EE,EEG11212,keine Daten,keine Daten,31,22,11,6,6,9,10,13,11,3,2,2,2,1,0,2,3,4,8,13,23,30,31,50,58,43,36,51,90,171,274,354,384,413,518,707,724,722,803,704,553,556,615,686,920,1383,1845,2056,2095,1730,1349,1061,708,527
Estland,Estonia,Hiiu Maakond,EE,EEG11213,keine Daten,keine Daten,21,43,32,11,0,0,0,0,0,0,-11,-11,0,0,0,0,0,0,11,11,0,0,0,32,32,21,32,21,86,354,440,247,150,172,247,301,397,633,666,623,408,204,386,537,472,397,805,1235,1138,687,376,419,397,204
Estland,Estonia,Rapla Maakond,EE,EEG11221,keine Daten,keine Daten,15,6,0,0,0,3,3,0,3,3,-3,-3,0,0,0,6,6,0,0,0,6,6,12,27,21,6,0,99,141,174,201,123,129,174,294,526,454,264,270,315,340,427,544,676,676,658,793,1094,1442,1199,925,986,739,427
Estland,Estonia,Saare Maakond,EE,EEG11222,keine Daten,keine Daten,263,121,70,15,15,12,3,0,0,0,0,0,0,6,6,0,3,6,3,6,6,6,9,24,36,21,9,12,21,18,33,66,76,85,94,109,154,178,199,206,151,323,462,753,1354,1783,1913,1681,1342,828,462,381,254,166
Estland,Estonia,Tartu Maakond,EE,EEG11223,keine Daten,keine Daten,22,10,5,3,3,3,-1,1,2,1,-6,-6,1,1,4,24,42,27,8,2,4,10,10,7,7,10,15,15,13,32,85,168,274,327,290,288,255,271,320,322,367,414,465,472,514,560,555,579,549,463,443,389,248,168
Estland,Estonia,Valga Maakond,EE,EEG11224,keine Daten,keine Daten,4,7,7,0,0,0,0,4,4,0,4,4,0,0,0,0,4,4,0,0,0,0,0,11,14,4,4,18,25,28,64,121,149,131,113,121,191,319,425,620,681,464,333,440,511,503,440,408,489,422,301,248,280,266
Estland,Estonia,Viljandi Maakond,EE,EEG11225,keine Daten,keine Daten,11,6,2,0,0,0,2,4,2,0,0,0,0,0,0,0,2,2,0,2,6,4,2,11,17,17,9,2,6,24,67,119,156,208,169,119,132,175,256,277,217,275,399,399,464,513,513,669,851,760,596,576,520,440
Estland,Estonia,Võru Maakond,EE,EEG11226,keine Daten,keine Daten,31,20,6,8,6,3,6,3,0,0,0,0,0,0,0,0,3,6,8,6,48,59,25,93,110,42,17,11,17,28,34,54,158,254,322,325,268,356,418,500,531,570,627,658,774,805,830,839,700,460,316,373,339,164
Estland,Estonia,Pärnu Maakond,EE,EEG11219,keine Daten,keine Daten,35,16,28,30,19,17,12,5,1,0,0,0,1,0,-1,0,0,1,2,1,7,8,2,7,9,6,10,23,27,52,95,121,122,102,146,306,338,318,480,629,635,645,729,614,543,593,550,520,574,574,495,436,368,359
Estland,Estonia,Jõgeva Maakond,EE,EEG11216,keine Daten,keine Daten,4,0,0,0,0,7,7,0,0,0,0,0,0,0,0,4,7,7,7,11,18,14,4,14,18,42,109,105,46,25,42,98,141,148,155,158,151,137,190,260,316,425,591,612,513,489,461,577,745,738,661,496,306,193
Estland,Estonia,Lääne-Viru Maakond,EE,EEG11217,keine Daten,keine Daten,0,2,2,0,0,0,0,7,7,0,0,0,0,0,0,2,3,2,3,8,7,8,12,12,12,8,5,5,20,49,78,107,117,161,209,243,348,437,450,389,257,251,324,375,632,1094,1769,2028,1840,1565,1135,771,578,488
Estland,Estonia,Põlva Maakond,EE,EEG11220,keine Daten,keine Daten,8,0,-4,-4,0,0,0,0,8,0,-8,0,0,0,0,0,4,12,8,0,0,0,4,8,24,20,4,8,12,32,57,105,195,276,239,203,195,162,191,211,231,272,329,442,515,450,398,414,377,365,381,410,414,288
Finnland,Finland,Päijät-Häme,FI,FI1C3,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,6,13,10,4,2,1,1,0,0,1,5,4,1,1,3,2,1,11,31,34,21,11,8,13,16,14,18,24,71,142,136,111,86,52,48,43,44,40,39,43,44,50,71,87,129,194,191,163,157,131,101
Finnland,Finland,Pohjois-Karjala,FI,FI1D3,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,0,0,0,0,0,0,1,2,1,1,1,0,0,0,0,2,0,1,3,1,17,30,25,17,7,5,11,14,39,66,47,42,47,31,34,33,23,33,29,16,19,22,17,22,20,19,30,32,23,11,12
Finnland,Finland,Kymenlaakso,FI,FI1C4,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,2,2,2,0,1,1,1,2,2,1,0,2,2,0,2,2,0,2,9,12,11,11,5,13,39,51,40,30,43,63,71,62,40,28,47,71,64,65,70,50,26,21,33,27,32,57,95,141,125,72,43
Finnland,Finland,Pohjois-Pohjanmaa,FI,FI1D9,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,2,1,1,0,0,0,0,1,0,1,2,0,1,2,2,2,3,5,5,2,4,8,11,15,29,37,34,31,43,105,129,87,52,29,43,68,65,64,59,44,36,32,49,58,46,33,21,17,21,25,33
Finnland,Finland,Åland,FI,FI2,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,0,0,3,7,13,17,7,3,3,3,3,0,0,0,0,0,3,3,0,0,3,3,13,20,30,33,20,13,7,17,13,30,70,131,120,30,33,40,10,13,10,177,402,392,241,87,40,37,44,110,117
Finnland,Finland,Satakunta,FI,FI196,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,1,0,0,0,0,1,3,2,0,1,3,5,6,5,2,1,0,1,1,1,3,4,6,9,11,9,9,12,16,39,55,42,24,14,13,11,12,22,46,51,74,185,195,135,101,53,42,44,40,29,24
Finnland,Finland,Pirkanmaa,FI,FI197,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,6,4,2,2,1,0,0,0,0,0,0,0,0,1,1,2,2,6,11,14,20,19,22,33,32,28,24,17,43,81,69,79,74,37,34,30,42,52,66,51,24,32,43,64,83,110,122,95,71,68,73
Finnland,Finland,Helsinki-Uusimaa,FI,FI1B1,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,54,40,35,25,17,11,6,5,4,2,3,4,4,8,13,14,12,14,17,20,42,59,73,93,93,82,92,113,157,199,195,186,164,127,112,113,104,126,159,174,193,221,276,321,343,349,318,256,193,140,107
Finnland,Finland,Varsinais-Suomi,FI,FI1C1,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,9,6,7,6,2,1,1,3,5,1,1,3,3,6,11,12,10,2,1,9,10,19,31,34,40,54,61,60,53,66,105,162,185,146,109,90,88,101,119,111,95,123,163,207,240,260,252,193,145,123,104
Finnland,Finland,Kanta-Häme,FI,FI1C2,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,13,9,4,2,1,1,1,2,1,1,1,0,1,1,2,4,2,2,7,17,15,18,32,36,35,32,25,12,27,46,42,74,80,42,35,44,46,40,50,55,46,49,75,87,123,156,121,63,32,32,37
Finnland,Finland,Keski-Pohjanmaa,FI,FI1D5,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,6,7,1,10,13,3,0,0,0,1,1,0,0,0,0,0,0,0,9,12,9,21,34,26,13,15,16,25,31,34,32,16,6,7,10,9,12,16,28,29,19,29,34,29,23,16,13,28,29,6,0
Finnland,Finland,Etelä-Karjala,FI,FI1C5,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,3,2,1,5,4,1,0,-1,0,0,0,0,0,0,2,2,2,1,0,1,10,15,12,13,14,20,21,16,19,31,39,34,38,35,29,30,20,17,20,25,29,72,105,119,148,159,160,135,94,63,48
Finnland,Finland,Etelä-Savo,FI,FI1D1,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,1,2,6,4,-1,1,1,0,0,-1,0,1,1,1,0,1,1,15,24,25,25,20,20,14,10,13,11,53,69,37,91,115,78,46,20,15,20,25,41,56,46,88,110,63,55,52,83,105,84,57,22
Finnland,Finland,Pohjois-Savo,FI,FI1D2,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,3,2,1,0,1,0,0,0,0,1,1,0,0,0,0,2,3,2,2,5,14,16,8,11,25,23,22,20,24,33,26,24,20,16,17,18,38,80,76,34,18,14,18,29,48,51,45,41,29,20,14
Finnland,Finland,Lappi,FI,FI1D7,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,17,12,5,1,1,0,1,2,2,3,2,1,1,2,2,5,5,1,2,3,4,17,26,21,20,46,82,77,54,38,30,31,29,25,30,38,31,32,47,47,41,43,42,35,32,42,32,8,16,21,28
Finnland,Finland,Kainuu,FI,FI1D8,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,4,3,3,-1,-3,0,0,0,0,1,1,0,0,1,1,0,18,29,14,3,1,14,12,7,8,3,11,18,19,33,26,10,26,24,7,30,37,17,24,30,18,12,11,8,15,24,24,14,21,26,25
Finnland,Finland,Pohjanmaa,FI,FI195,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,2,1,1,1,1,1,1,0,0,1,2,1,0,1,4,4,2,2,2,3,9,72,305,360,160,72,55,34,37,25,7,45,80,52,33,61,75,68,82,134,157,135,117,95,70,47,28,33,32,28,23
Finnland,Finland,Keski-Suomi,FI,FI193,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,1,1,1,1,1,1,1,0,0,0,0,1,1,1,3,6,9,15,26,39,45,32,34,68,61,29,18,11,31,61,54,68,81,51,48,43,25,36,78,129,109,51,47,52,52,70,69,52,37,28,17
Finnland,Finland,Etelä-Pohjanmaa,FI,FI194,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,3,4,2,1,1,0,0,0,0,0,1,1,1,0,2,3,3,3,3,2,4,18,28,22,12,10,10,13,30,61,61,43,26,10,10,11,24,24,23,23,22,30,29,29,27,28,23,20,29,34,21
Frankreich,France,Alsace-Champagne-Ardenne-Lorraine,FR,FRF,keine Daten,keine Daten,keine Daten,keine Daten,45,32,21,19,18,16,15,13,10,6,5,9,12,14,18,22,31,47,58,71,86,85,85,138,250,474,722,837,695,445,306,260,314,401,427,412,460,455,424,445,428,382,364,368,366,395,469,549,602,613,597,555
Frankreich,France,Ile-de-France,FR,FR1,keine Daten,keine Daten,keine Daten,keine Daten,61,35,22,17,18,15,12,12,12,13,14,18,25,39,59,81,112,161,192,202,239,295,361,505,655,789,900,830,580,345,220,189,218,249,253,250,316,377,402,433,460,473,504,592,669,751,953,1189,1310,1219,1085,1002
Frankreich,France,Centre – Val de Loire,FR,FRB,keine Daten,keine Daten,keine Daten,keine Daten,29,20,14,14,13,8,5,5,5,5,5,4,7,14,18,29,46,58,70,87,107,115,121,170,260,454,628,670,565,371,241,196,217,248,241,229,298,352,370,396,386,338,312,337,342,355,434,540,630,622,599,585
Frankreich,France,Nord-Pas de Calais-Picardie,FR,FRE,keine Daten,keine Daten,keine Daten,keine Daten,36,23,14,14,17,15,12,10,9,10,10,11,16,23,28,32,37,47,96,170,236,273,287,378,571,854,1072,1084,826,491,302,226,236,262,262,249,310,379,403,417,430,455,530,633,666,692,802,946,1014,913,814,772
Frankreich,France,Mayotte,FR,FRY5,keine Daten,keine Daten,keine Daten,keine Daten,28,36,33,18,121,181,119,99,97,86,53,53,55,32,45,65,66,65,72,85,84,79,63,72,105,120,112,138,168,134,99,111,122,105,101,101,133,245,417,594,1138,1633,1693,1364,769,428,300,204,130,106,101,107
Frankreich,France,Bourgogne-Franche-Comté,FR,FRC,keine Daten,keine Daten,keine Daten,keine Daten,32,23,14,9,8,6,5,4,4,4,5,6,6,8,10,16,30,51,69,89,110,123,132,177,310,578,826,1001,927,616,399,330,373,448,457,445,529,539,492,472,421,363,318,316,317,329,395,503,623,644,601,572
Frankreich,France,Normandie,FR,FRD,keine Daten,keine Daten,keine Daten,keine Daten,15,9,7,6,4,3,3,6,8,8,7,6,6,7,10,15,23,43,70,94,127,153,163,223,320,457,589,634,515,336,222,148,155,189,195,206,279,340,363,357,335,299,283,322,355,393,494,620,690,665,624,611
Frankreich,France,Aquitaine-Limousin-Poitou-Charentes,FR,FRI,keine Daten,keine Daten,keine Daten,keine Daten,8,5,4,6,7,4,2,2,2,2,3,4,6,6,7,15,42,81,117,141,153,149,135,152,209,342,482,537,460,299,191,161,169,171,155,156,226,285,312,340,334,274,224,230,228,232,285,350,417,421,400,385
Frankreich,France,Corse,FR,FRM,keine Daten,keine Daten,keine Daten,keine Daten,9,5,4,6,5,4,4,3,2,2,3,7,6,3,8,10,16,72,149,181,157,119,97,134,300,483,602,610,408,179,80,62,58,44,56,101,151,173,181,206,225,209,199,248,293,298,287,286,308,287,303,310
Frankreich,France,Pays de la Loire,FR,FRG,keine Daten,keine Daten,keine Daten,keine Daten,10,7,5,9,12,10,8,6,5,8,13,18,29,31,27,36,48,55,71,96,108,117,130,172,258,415,562,626,536,330,189,142,158,173,168,169,215,252,290,329,311,267,259,285,297,308,358,452,559,570,557,554
Frankreich,France,Bretagne,FR,FRH,keine Daten,keine Daten,keine Daten,keine Daten,6,4,5,9,8,4,2,1,2,2,4,10,14,15,20,22,28,39,59,84,107,121,120,137,193,289,365,405,347,206,112,81,86,98,94,96,139,181,197,205,213,196,192,211,217,243,294,346,392,389,378,383
Frankreich,France,Provence-Alpes-Côte d'Azur,FR,FRL,keine Daten,keine Daten,keine Daten,keine Daten,33,21,14,11,9,8,8,6,4,4,8,9,13,25,49,90,156,218,253,280,281,254,242,288,414,669,875,929,755,451,279,231,255,309,368,410,539,639,690,736,726,705,706,724,690,665,685,793,947,893,781,733
Frankreich,France,La Réunion,FR,FRY4,keine Daten,keine Daten,keine Daten,keine Daten,1,2,2,2,3,3,3,2,3,5,8,9,7,6,8,32,71,98,130,145,133,125,108,85,76,96,125,146,149,138,108,71,58,57,46,38,55,59,65,79,104,137,164,194,225,230,223,246,246,230,224,236
Frankreich,France,Guadeloupe,FR,FRY1,keine Daten,keine Daten,keine Daten,keine Daten,2,1,0,2,3,2,3,3,3,2,3,4,6,17,25,46,117,219,365,470,527,558,469,344,244,167,140,121,81,57,45,31,24,30,36,40,56,60,56,59,65,83,94,145,210,186,176,195,195,256,360,438
Frankreich,France,Martinique,FR,FRY2,keine Daten,keine Daten,keine Daten,keine Daten,2,1,1,2,2,3,6,7,5,4,3,3,4,6,22,50,77,79,89,103,94,118,156,207,267,349,384,318,236,155,84,43,32,42,37,34,46,44,41,42,40,37,34,49,65,87,172,278,353,437,449,388
Frankreich,France,Guyane,FR,FRY3,keine Daten,keine Daten,keine Daten,keine Daten,3,3,2,10,30,50,128,429,803,945,793,562,488,414,300,245,208,183,170,153,128,124,128,106,80,86,87,89,107,118,122,148,219,317,325,305,458,576,509,371,224,121,67,55,52,45,56,79,127,214,325,431
Frankreich,France,Languedoc-Roussillon-Midi-Pyrénées,FR,FRJ,keine Daten,keine Daten,keine Daten,keine Daten,13,10,8,7,6,3,5,5,4,4,4,4,9,15,23,40,71,94,113,154,201,231,242,313,441,634,780,771,595,340,191,152,158,171,181,196,278,346,384,424,423,376,323,304,305,312,360,471,588,582,527,506
Frankreich,France,Auvergne-Rhône-Alpes,FR,FRK,keine Daten,keine Daten,keine Daten,keine Daten,23,15,9,7,7,5,5,5,5,5,6,7,11,16,19,26,50,80,115,158,198,232,265,394,670,1128,1467,1602,1322,752,434,321,328,368,389,353,392,429,429,447,433,398,370,378,374,383,475,614,743,744,685,641
Deutschland,Germany,Thüringen,DE,DEG,30,41,33,27,26,20,15,14,13,10,8,6,3,2,2,2,3,3,5,6,6,6,6,9,12,11,13,22,40,77,108,139,179,234,289,341,448,571,596,539,594,605,471,365,304,251,233,256,272,311,384,462,477,467,489,480
Deutschland,Germany,Saarland,DE,DEC,99,151,90,32,26,15,7,7,4,3,4,4,3,1,2,3,3,6,10,13,13,14,12,8,4,6,24,58,99,173,280,310,311,296,255,265,333,385,329,233,284,297,228,266,259,184,130,135,138,120,116,140,171,211,246,279
Deutschland,Germany,Schleswig-Holstein,DE,DEF,30,43,28,13,11,10,6,4,4,2,1,1,1,2,2,3,5,8,10,11,10,8,7,8,11,17,18,21,33,63,90,103,104,98,94,100,138,175,187,170,174,186,177,171,143,119,106,98,94,96,112,131,138,141,147,148
Deutschland,Germany,Baden-Württemberg,DE,DE1,101,135,86,49,33,18,13,10,7,4,3,4,5,4,4,6,8,9,8,13,24,31,31,31,31,33,36,56,91,155,214,265,299,283,289,311,358,416,372,288,278,261,208,169,139,109,94,99,115,139,184,237,256,271,321,379
Deutschland,Germany,Sachsen,DE,DED,39,53,34,14,13,11,9,7,4,2,1,2,2,1,1,1,1,1,4,5,4,7,9,11,15,18,21,38,79,139,211,318,408,432,515,656,731,922,973,781,743,655,454,318,238,177,151,171,185,215,291,382,416,428,471,494
Deutschland,Germany,Sachsen-Anhalt,DE,DEE,23,30,20,13,9,6,4,2,1,1,3,6,4,2,2,3,3,3,4,4,6,5,4,5,8,12,14,16,28,63,93,118,135,155,189,231,294,372,400,406,481,507,477,403,278,199,179,186,187,202,240,305,336,342,379,394
Deutschland,Germany,Hamburg,DE,DE6,70,103,66,31,25,24,20,6,3,3,3,3,3,3,1,1,6,12,22,25,20,21,23,33,41,50,63,71,95,162,221,286,331,298,241,224,263,306,313,279,296,281,214,188,161,142,142,155,164,175,212,275,311,302,287,259
Deutschland,Germany,Hessen,DE,DE7,37,54,43,27,20,13,12,13,11,6,5,6,7,6,6,7,9,13,17,25,34,29,21,22,24,30,40,62,111,205,275,319,348,352,343,318,344,393,357,292,304,293,241,206,173,136,118,127,138,163,213,270,293,293,311,349
Deutschland,Germany,Mecklenburg-Vorpommern,DE,DE8,17,17,8,3,3,3,3,2,1,1,2,1,1,1,0,0,3,5,6,6,3,2,2,4,6,7,11,18,30,53,70,91,96,91,95,99,144,191,177,177,231,259,229,194,173,148,134,138,140,138,145,196,226,251,293,292
Deutschland,Germany,Niedersachsen,DE,DE9,39,56,41,22,15,12,9,10,11,12,11,9,8,5,3,4,6,7,10,11,14,17,15,16,21,25,29,43,64,109,153,189,217,215,193,173,185,224,218,190,217,227,196,170,151,138,135,139,136,146,182,223,227,217,241,256
Deutschland,Germany,Nordrhein-Westfalen,DE,DEA,57,79,60,34,21,16,14,12,9,7,8,16,20,15,11,11,15,21,26,30,17,22,30,22,30,37,47,70,113,195,274,327,352,339,315,300,325,371,340,263,272,274,227,191,156,130,121,126,132,151,195,245,261,266,315,374
Deutschland,Germany,Rheinland-Pfalz,DE,DEB,47,61,42,22,15,9,8,6,5,5,4,3,4,4,5,6,6,7,12,17,20,20,18,17,18,20,26,42,71,131,185,231,285,294,267,256,320,363,307,252,269,259,215,191,153,116,104,105,100,113,149,202,225,230,269,294
Deutschland,Germany,Bremen,DE,DE5,58,32,33,43,43,38,47,39,31,33,23,16,9,4,4,7,10,10,9,11,15,22,24,21,24,41,66,107,150,224,319,377,349,301,267,228,241,262,224,170,165,170,159,158,162,142,139,157,147,145,183,242,257,261,306,320
Deutschland,Germany,Bayern,DE,DE2,118,161,105,51,35,21,17,14,11,8,4,4,6,7,7,8,10,11,11,18,27,31,33,38,43,40,35,49,89,167,230,306,369,375,373,372,393,443,409,338,334,311,252,200,171,134,115,124,141,166,204,257,277,298,354,372
Deutschland,Germany,Berlin,DE,DE3,47,65,45,24,21,15,11,11,11,11,14,24,23,14,12,9,11,15,21,27,27,26,28,30,41,56,78,124,177,246,288,338,429,459,439,403,400,435,399,313,348,369,269,200,157,125,117,126,133,150,189,258,280,256,287,303
Deutschland,Germany,Brandenburg,DE,DE4,53,51,41,28,23,14,9,5,3,2,4,4,3,2,1,1,3,4,4,6,7,6,6,6,6,9,15,29,47,78,120,152,181,201,232,273,331,425,411,385,543,614,505,398,279,186,148,132,129,144,197,263,278,259,271,267
Griechenland,Greece,Attika,EL,EL30,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,2,2,1,1,1,1,1,1,2,3,4,4,12,23,28,30,30,43,62,70,65,62,72,83,114,168,211,198,147,119,108,93,80,83,94,88,82,110,165,211,214,249,333,397,432,436,492,524,500,475
Griechenland,Greece,Nördliche Ägäis,EL,EL41,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,1,2,1,1,1,0,2,2,2,2,4,4,10,17,31,47,35,47,167,150,36,33,33,41,90,147,182,202,167,161,145,105,85,60,64,62,44,52,51,30,37,78,120,138,153,131,123,125,98,74
Griechenland,Greece,Südliche Ägäis,EL,EL42,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,0,0,0,0,0,1,3,5,4,4,5,5,15,37,56,50,36,31,36,43,40,43,50,60,66,68,65,64,58,41,32,21,16,24,26,20,19,35,53,64,74,104,104,82,115,134,163,198,178,80
Griechenland,Greece,Kreta,EL,EL43,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,0,0,0,0,0,0,0,1,1,2,3,3,6,14,21,22,27,28,23,17,12,13,17,26,38,74,99,96,84,68,49,29,15,8,24,34,24,32,61,84,94,115,141,163,183,161,172,205,220,218
Griechenland,Greece,Ostmakedonien und Thrakien,EL,EL51,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,2,2,3,9,15,27,24,15,18,9,4,9,26,30,17,13,9,5,1,-1,6,9,16,49,246,504,569,524,424,402,401,296,199,155,135,85,57,50,37,44,56,62,65,77,91,100,141,200,258,270
Griechenland,Greece,Westgriechenland,EL,EL63,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,0,0,0,0,0,0,0,1,1,0,2,2,2,5,6,4,4,4,11,15,16,24,25,26,39,66,93,123,134,99,73,60,43,40,47,49,53,78,138,206,230,255,298,300,303,318,336,331,268,209
Griechenland,Greece,Mittelgriechenland,EL,EL64,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,0,0,0,1,2,1,0,0,2,2,1,2,4,8,9,6,9,18,-4,-6,15,20,30,33,28,53,105,112,89,97,96,67,45,46,72,81,73,99,144,167,140,157,213,243,258,241,255,262,240,246
Griechenland,Greece,Peloponnes,EL,EL65,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,0,1,1,1,1,1,0,0,1,1,0,1,6,10,8,5,8,7,6,12,15,18,21,27,50,90,101,77,60,57,54,49,39,37,51,53,50,62,71,76,107,152,203,229,207,176,188,195,190,177
Griechenland,Greece,Epirus,EL,EL54,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,0,0,0,0,1,3,5,2,2,2,0,0,4,7,7,11,14,14,18,26,32,59,70,111,169,147,122,106,86,72,51,32,21,20,20,16,29,26,23,53,85,140,190,191,178,179,188,167,131,150
Griechenland,Greece,Thessalien,EL,EL61,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,3,11,10,3,2,0,0,2,2,1,2,2,16,24,20,15,9,14,26,32,31,26,28,61,145,281,448,555,484,385,317,245,171,102,97,91,78,77,85,98,99,120,162,215,259,283,306,295,292,282
Griechenland,Greece,Zentralmakedonien,EL,EL52,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,0,0,0,0,0,1,1,2,6,7,5,8,28,50,45,33,29,37,32,17,20,25,47,115,299,579,762,782,671,536,407,273,182,132,115,94,72,69,92,112,122,150,205,248,266,299,377,426,419,388
Griechenland,Greece,Westmakedonien,EL,EL53,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,0,-1,-2,2,3,0,6,9,9,7,2,2,9,16,28,36,30,35,44,46,45,94,170,174,163,222,348,449,407,365,363,313,212,156,149,119,96,69,66,49,48,87,144,209,300,406,554,554,440,376
Griechenland,Greece,Ionische Inseln,EL,EL62,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,keine Daten,0,0,0,0,0,0,0,3,12,12,10,16,8,35,54,31,26,31,26,28,40,35,32,36,46,71,89,84,63,39,19,14,21,20,17,10,10,17,35,65,84,112,115,92,103,130,170,150,115,106
Ungarn,Hungary,Komárom-Esztergom,HU,HU212,keine Daten,keine Daten,11,24,33,27,17,23,23,15,11,5,2,2,0,1,1,1,1,1,1,10,24,52,102,109,95,107,138,200,248,393,661,736,761,815,709,611,397,215,280,293,217,212,253,334,532,801,1163,1544,1619,1452,1221,826,499,346
Ungarn,Hungary,Veszprém,HU,HU213,keine Daten,keine Daten,11,6,3,2,1,1,1,1,-1,-1,0,0,0,1,1,3,19,21,8,16,35,60,85,85,86,126,170,333,450,606,846,780,820,933,792,621,406,276,361,327,208,208,198,181,210,294,459,712,1005,1202,1294,1199,938,705
Ungarn,Hungary,Vas,HU,HU222,keine Daten,keine Daten,2,0,0,0,1,1,0,0,0,0,0,0,0,1,2,4,6,6,2,4,17,39,102,146,130,168,271,455,522,507,798,964,987,1019,844,624,354,219,267,232,170,193,218,180,175,305,530,838,1089,1297,1301,1100,841,533
Ungarn,Hungary,Zala,HU,HU223,keine Daten,keine Daten,12,24,37,29,32,27,11,4,2,1,0,0,0,0,1,1,0,5,5,6,25,42,53,70,70,106,181,293,409,525,603,645,776,874,784,621,387,271,328,170,210,300,150,110,122,180,260,380,511,590,686,700,599,476
Ungarn,Hungary,Baranya,HU,HU231,keine Daten,keine Daten,3,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,4,3,1,11,34,52,67,104,111,122,150,182,304,449,444,421,535,606,613,614,505,410,459,396,279,244,219,204,212,277,420,616,830,932,1100,1111,881,677
Ungarn,Hungary,Gyor-Moson-Sopron,HU,HU221,keine Daten,keine Daten,9,3,1,1,1,0,0,0,0,0,0,0,1,0,2,3,1,1,3,12,31,76,132,170,180,246,295,329,512,934,1128,833,737,766,607,416,268,206,226,214,140,128,165,222,350,613,953,1267,1388,1298,1099,847,606,403
Ungarn,Hungary,Hajdú-Bihar,HU,HU321,keine Daten,keine Daten,1,1,0,0,0,0,0,0,0,0,-1,-1,1,1,4,6,6,7,8,22,42,61,88,99,115,163,189,240,383,547,621,667,796,863,739,698,436,211,286,219,154,155,182,189,266,434,642,861,996,1029,1000,862,650,447
