typ,einwohner,bundesland,Kreis,hc.key,lat,lon,weekly_cases,inzidenz.x,weekly_cases_A00-A04,inzidenz_A00-A04,weekly_cases_A05-A14,inzidenz_A05-A14,weekly_cases_A15-A34,inzidenz_A15-A34,weekly_cases_A35-A59,inzidenz_A35-A59,weekly_cases_A60-A79,inzidenz_A60-A79,weekly_cases_A80+,inzidenz_A80+
Kreisfreie Stadt,34193,Rheinland-Pfalz,Zweibrücken,de-rp-07320000,49.24816069,7.36539389,309,908.796800094115,9,604.838709677419,19,654.044750430293,94,1166.39781610622,126,1124.39764411922,47,590.971960266566,14,542.215336948102
Landkreis,129687,Rheinland-Pfalz,Alzey-Worms,de-rp-07331000,49.7594414,8.15718502,1251,957.043950579505,44,689.97961423867,124,1033.16113981003,341,1231.18027223165,518,1103.01946254418,183,626.154793676863,40,538.865687727334
Landkreis,132671,Rheinland-Pfalz,Bad Dürkheim,de-rp-07332000,49.4530206,8.110304937,983,739.075516525819,29,503.122831367106,106,945.247012662743,296,1166.87034335948,380,802.805594287404,144,433.030612858603,27,277.264325323475
Landkreis,75325,Rheinland-Pfalz,Donnersbergkreis,de-rp-07333000,49.63198305,7.915011327,722,955.797667430069,18,524.628388225007,67,985.874043555032,237,1517.96579773266,254,949.355260698935,107,602.715034078747,39,783.604581072936
Landkreis,129013,Rheinland-Pfalz,Germersheim,de-rp-07334000,49.11590817,8.24619377,1293,1002.27896376913,36,569.079987353778,146,1222.882988525,391,1361.94224807552,496,1065.91021425655,171,617.239387814034,52,666.495770315304
Landkreis,105979,Rheinland-Pfalz,Kaiserslautern (Landkreis),de-rp-07335000,49.44622232,7.684981573,1452,1365.68848758465,38,658.693014387242,163,1660.55419722901,492,2218.81482817714,577,1576.20127298058,160,653.835151812349,22,308.036964435732
Landkreis,70219,Rheinland-Pfalz,Kusel,de-rp-07336000,49.54981086,7.471320282,592,844.447614292846,9,285.261489698891,51,876.288659793814,180,1283.42245989305,242,1001.90444646849,87,489.231288309059,23,435.44112078758
Landkreis,110521,Rheinland-Pfalz,Südliche Weinstraße,de-rp-07337000,49.19038234,8.048076004,579,522.643365859383,22,452.209660842754,83,872.490276463786,148,678.401173450678,225,566.579371474617,80,298.429514679002,19,243.340163934426
Landkreis,154609,Rheinland-Pfalz,Rhein-Pfalz-Kreis,de-rp-07338000,49.41664998,8.360681086,709,458.146477635473,20,257.698750161062,55,394.519761853525,189,612.641815235008,320,577.30470864153,103,290.083645478356,22,197.841726618705
Landkreis,211417,Rheinland-Pfalz,Mainz-Bingen,de-rp-07339000,49.92201388,8.079648751,1752,828.270889965725,51,502.314586821629,202,993.654385360815,470,1094.88200899201,722,924.47950011524,261,554.764384551619,43,334.292155795693
Landkreis,94831,Rheinland-Pfalz,Südwestpfalz,de-rp-07340000,49.20827474,7.65886719,1086,1144.2178017532,21,559.701492537313,76,1035.84571350688,282,1549.96152577773,465,1397.27756242676,190,780.479789681236,52,656.15141955836
Stadtkreis,635911,Baden-Württemberg,Stuttgart,de-bw-08111000,48.77453396,9.172067988,5812,922.093272304678,137,452.488687782805,567,1082.04041907597,2057,1103.68879946345,2255,1023.40906409128,602,556.675482236319,194,505.550633241257
Landkreis,392807,Baden-Württemberg,Böblingen,de-bw-08115000,48.67822563,8.942777301,2500,636.297461427648,54,255.669712608305,274,724.695178396678,739,806.583643487847,1044,751.809311201527,326,415.149122583603,63,253.368188216368
Landkreis,535024,Baden-Württemberg,Esslingen,de-bw-08116000,48.64802168,9.369165728,3228,608.114059334691,88,339.270568278202,279,570.914076408357,1020,802.252599455727,1337,704.982863168996,399,369.646380893266,93,262.089956036524
Landkreis,258145,Baden-Württemberg,Göppingen,de-bw-08117000,48.66314836,9.717504977,1108,428.934118038032,17,134.589502018843,78,329.280648429585,356,607.9546424851,436,485.134413387929,163,294.351343542329,58,321.846734365463
Landkreis,545423,Baden-Württemberg,Ludwigsburg,de-bw-08118000,48.94060298,9.124344257,3071,563.516223799065,69,242.778227367088,284,548.930166032047,910,713.417741366469,1302,668.793244263634,405,373.175586023883,101,292.728168565052
Landkreis,427248,Baden-Württemberg,Rems-Murr-Kreis,de-bw-08119000,48.89900813,9.501212956,4032,944.098332264572,98,465.735196274118,419,1061.86167921133,1136,1172.92363606327,1703,1125.48905572592,568,635.197548674249,108,370.344969480831
Stadtkreis,126592,Baden-Württemberg,Heilbronn (Stadt),de-bw-08121000,49.15271959,9.182346901,660,521.91241360768,10,151.171579743008,43,361.435656047743,231,682.46277475774,270,638.358237185549,74,311.02891728312,32,392.927308447937
Landkreis,344456,Baden-Württemberg,Heilbronn (Landkreis),de-bw-08125000,49.17719852,9.190778723,2490,718.898958607011,44,248.363061639196,209,644.186906669954,772,965.820947805635,1003,806.425676979482,366,525.280939190838,94,462.803407020826
Landkreis,112655,Baden-Württemberg,Hohenlohekreis,de-bw-08126000,49.27154614,9.614135781,915,811.42198377156,18,324.382771670571,71,675.997334095021,280,1041.62791562814,377,950.915603087323,139,602.514087559601,30,428.204396231801
