"Kreis","Typ","Bundesland","Einwohner","Tote","Infizierte","Inzidenz","Neuinfektionen","Tote.in.7.Tagen","hc.key","lat","lon","Datum"
"Dessau-Roßlau","Kreisfreie Stadt","Sachsen-Anhalt","79354","157","23349","845.57804269476","671","0","de-st-15001000",51.85373809,12.23105596,"29.4.2022"
"Halle (Saale)","Kreisfreie Stadt","Sachsen-Anhalt","237865","567","72824","701.238097240031","1668","2","de-st-15002000",51.47980191,11.96849683,"29.4.2022"
"Magdeburg","Kreisfreie Stadt","Sachsen-Anhalt","235775","214","61370","557.735128830453","1315","0","de-st-15003000",52.11659764,11.64148202,"29.4.2022"
"Altmarkkreis Salzwedel","Landkreis","Sachsen-Anhalt","82687","141","26700","1187.61111178299","982","0","de-st-15081000",52.68004816,11.22704527,"29.4.2022"
"Anhalt-Bitterfeld","Landkreis","Sachsen-Anhalt","157217","375","50792","496.129553419796","780","1","de-st-15082000",51.79544503,12.14320207,"29.4.2022"
"Börde","Landkreis","Sachsen-Anhalt","170567","210","55639","590.383837436315","1007","0","de-st-15083000",52.2207123,11.34783843,"29.4.2022"
"Burgenlandkreis","Landkreis","Sachsen-Anhalt","177590","860","63409","912.776620305197","1621","0","de-st-15084000",51.14722563,11.88342243,"29.4.2022"
"Harz","Landkreis","Sachsen-Anhalt","210975","487","67472","687.285223367698","1450","0","de-st-15085000",51.82129589,10.95854382,"29.4.2022"
"Jerichower Land","Landkreis","Sachsen-Anhalt","89403","207","27994","489.916445756854","438","2","de-st-15086000",52.26078983,12.02651884,"29.4.2022"
"Mansfeld-Südharz","Landkreis","Sachsen-Anhalt","133690","345","44509","480.963422843893","643","0","de-st-15087000",51.53569018,11.35635847,"29.4.2022"
"Saalekreis","Landkreis","Sachsen-Anhalt","183434","558","64405","683.079472725885","1253","0","de-st-15088000",51.42567108,11.86547404,"29.4.2022"
"Salzlandkreis","Landkreis","Sachsen-Anhalt","187457","435","57486","434.766373088228","815","0","de-st-15089000",51.85185919,11.64272562,"29.4.2022"
"Stendal","Landkreis","Sachsen-Anhalt","110485","279","33417","615.468163099063","680","0","de-st-15090000",52.69677817,11.83953435,"29.4.2022"
"Wittenberg","Landkreis","Sachsen-Anhalt","124185","413","39748","464.629383580948","577","0","de-st-15091000",51.82014007,12.70158824,"29.4.2022"
"Erfurt","Kreisfreie Stadt","Thüringen","213692","500","63107","415.083391048799","887","0","de-th-16051000",50.98325269,11.02022481,"29.4.2022"
"Gera","Kreisfreie Stadt","Thüringen","92126","352","28354","394.025573670842","363","1","de-th-16052000",50.89401708,12.08269619,"29.4.2022"
"Jena","Kreisfreie Stadt","Thüringen","110731","141","34289","629.45335994437","697","0","de-th-16053000",50.9242638,11.58701125,"29.4.2022"
"Suhl","Kreisfreie Stadt","Thüringen","36395","175","10115","456.106608050556","166","0","de-th-16054000",50.61160285,10.68817756,"29.4.2022"
"Weimar","Kreisfreie Stadt","Thüringen","65098","149","21159","619.066637991951","403","0","de-th-16055000",50.97834717,11.31787228,"29.4.2022"
"Eichsfeld","Landkreis","Thüringen","99463","330","35118","841.518956798005","837","0","de-th-16061000",51.3836492,10.25348539,"29.4.2022"
"Nordhausen","Landkreis","Thüringen","82456","101","23610","260.745124672553","215","0","de-th-16062000",51.50227798,10.73090674,"29.4.2022"
"Wartburgkreis","Landkreis","Thüringen","159937","441","49617","532.709754465821","852","0","de-th-16063000",50.8858017,10.21070395,"29.4.2022"
"Unstrut-Hainich-Kreis","Landkreis","Thüringen","101698","408","33696","675.529508938229","687","0","de-th-16064000",51.18523871,10.55179556,"29.4.2022"
"Kyffhäuserkreis","Landkreis","Thüringen","73522","236","21800","372.677565898643","274","0","de-th-16065000",51.32476308,10.9848332,"29.4.2022"
"Schmalkalden-Meiningen","Landkreis","Thüringen","124241","644","42883","534.445150956608","664","0","de-th-16066000",50.63070769,10.40504341,"29.4.2022"
"Gotha","Landkreis","Thüringen","134563","331","42348","404.271605121765","544","0","de-th-16067000",50.91066058,10.69376272,"29.4.2022"
"Sömmerda","Landkreis","Thüringen","69107","228","22774","312.558785651236","216","1","de-th-16068000",51.15780806,11.15475118,"29.4.2022"
"Hildburghausen","Landkreis","Thüringen","62656","398","23068","464.44075587334","291","0","de-th-16069000",50.43400275,10.73409041,"29.4.2022"
"Ilm-Kreis","Landkreis","Thüringen","105606","422","37311","888.207109444539","938","0","de-th-16070000",50.73793376,10.96635749,"29.4.2022"
"Weimarer Land","Landkreis","Thüringen","82291","129","26512","375.496712884763","309","0","de-th-16071000",50.971572,11.37355327,"29.4.2022"
"Sonneberg","Landkreis","Thüringen","57044","284","19830","376.902040530117","215","0","de-th-16072000",50.41463055,11.13295266,"29.4.2022"
"Saalfeld-Rudolstadt","Landkreis","Thüringen","102139","523","35077","278.052457924985","284","0","de-th-16073000",50.63779796,11.30911625,"29.4.2022"
