"Kreis","Typ","Bundesland","Einwohner","Tote","Infizierte","Fälle.pro.100.000","Neuinfektionen.pro.100.000","Neuinfektionen","hc.key","lat","lon"
"Neustadt an der Weinstraße","Kreisfreie Stadt","Rheinland-Pfalz","53306","44","2533","4751.8","208.2",111,"de-rp-07316000","49.3418758196","8.15228785937"
"Pirmasens","Kreisfreie Stadt","Rheinland-Pfalz","40176","59","1772","4410.6","131.9",53,"de-rp-07317000","49.1971270853","7.59436316477"
"Speyer","Kreisfreie Stadt","Rheinland-Pfalz","50741","95","3785","7459.5","159.6",81,"de-rp-07318000","49.3297181375","8.43501974938"
"Worms","Kreisfreie Stadt","Rheinland-Pfalz","83459","99","5673","6797.3","264.8",221,"de-rp-07319000","49.6494455343","8.32452863106"
"Zweibrücken","Kreisfreie Stadt","Rheinland-Pfalz","34001","9","1142","3358.7","94.1",32,"de-rp-07320000","49.2481606938","7.36539388964"
"Alzey-Worms","Landkreis","Rheinland-Pfalz","130715","143","6879","5262.6","177.5",232,"de-rp-07331000","49.759441395","8.15718502019"
"Bad Dürkheim","Landkreis","Rheinland-Pfalz","133004","162","5864","4408.9","209",278,"de-rp-07332000","49.4530205976","8.11030493729"
"Donnersbergkreis","Landkreis","Rheinland-Pfalz","75539","76","3267","4324.9","166.8",126,"de-rp-07333000","49.631983052","7.9150113274"
"Germersheim","Landkreis","Rheinland-Pfalz","129006","129","8015","6212.9","359.7",464,"de-rp-07334000","49.1159081733","8.2461937699"
"Kaiserslautern","Landkreis","Rheinland-Pfalz","106320","87","5278","4964.3","162.7",173,"de-rp-07335000","49.446222318","7.6849815727"
"Kusel","Landkreis","Rheinland-Pfalz","70105","72","2704","3857.1","109.8",77,"de-rp-07336000","49.5498108558","7.47132028218"
"Südliche Weinstraße","Landkreis","Rheinland-Pfalz","110783","121","5111","4613.5","310.5",344,"de-rp-07337000","49.1903823441","8.04807600445"
"Rhein-Pfalz-Kreis","Landkreis","Rheinland-Pfalz","154754","232","8843","5714.2","219.7",340,"de-rp-07338000","49.416649982","8.36068108599"
"Mainz-Bingen","Landkreis","Rheinland-Pfalz","211525","233","9501","4491.7","114.9",243,"de-rp-07339000","49.9220138826","8.07964875059"
"Südwestpfalz","Landkreis","Rheinland-Pfalz","94912","90","3319","3496.9","161.2",153,"de-rp-07340000","49.2082747366","7.65886718981"
"Stuttgart","Stadtkreis","Baden-Württemberg","630305","531","41807","6632.8","337.6",2128,"de-bw-08111000","48.7745339639","9.17206798796"
"Böblingen","Landkreis","Baden-Württemberg","392898","300","23416","5959.8","288.6",1134,"de-bw-08115000","48.6782256288","8.9427773012"
"Esslingen","Landkreis","Baden-Württemberg","533617","582","35135","6584.3","357.6",1908,"de-bw-08116000","48.6480216763","9.36916572775"
"Göppingen","Landkreis","Baden-Württemberg","258781","269","17573","6790.7","300.6",778,"de-bw-08117000","48.6631483606","9.71750497706"
"Ludwigsburg","Landkreis","Baden-Württemberg","544971","538","35600","6532.5","249.2",1358,"de-bw-08118000","48.940602979","9.12434425665"
"Rems-Murr-Kreis","Landkreis","Baden-Württemberg","427286","395","28571","6686.6","385.9",1649,"de-bw-08119000","48.899008131","9.50121295556"
"Heilbronn","Stadtkreis","Baden-Württemberg","126458","148","11942","9443.5","493.4",624,"de-bw-08121000","49.1527195922","9.18234690067"
"Heilbronn","Landkreis","Baden-Württemberg","346363","219","22654","6540.5","379.1",1313,"de-bw-08125000","49.177198517","9.19077872323"
"Hohenlohekreis","Landkreis","Baden-Württemberg","112765","141","7411","6572.1","338.8",382,"de-bw-08126000","49.2715461389","9.61413578119"
"Schwäbisch Hall","Landkreis","Baden-Württemberg","197860","269","14065","7108.6","373",738,"de-bw-08127000","49.1444689707","9.90893216762"
"Main-Tauber-Kreis","Landkreis","Baden-Württemberg","132684","94","6967","5250.8","373.1",495,"de-bw-08128000","49.5607007055","9.72508840096"
"Heidenheim","Landkreis","Baden-Württemberg","132812","179","9353","7042.3","513.5",682,"de-bw-08135000","48.6622814605","10.182150425"
"Ostalbkreis","Landkreis","Baden-Württemberg","314294","441","20583","6549","291.1",915,"de-bw-08136000","48.877525969","10.0901573582"
"Baden-Baden","Stadtkreis","Baden-Württemberg","55449","74","3151","5682.7","248.9",138,"de-bw-08211000","48.748527439","8.23176220313"
"Karlsruhe","Stadtkreis","Baden-Württemberg","308436","236","15277","4953.1","313.8",968,"de-bw-08212000","49.0113339856","8.41266976981"
"Karlsruhe","Landkreis","Baden-Württemberg","446852","509","26450","5919.2","348.9",1559,"de-bw-08215000","49.0818849258","8.56279664203"
"Rastatt","Landkreis","Baden-Württemberg","232091","228","13919","5997.2","358.5",832,"de-bw-08216000","48.7618192531","8.24124756893"
"Heidelberg","Stadtkreis","Baden-Württemberg","158741","66","6699","4220.1","175.1",278,"de-bw-08221000","49.4055152955","8.69417184974"
"Mannheim","Stadtkreis","Baden-Württemberg","309721","336","22312","7203.9","353.2",1094,"de-bw-08222000","49.4994190357","8.50032443773"
"Neckar-Odenwald-Kreis","Landkreis","Baden-Württemberg","143797","147","8411","5849.2","376.9",542,"de-bw-08225000","49.4666097739","9.28011000163"
"Rhein-Neckar-Kreis","Landkreis","Baden-Württemberg","548233","471","29932","5459.7","264.5",1450,"de-bw-08226000","49.3684849338","8.76708442595"
"Pforzheim","Stadtkreis","Baden-Württemberg","126016","223","11383","9033","434.9",548,"de-bw-08231000","48.8764005469","8.71277909336"
"Calw","Landkreis","Baden-Württemberg","160149","194","11198","6992.2","425.9",682,"de-bw-08235000","48.6789990614","8.6357698286"
"Enzkreis","Landkreis","Baden-Württemberg","199752","273","13406","6711.3","348.9",697,"de-bw-08236000","48.9144669267","8.73708120338"
"Freudenstadt","Landkreis","Baden-Württemberg","118364","164","7237","6114.2","310.9",368,"de-bw-08237000","48.4744061685","8.4653129709"
