datum,intensiv,beatmet
2020-10-13,618,319
2020-10-14,602,323
2020-10-15,655,329
2020-10-16,690,341
2020-10-17,731,345
2020-10-18,769,354
2020-10-19,851,389
2020-10-20,879,411
2020-10-21,943,424
2020-10-22,1030,459
2020-10-23,1121,478
2020-10-24,1200,533
2020-10-25,1294,578
2020-10-26,1360,622
2020-10-27,1468,688
2020-10-28,1569,764
2020-10-29,1696,826
2020-10-30,1839,919
2020-10-31,1944,1004
2020-11-01,2061,1086
2020-11-02,2243,1167
2020-11-03,2380,1256
2020-11-04,2546,1349
2020-11-05,2653,1422
2020-11-06,2753,1445
2020-11-07,2839,1534
2020-11-08,2905,1605
2020-11-09,3005,1688
2020-11-10,3059,1737
2020-11-11,3127,1787
2020-11-12,3186,1813
2020-11-13,3299,1859
2020-11-14,3325,1876
2020-11-15,3385,1923
2020-11-16,3436,1971
2020-11-17,3517,2010
2020-11-18,3561,2024
2020-11-19,3588,2084
2020-11-20,3615,2103
2020-11-21,3630,2098
2020-11-22,3709,2132
2020-11-23,3742,2161
2020-11-24,3770,2176
2020-11-25,3781,2214
2020-11-26,3826,2290
2020-11-27,3854,2301
2020-11-28,3888,2306
2020-11-29,3901,2300
2020-11-30,3926,2319
2020-12-01,3919,2354
2020-12-02,3957,2353
2020-12-03,3980,2381
2020-12-04,4011,2388
2020-12-05,4051,2416
2020-12-06,4108,2457
2020-12-07,4179,2513
2020-12-08,4257,2535
2020-12-09,4278,2521
2020-12-10,4339,2505
2020-12-11,4432,2540
2020-12-12,4491,2542
2020-12-13,4552,2602
2020-12-14,4670,2668
2020-12-15,4735,2679
2020-12-16,4836,2760
2020-12-17,4856,2774
2020-12-18,4899,2603
2020-12-19,4939,2605
2020-12-20,5022,2639
2020-12-21,5167,2690
2020-12-22,5216,2726
2020-12-23,5243,2809
2020-12-24,5354,2832
2020-12-25,5388,2847
2020-12-26,5535,2916
2020-12-27,5562,2960
2020-12-28,5597,3017
2020-12-29,5649,3071
2020-12-30,5648,3063
2020-12-31,5639,3112
2021-01-01,5598,3111
2021-01-02,5726,3129
2021-01-03,5762,3171
2021-01-04,5744,3211
2021-01-05,5678,3181
2021-01-06,5569,3123
2021-01-07,5491,3099
2021-01-08,5484,3070
2021-01-09,5414,3066
2021-01-10,5320,3049
2021-01-11,5289,3006
2021-01-12,5230,3000
2021-01-13,5185,2970
2021-01-14,5125,2943
2021-01-15,5074,2936
2021-01-16,5015,2865
2021-01-17,4971,2835
2021-01-18,5003,2869
2021-01-19,4947,2862
2021-01-20,4836,2777
