land,country,continent,date,erste,ersterate,zweite,zweiterate,population,ersteger,zweiteger
Irland,Ireland,Europa,2021-01-10,     52414,1.05,15,0,4982904,  1,05,  0,00
Israel,Israel,Asien,2021-01-10,   1928508,21.94,6024,0.07,8789776, 21,94,  0,07
Italien,Italy,Europa,2021-01-10,    684182,1.13,14,0,60367471,  1,13,  0,00
Lettland,Latvia,Europa,2021-01-10,      7106,0.38,10,0,1866934,  0,38,  0,00
Nordamerika,North America,Kontinent,2021-01-10,   7099319,1.19,3047,0,596581283,  1,19,  0,00
Norwegen,Norway,Europa,2021-01-10,     23570,0.43,19,0,5465629,  0,43,  0,00
Slowenien,Slovenia,Europa,2021-01-10,     30549,1.47,2,0,2078723,  1,47,  0,00
Schweiz,Switzerland,Europa,2021-01-10,     39782,0.46,35,0,8715494,  0,46,  0,00
VAE,United Arab Emirates,Asien,2021-01-10,    836568,8.37,250000,2.5,9991083,  8,37,  2,50
Großbritannien,United Kingdom,Europa,2021-01-10,   2286572,3.35,391399,0.57,68207114,  3,35,  0,57
Welt,World,Welt,2021-01-10,  15793003,0.2,652347,0.01,7874965730,  0,20,  0,01
Asien,Asia,Kontinent,2021-01-11,   2900447,0.06,275271,0.01,4678444992,  0,06,  0,01
Belgien,Belgium,Europa,2021-01-11,     34005,0.29,164,0,11632334,  0,29,  0,00
Kanada,Canada,Nordamerika,2021-01-11,    358297,0.94,3054,0.01,38067913,  0,94,  0,01
Tschechien,Czechia,Europa,2021-01-11,     59905,0.56,6,0,10724553,  0,56,  0,00
Dänemark,Denmark,Europa,2021-01-11,    109537,1.88,5,0,5813302,  1,88,  0,00
Estland,Estonia,Europa,2021-01-11,     11766,0.89,12,0,1325188,  0,89,  0,00
Europa,Europe,Kontinent,2021-01-11,   6412701,0.86,414263,0.06,748962983,  0,86,  0,06
Europa,European Union,Kontinent,2021-01-11,   3094366,0.69,2025,0,447189915,  0,69,  0,00
Deutschland,Germany,Europa,2021-01-11,    746438,0.89,1665,0,83900471,  0,89,  0,00
Irland,Ireland,Europa,2021-01-11,     60711,1.22,17,0,4982904,  1,22,  0,00
Israel,Israel,Asien,2021-01-11,   1949594,22.18,25271,0.29,8789776, 22,18,  0,29
Italien,Italy,Europa,2021-01-11,    766486,1.27,14,0,60367471,  1,27,  0,00
Lettland,Latvia,Europa,2021-01-11,      8483,0.45,10,0,1866934,  0,45,  0,00
Nordamerika,North America,Kontinent,2021-01-11,   9442430,1.58,3054,0,596581283,  1,58,  0,00
Norwegen,Norway,Europa,2021-01-11,     23981,0.44,27,0,5465629,  0,44,  0,00
Portugal,Portugal,Europa,2021-01-11,     85030,0.84,130,0,10167923,  0,84,  0,00
Slowenien,Slovenia,Europa,2021-01-11,     31033,1.49,2,0,2078723,  1,49,  0,00
Schweiz,Switzerland,Europa,2021-01-11,     47079,0.54,44,0,8715494,  0,54,  0,00
Großbritannien,United Kingdom,Europa,2021-01-11,   2431648,3.57,412167,0.6,68207114,  3,57,  0,60
Welt,World,Welt,2021-01-11,  18766289,0.24,692588,0.01,7874965730,  0,24,  0,01
VAE,United Arab Emirates,Asien,2021-01-11,    836568,8.37,250000,2.5,9991083,  8,37,  2,50
Asien,Asia,Kontinent,2021-01-12,   2934759,0.06,310919,0.01,4678444992,  0,06,  0,01
Belgien,Belgium,Europa,2021-01-12,     50029,0.43,193,0,11632334,  0,43,  0,00
Kanada,Canada,Nordamerika,2021-01-12,    386991,1.02,4309,0.01,38067913,  1,02,  0,01
Tschechien,Czechia,Europa,2021-01-12,     73300,0.68,8,0,10724553,  0,68,  0,00
Dänemark,Denmark,Europa,2021-01-12,    109999,1.89,7,0,5813302,  1,89,  0,00
Estland,Estonia,Europa,2021-01-12,     13346,1.01,14,0,1325188,  1,01,  0,00
Europa,Europe,Kontinent,2021-01-12,   7100399,0.95,430445,0.06,748962983,  0,95,  0,06
Europa,European Union,Kontinent,2021-01-12,   3558588,0.8,2127,0,447189915,  0,80,  0,00
Deutschland,Germany,Europa,2021-01-12,    825501,0.98,1729,0,83900471,  0,98,  0,00
Irland,Ireland,Europa,2021-01-12,     69532,1.4,17,0,4982904,  1,40,  0,00
Israel,Israel,Asien,2021-01-12,   1973566,22.45,60919,0.69,8789776, 22,45,  0,69
Italien,Italy,Europa,2021-01-12,    849845,1.41,14,0,60367471,  1,41,  0,00
Lettland,Latvia,Europa,2021-01-12,     10120,0.54,13,0,1866934,  0,54,  0,00
Nordamerika,North America,Kontinent,2021-01-12,   9816759,1.65,4309,0,596581283,  1,65,  0,00
Norwegen,Norway,Europa,2021-01-12,     28330,0.52,36,0,5465629,  0,52,  0,00
Portugal,Portugal,Europa,2021-01-12,     95912,0.94,130,0,10167923,  0,94,  0,00
Slowenien,Slovenia,Europa,2021-01-12,     32916,1.58,2,0,2078723,  1,58,  0,00
Schweiz,Switzerland,Europa,2021-01-12,     57351,0.66,50,0,8715494,  0,66,  0,00
Großbritannien,United Kingdom,Europa,2021-01-12,   2639309,3.87,428232,0.63,68207114,  3,87,  0,63
Welt,World,Welt,2021-01-12,  19862628,0.25,745673,0.01,7874965730,  0,25,  0,01
VAE,United Arab Emirates,Asien,2021-01-12,    836568,8.37,250000,2.5,9991083,  8,37,  2,50
Asien,Asia,Kontinent,2021-01-13,   2992421,0.06,367763,0.01,4678444992,  0,06,  0,01
Belgien,Belgium,Europa,2021-01-13,     71798,0.62,331,0,11632334,  0,62,  0,00
Kanada,Canada,Nordamerika,2021-01-13,    409143,1.07,13235,0.03,38067913,  1,07,  0,03
Chile,Chile,Südamerika,2021-01-13,     10712,0.06,1032,0.01,19212362,  0,06,  0,01
Tschechien,Czechia,Europa,2021-01-13,     86821,0.81,8,0,10724553,  0,81,  0,00
Dänemark,Denmark,Europa,2021-01-13,    122284,2.1,9,0,5813302,  2,10,  0,00
Estland,Estonia,Europa,2021-01-13,     14741,1.11,17,0,1325188,  1,11,  0,00
Europa,Europe,Kontinent,2021-01-13,   8162305,1.09,440682,0.06,748962983,  1,09,  0,06
Europa,European Union,Kontinent,2021-01-13,   4120728,0.92,2483,0,447189915,  0,92,  0,00
Deutschland,Germany,Europa,2021-01-13,    937450,1.12,1930,0,83900471,  1,12,  0,00
