woche,Baden-Württemberg 2016,Baden-Württemberg 2017,Baden-Württemberg 2018,Baden-Württemberg 2019,Baden-Württemberg 2020,Baden-Württemberg 2021,Baden-Württemberg Covid-19 2020,Baden-Württemberg Covid-19 2021,Baden-Württemberg Ø2016-19,Bayern 2016,Bayern 2017,Bayern 2018,Bayern 2019,Bayern 2020,Bayern 2021,Bayern Covid-19 2020,Bayern Covid-19 2021,Bayern Ø2016-19,Berlin 2016,Berlin 2017,Berlin 2018,Berlin 2019,Berlin 2020,Berlin 2021,Berlin Covid-19 2020,Berlin Covid-19 2021,Berlin Ø2016-19,Brandenburg 2016,Brandenburg 2017,Brandenburg 2018,Brandenburg 2019,Brandenburg 2020,Brandenburg 2021,Brandenburg Covid-19 2020,Brandenburg Covid-19 2021,Brandenburg Ø2016-19,Bremen 2016,Bremen 2017,Bremen 2018,Bremen 2019,Bremen 2020,Bremen 2021,Bremen Covid-19 2020,Bremen Covid-19 2021,Bremen Ø2016-19,Deutschland 2016,Deutschland 2017,Deutschland 2018,Deutschland 2019,Deutschland 2020,Deutschland 2021,Deutschland Covid-19 2020,Deutschland Covid-19 2021,Deutschland Ø2016-19,Hamburg 2016,Hamburg 2017,Hamburg 2018,Hamburg 2019,Hamburg 2020,Hamburg 2021,Hamburg Covid-19 2020,Hamburg Covid-19 2021,Hamburg Ø2016-19,Hessen 2016,Hessen 2017,Hessen 2018,Hessen 2019,Hessen 2020,Hessen 2021,Hessen Covid-19 2020,Hessen Covid-19 2021,Hessen Ø2016-19,Mecklenburg-Vorpommern 2016,Mecklenburg-Vorpommern 2017,Mecklenburg-Vorpommern 2018,Mecklenburg-Vorpommern 2019,Mecklenburg-Vorpommern 2020,Mecklenburg-Vorpommern 2021,Mecklenburg-Vorpommern Covid-19 2020,Mecklenburg-Vorpommern Covid-19 2021,Mecklenburg-Vorpommern Ø2016-19,Niedersachsen 2016,Niedersachsen 2017,Niedersachsen 2018,Niedersachsen 2019,Niedersachsen 2020,Niedersachsen 2021,Niedersachsen Covid-19 2020,Niedersachsen Covid-19 2021,Niedersachsen Ø2016-19,Nordrhein-Westfalen 2016,Nordrhein-Westfalen 2017,Nordrhein-Westfalen 2018,Nordrhein-Westfalen 2019,Nordrhein-Westfalen 2020,Nordrhein-Westfalen 2021,Nordrhein-Westfalen Covid-19 2020,Nordrhein-Westfalen Covid-19 2021,Nordrhein-Westfalen Ø2016-19,Rheinland-Pfalz 2016,Rheinland-Pfalz 2017,Rheinland-Pfalz 2018,Rheinland-Pfalz 2019,Rheinland-Pfalz 2020,Rheinland-Pfalz 2021,Rheinland-Pfalz Covid-19 2020,Rheinland-Pfalz Covid-19 2021,Rheinland-Pfalz Ø2016-19,Saarland 2016,Saarland 2017,Saarland 2018,Saarland 2019,Saarland 2020,Saarland 2021,Saarland Covid-19 2020,Saarland Covid-19 2021,Saarland Ø2016-19,Sachsen-Anhalt 2016,Sachsen-Anhalt 2017,Sachsen-Anhalt 2018,Sachsen-Anhalt 2019,Sachsen-Anhalt 2020,Sachsen-Anhalt 2021,Sachsen-Anhalt Covid-19 2020,Sachsen-Anhalt Covid-19 2021,Sachsen-Anhalt Ø2016-19,Sachsen 2016,Sachsen 2017,Sachsen 2018,Sachsen 2019,Sachsen 2020,Sachsen 2021,Sachsen Covid-19 2020,Sachsen Covid-19 2021,Sachsen Ø2016-19,Schleswig-Holstein 2016,Schleswig-Holstein 2017,Schleswig-Holstein 2018,Schleswig-Holstein 2019,Schleswig-Holstein 2020,Schleswig-Holstein 2021,Schleswig-Holstein Covid-19 2020,Schleswig-Holstein Covid-19 2021,Schleswig-Holstein Ø2016-19,Thüringen 2016,Thüringen 2017,Thüringen 2018,Thüringen 2019,Thüringen 2020,Thüringen 2021,Thüringen Covid-19 2020,Thüringen Covid-19 2021,Thüringen Ø2016-19
11,2175,2145,2763,2385,2346,2023,5,91,2367,2602,2671,3230,2864,2781,2663,5,166,2842,752,694,900,744,698,691,0,46,772,683,641,862,682,719,676,0,58,717,132,155,229,174,168,151,0,10,172,18971,18665,24385,19795,19901,18243,19,1110,20454,356,357,460,388,357,317,0,26,390,1320,1273,1661,1365,1421,1281,0,85,1405,405,373,572,443,459,402,0,30,448,1882,1951,2545,1937,2006,1901,0,92,2079,4343,4159,5331,4288,4465,3830,8,202,4530,999,947,1256,1057,1058,936,0,39,1065,269,277,403,282,274,247,0,5,308,676,632,911,711,687,692,0,48,732,1084,1065,1494,1133,1095,1073,2,96,1194,689,735,924,722,730,733,0,27,768,604,590,844,620,637,627,0,89,664
12,2250,2012,2568,2237,2407,2115,44,109,2267,2478,2570,3100,2783,2944,2630,40,136,2733,710,649,860,690,685,665,2,33,727,654,582,772,637,682,639,2,41,661,154,133,174,129,142,168,0,15,148,18826,17640,22777,19016,19752,18293,162,1167,19565,343,327,406,317,357,328,2,28,348,1329,1243,1546,1310,1331,1303,4,107,1357,417,385,546,456,443,430,0,28,451,1931,1794,2374,1917,2016,1770,7,85,2004,4300,3931,5081,4292,4369,4041,48,236,4401,914,936,1163,982,982,852,5,36,999,271,248,324,270,282,242,2,6,278,703,616,857,656,637,688,2,67,708,1082,1008,1391,1049,1139,1123,2,132,1132,740,674,897,708,754,650,2,10,755,550,532,718,583,582,649,2,98,596
13,2165,2054,2351,2208,2479,2055,174,132,2194,2629,2496,2929,2593,2901,2722,184,183,2662,678,709,784,650,738,671,18,33,705,597,614,795,616,735,654,6,56,656,150,159,184,153,156,135,4,7,162,18617,17731,20906,18562,19719,18380,601,1347,18954,362,366,418,346,374,332,15,25,373,1311,1244,1429,1321,1327,1301,14,111,1326,428,411,494,412,462,435,2,36,436,1882,1768,2088,1873,1986,1793,30,104,1903,4165,3891,4578,4135,4347,3971,99,234,4192,961,918,1020,950,940,894,19,52,962,270,240,297,285,302,265,7,5,273,655,606,777,617,654,670,7,79,664,1079,1025,1255,1048,1071,1110,12,144,1102,736,662,822,741,705,664,7,20,740,549,568,685,614,542,708,2,126,604
14,2139,1915,2200,2239,2600,2217,316,167,2123,2460,2534,2794,2657,3257,2585,435,213,2611,672,623,771,672,742,690,22,37,684,639,613,717,630,738,690,24,74,650,136,134,172,141,190,164,4,12,146,18244,17028,20038,18671,20661,18693,1371,1482,18495,343,327,365,361,427,305,25,14,349,1232,1190,1403,1296,1384,1315,55,116,1280,389,404,500,415,430,447,6,37,427,1845,1699,2059,1879,2064,1836,97,101,1870,4173,3684,4501,4174,4425,4041,267,293,4133,967,905,977,937,1014,910,24,44,946,296,245,287,257,313,230,22,6,271,627,601,679,632,644,715,5,81,635,1067,953,1230,1104,1135,1175,38,169,1088,684,652,753,682,689,673,20,17,693,575,549,630,595,609,700,11,101,587
15,2032,1998,2223,2015,2573,2168,350,144,2067,2506,2477,2680,2595,3273,2652,524,239,2564,675,646,738,702,749,708,53,33,690,572,549,708,582,679,730,31,57,603,145,148,164,140,161,165,12,14,149,17712,16901,19165,17852,20523,18923,1744,1471,17908,317,314,353,326,395,336,54,19,328,1270,1128,1287,1307,1429,1374,90,114,1248,419,391,464,411,421,421,2,21,421,1842,1669,1929,1818,2028,1812,136,83,1814,3936,3748,4199,4004,4497,4114,323,319,3972,911,879,984,897,981,933,38,62,918,241,233,264,248,279,266,37,7,246,599,573,672,597,615,692,12,86,610,1045,1000,1123,1004,1154,1179,36,153,1043,666,644,748,621,686,705,24,13,670,536,504,629,585,603,668,21,107,564
16,1952,1917,2090,2132,2455,2163,310,176,2023,2382,2331,2499,2479,3070,2758,481,216,2423,619,640,664,660,674,700,29,39,646,544,562,649,646,654,698,41,57,600,122,150,144,146,166,152,5,10,140,16775,16637,17992,18089,19289,19067,1595,1556,17373,312,358,344,365,391,344,53,27,345,1241,1166,1252,1298,1387,1318,94,118,1239,371,360,387,420,393,475,4,33,384,1638,1667,1877,1889,1821,1860,92,101,1768,3799,3727,4025,3996,4175,4155,300,349,3887,817,858,919,919,886,933,41,54,878,239,234,288,279,298,238,39,14,260,584,597,626,619,597,720,9,80,606,991,939,1029,1052,1073,1195,43,155,1003,661,626,641,633,668,694,27,19,640,503,505,558,556,581,664,27,108,530
17,2011,1989,1973,2079,2276,2305,231,164,2013,2360,2443,2491,2527,2783,2764,316,214,2455,616,641,660,631,695,660,26,32,637,590,611,583,615,703,692,30,63,600,121,163,128,151,142,167,2,9,141,17053,17634,17093,17894,18563,19294,1173,1520,17418,284,324,273,332,379,320,43,20,303,1252,1280,1233,1259,1274,1393,81,125,1256,382,428,414,445,383,498,2,29,417,1784,1785,1630,1832,1836,1871,83,92,1758,3793,3933,3720,3836,4010,4154,218,365,3820,855,876,845,885,915,954,40,49,865,235,253,233,272,246,245,19,10,248,627,623,617,650,616,751,6,81,629,985,1036,1091,1090,1057,1185,28,162,1050,640,678,688,701,676,670,23,14,677,518,571,514,589,572,665,25,91,548
18,1946,1941,1994,1981,2115,2182,144,145,1966,2390,2354,2451,2393,2703,2713,232,212,2397,630,592,624,631,708,682,16,16,619,562,582,583,592,585,628,12,38,580,123,149,134,165,154,145,5,7,143,16901,17129,16789,17090,17923,19118,798,1377,16977,309,338,336,330,321,340,28,22,328,1185,1280,1193,1220,1219,1355,42,121,1220,367,396,382,382,418,449,2,35,382,1733,1711,1640,1763,1793,1886,62,83,1712,3780,3789,3588,3697,3862,4276,145,336,3714,844,876,828,889,874,965,22,45,859,224,251,257,272,239,262,14,8,251,604,620,607,629,640,680,9,59,615,1005,1076,1023,949,1113,1210,24,150,1013,650,645,633,678,630,707,20,21,652,549,529,516,519,549,638,22,79,528
19,2019,2014,1982,2015,2143,2158,89,135,2008,2420,2435,2371,2431,2519,2635,137,155,2414,626,660,662,680,688,659,20,16,657,616,592,613,548,583,677,7,29,592,150,139,132,134,133,131,2,2,139,17629,17343,17226,17118,17644,18439,517,1106,17329,343,295,342,308,363,320,19,7,322,1241,1193,1188,1194,1280,1295,37,82,1204,387,373,395,400,405,420,2,26,389,1827,1757,1687,1779,1782,1777,35,68,1762,4031,3873,3864,3738,3769,4104,97,259,3876,898,904,900,802,932,878,19,39,876,244,234,241,267,267,249,9,10,246,659,625,653,568,582,673,6,48,626,1014,1056,1002,1006,1017,1181,13,140,1020,651,649,656,667,670,635,6,12,656,503,544,538,581,511,647,20,77,542
20,1923,1928,1880,2124,2021,2079,66,93,1964,2363,2417,2333,2409,2428,2504,86,131,2380,609,684,630,644,668,632,9,15,642,570,587,537,503,566,623,4,26,549,152,147,114,156,137,142,5,4,142,16601,17079,16488,17315,17000,17597,353,866,16871,329,321,318,369,316,298,9,4,334,1138,1169,1199,1202,1198,1236,21,67,1177,367,397,386,434,382,382,0,12,396,1725,1784,1649,1784,1802,1759,31,51,1736,3676,3739,3641,3808,3755,3844,60,204,3716,845,856,820,880,847,875,18,36,850,238,236,276,283,217,248,8,12,258,565,619,626,577,582,613,2,37,597,970,978,927,1021,985,1103,8,111,974,609,636,618,592,590,658,7,12,614,522,581,534,529,506,601,20,51,542
21,1877,1930,1939,2078,2017,2004,44,80,1956,2293,2278,2450,2555,2437,2424,77,92,2394,566,593,632,629,672,609,5,17,605,583,555,571,610,567,593,5,14,580,143,160,130,122,125,125,5,2,139,16286,16451,16513,17080,17166,16991,275,643,16582,299,322,319,346,336,301,8,2,322,1110,1162,1111,1208,1248,1189,20,67,1148,368,412,364,386,409,383,0,7,382,1684,1678,1646,1672,1685,1714,31,45,1670,3632,3630,3606,3637,3789,3727,42,140,3626,853,872,832,840,869,861,7,26,849,211,248,225,263,242,215,5,5,237,598,585,577,560,594,616,2,23,580,963,933,1004,1016,1010,1023,9,72,979,599,592,597,626,636,683,5,15,604,507,501,510,532,530,524,11,36,512
22,1878,1925,1914,2008,1895,2136,31,42,1931,2236,2504,2339,2400,2421,2480,37,59,2370,609,608,646,642,629,698,8,10,626,597,568,623,555,558,694,0,8,586,170,147,147,135,165,149,2,2,150,16346,16902,17039,16921,16769,17998,150,432,16802,315,320,343,280,313,330,2,4,314,1248,1208,1133,1222,1243,1260,12,37,1203,396,392,400,416,414,418,0,4,401,1656,1622,1736,1656,1706,1933,12,31,1668,3597,3763,3862,3760,3700,3873,21,95,3746,818,894,863,851,893,898,0,21,856,215,234,221,261,217,259,2,4,233,572,592,638,582,572,666,2,23,596,905,943,1029,1006,924,965,4,59,971,579,651,627,600,601,660,5,4,614,555,531,518,547,518,579,11,29,538
23,1916,1806,2030,2008,2016,,18,33,1940,2302,2294,2479,2497,2497,,27,37,2393,558,597,613,653,660,,2,7,605,525,575,531,608,616,,2,2,560,152,144,138,153,143,,2,2,147,15799,15846,16714,17491,17275,17265,115,238,16462,284,313,310,343,337,,2,2,312,1163,1124,1148,1213,1217,,10,19,1162,347,349,381,417,388,,0,4,374,1584,1593,1630,1721,1826,,6,16,1632,3426,3431,3671,3824,3786,,29,62,3588,798,767,827,870,883,,2,6,816,242,242,249,260,216,,2,4,248,509,576,570,678,584,,2,6,583,890,936,1034,1067,1015,,5,23,982,621,600,598,665,585,,2,5,621,482,499,505,514,506,,5,8,500
24,1804,1836,1788,1927,1887,,12,,1839,2249,2368,2249,2255,2393,,14,,2280,595,605,592,664,676,,2,,614,534,560,538,584,618,,2,,554,135,139,135,154,138,,5,,141,15717,16087,15582,16484,16609,18778,73,,15968,339,267,317,304,301,,2,,307,1124,1153,1097,1167,1197,,2,,1135,333,333,373,370,410,,0,,352,1597,1535,1552,1682,1647,,7,,1592,3499,3630,3385,3562,3662,,15,,3519,798,815,827,846,759,,2,,822,239,228,220,216,235,,2,,226,520,539,567,599,582,,2,,556,898,944,893,1016,964,,2,,938,570,602,582,592,614,,4,,586,483,533,467,546,526,,6,,507
25,2025,2023,1812,1967,1937,,5,,1957,2385,2413,2266,2386,2281,,14,,2362,620,557,614,641,616,,2,,608,583,569,518,598,596,,2,,567,129,143,147,145,159,,0,,141,16910,16819,15843,16639,16399,16243,52,,16553,324,306,306,275,340,,0,,303,1174,1200,1089,1148,1165,,6,,1153,389,364,369,397,383,,0,,380,1688,1699,1585,1705,1626,,7,,1669,3713,3764,3480,3557,3615,,9,,3628,836,895,811,866,799,,0,,852,245,248,246,262,227,,2,,250,640,549,579,566,554,,2,,584,989,975,916,988,946,,0,,967,637,589,618,643,633,,0,,622,533,525,487,495,522,,5,,510
26,1914,1915,1935,2162,2025,,6,,1982,2252,2446,2379,2449,2346,,7,,2382,588,580,553,648,671,,2,,592,557,523,574,617,591,,0,,568,118,145,132,123,160,,2,,130,15699,16076,16569,17918,17297,,55,,16566,287,305,320,333,341,,2,,311,1089,1166,1182,1272,1158,,2,,1177,341,336,396,416,409,,0,,372,1544,1572,1671,1752,1714,,6,,1635,3490,3451,3633,4149,3914,,23,,3681,759,833,910,892,919,,2,,848,222,235,237,273,217,,2,,242,542,545,577,599,648,,2,,566,944,901,901,1077,989,,2,,956,557,600,632,647,671,,0,,609,495,523,537,509,524,,0,,516
27,1920,1981,1979,2111,1848,,4,,1998,2300,2291,2414,2389,2307,,6,,2348,576,556,606,603,610,,2,,585,523,532,527,569,596,,2,,538,131,136,136,126,155,,2,,132,16229,16424,16622,16552,16452,,45,,16457,297,336,323,300,312,,0,,314,1124,1185,1163,1109,1141,,2,,1145,380,354,395,361,413,,0,,372,1697,1631,1686,1631,1634,,8,,1661,3666,3637,3638,3530,3685,,15,,3618,851,886,830,856,816,,0,,856,242,268,245,259,224,,2,,254,566,590,582,531,617,,0,,567,948,954,976,1028,956,,2,,976,531,594,614,639,652,,0,,594,477,493,508,510,486,,2,,497
28,1824,1767,1822,1899,1917,,2,,1828,2301,2154,2309,2272,2319,,10,,2259,580,588,562,623,600,,2,,588,533,514,540,583,603,,0,,542,137,140,139,131,147,,0,,137,16172,15603,16070,16319,16168,,29,,16041,306,291,289,285,305,,0,,293,1122,1072,1118,1158,1123,,2,,1118,382,350,367,386,357,,0,,371,1628,1592,1682,1676,1542,,2,,1644,3740,3444,3567,3598,3485,,7,,3587,846,805,808,841,842,,2,,825,201,237,248,231,241,,0,,229,578,596,549,553,566,,0,,569,947,976,958,973,1010,,0,,964,545,563,601,630,585,,2,,585,502,514,511,480,526,,2,,502
29,2011,1951,1944,1985,1824,,2,,1973,2492,2376,2350,2423,2378,,4,,2410,599,566,592,594,635,,2,,588,514,566,552,563,617,,0,,549,158,157,147,139,156,,0,,150,16985,16589,16702,16856,16532,,25,,16783,331,337,295,308,320,,0,,318,1201,1162,1161,1216,1151,,2,,1185,379,385,361,408,394,,0,,383,1645,1634,1620,1682,1696,,2,,1645,3899,3674,3871,3646,3607,,10,,3772,866,909,853,871,838,,2,,875,224,217,236,253,224,,0,,232,603,609,609,600,591,,0,,605,971,913,986,989,998,,0,,965,622,605,648,650,624,,2,,631,470,528,477,529,479,,2,,501
