value,name
145,Jüterbog (Urnenwahlbezirk 8)
146,Jüterbog (Urnenwahlbezirk 9)
147,Jüterbog (Urnenwahlbezirk 11)
148,Jüterbog (Urnenwahlbezirk 12)
149,Jüterbog (Urnenwahlbezirk 13)
150,Jüterbog (Urnenwahlbezirk 14)
151,Jüterbog (Urnenwahlbezirk 15)
152,Jüterbog (Urnenwahlbezirk 16)
153,Jüterbog (Urnenwahlbezirk 18)
154,Jüterbog (Urnenwahlbezirk 19)
155,Jüterbog (Urnenwahlbezirk 20)
156,Jüterbog (Briefwahlbezirk 9090)
157,Jüterbog (Briefwahlbezirk 9091)
158,Jüterbog (Briefwahlbezirk 9092)
159,Jüterbog (Briefwahlbezirk 9093)
160,Jüterbog (Briefwahlbezirk 9094)
161,Kloster Lehnin (Urnenwahlbezirk 801)
162,Kloster Lehnin (Urnenwahlbezirk 802)
163,Kloster Lehnin (Urnenwahlbezirk 803)
164,Kloster Lehnin (Urnenwahlbezirk 804)
165,Kloster Lehnin (Urnenwahlbezirk 805)
166,Kloster Lehnin (Urnenwahlbezirk 806)
167,Kloster Lehnin (Urnenwahlbezirk 807)
168,Kloster Lehnin (Urnenwahlbezirk 808)
169,Kloster Lehnin (Urnenwahlbezirk 809)
170,Kloster Lehnin (Urnenwahlbezirk 810)
171,Kloster Lehnin (Urnenwahlbezirk 811)
172,Kloster Lehnin (Urnenwahlbezirk 812)
173,Kloster Lehnin (Urnenwahlbezirk 813)
174,Kloster Lehnin (Urnenwahlbezirk 814)
175,Kloster Lehnin (Urnenwahlbezirk 815)
176,Kloster Lehnin (Urnenwahlbezirk 816)
177,Kloster Lehnin (Urnenwahlbezirk 817)
178,Kloster Lehnin (Briefwahlbezirk 9034)
179,Kloster Lehnin (Briefwahlbezirk 9035)
180,Kloster Lehnin (Briefwahlbezirk 9036)
181,Milower Land (Urnenwahlbezirk 1)
182,Milower Land (Urnenwahlbezirk 2)
183,Milower Land (Urnenwahlbezirk 3)
184,Milower Land (Urnenwahlbezirk 4)
185,Milower Land (Urnenwahlbezirk 5)
186,Milower Land (Urnenwahlbezirk 6)
187,Milower Land (Urnenwahlbezirk 7)
188,Milower Land (Urnenwahlbezirk 8)
189,Milower Land (Urnenwahlbezirk 9)
190,Milower Land (Urnenwahlbezirk 10)
191,Milower Land (Briefwahlbezirk 9084)
192,Milower Land (Briefwahlbezirk 9085)
193,Niedergörsdorf (Urnenwahlbezirk 1)
194,Niedergörsdorf (Urnenwahlbezirk 2)
195,Niedergörsdorf (Urnenwahlbezirk 3)
196,Niedergörsdorf (Urnenwahlbezirk 4)
197,Niedergörsdorf (Urnenwahlbezirk 5)
198,Niedergörsdorf (Urnenwahlbezirk 6)
199,Niedergörsdorf (Urnenwahlbezirk 7)
200,Niedergörsdorf (Urnenwahlbezirk 8)
201,Niedergörsdorf (Urnenwahlbezirk 9)
202,Niedergörsdorf (Urnenwahlbezirk 10)
203,Niedergörsdorf (Urnenwahlbezirk 11)
204,Niedergörsdorf (Urnenwahlbezirk 12)
205,Niedergörsdorf (Urnenwahlbezirk 13)
206,Niedergörsdorf (Briefwahlbezirk 9097)
207,Premnitz (Urnenwahlbezirk 1)
208,Premnitz (Urnenwahlbezirk 2)
209,Premnitz (Urnenwahlbezirk 3)
210,Premnitz (Urnenwahlbezirk 4)
211,Premnitz (Urnenwahlbezirk 5)
212,Premnitz (Urnenwahlbezirk 6)
213,Premnitz (Urnenwahlbezirk 7)
214,Premnitz (Briefwahlbezirk 9080)
215,Premnitz (Briefwahlbezirk 9081)
216,Rathenow (Urnenwahlbezirk 1)
217,Rathenow (Urnenwahlbezirk 2)
218,Rathenow (Urnenwahlbezirk 3)
219,Rathenow (Urnenwahlbezirk 4)
220,Rathenow (Urnenwahlbezirk 5)
221,Rathenow (Urnenwahlbezirk 6)
222,Rathenow (Urnenwahlbezirk 7)
223,Rathenow (Urnenwahlbezirk 8)
224,Rathenow (Urnenwahlbezirk 9)
225,Rathenow (Urnenwahlbezirk 10)
226,Rathenow (Urnenwahlbezirk 11)
227,Rathenow (Urnenwahlbezirk 12)
228,Rathenow (Urnenwahlbezirk 13)
229,Rathenow (Urnenwahlbezirk 14)
230,Rathenow (Urnenwahlbezirk 15)
231,Rathenow (Urnenwahlbezirk 16)
232,Rathenow (Urnenwahlbezirk 17)
233,Rathenow (Urnenwahlbezirk 18)
234,Rathenow (Urnenwahlbezirk 19)
235,Rathenow (Urnenwahlbezirk 20)
236,Rathenow (Urnenwahlbezirk 21)
237,Rathenow (Urnenwahlbezirk 22)
238,Rathenow (Urnenwahlbezirk 23)
239,Rathenow (Briefwahlbezirk 9070)
240,Rathenow (Briefwahlbezirk 9071)
241,Rathenow (Briefwahlbezirk 9072)
242,Rathenow (Briefwahlbezirk 9073)
243,Rathenow (Briefwahlbezirk 9074)
244,Rathenow (Briefwahlbezirk 9075)
245,Rathenow (Briefwahlbezirk 9076)
246,Rathenow (Briefwahlbezirk 9077)
247,Seddiner See (Urnenwahlbezirk 2001)
248,Seddiner See (Urnenwahlbezirk 2002)
249,Seddiner See (Urnenwahlbezirk 2003)
250,Seddiner See (Urnenwahlbezirk 2004)
251,Seddiner See (Briefwahlbezirk 9038)
252,Treuenbrietzen (Urnenwahlbezirk 1401)
253,Treuenbrietzen (Urnenwahlbezirk 1402)
254,Treuenbrietzen (Urnenwahlbezirk 1403)
255,Treuenbrietzen (Urnenwahlbezirk 1404)
256,Treuenbrietzen (Urnenwahlbezirk 1405)
257,Treuenbrietzen (Urnenwahlbezirk 1406)
258,Treuenbrietzen (Urnenwahlbezirk 1407)
259,Treuenbrietzen (Urnenwahlbezirk 1408)
260,Treuenbrietzen (Urnenwahlbezirk 1409)
261,Treuenbrietzen (Urnenwahlbezirk 1410)
262,Treuenbrietzen (Urnenwahlbezirk 1411)
263,Treuenbrietzen (Urnenwahlbezirk 1412)
264,Treuenbrietzen (Urnenwahlbezirk 1413)
265,Treuenbrietzen (Briefwahlbezirk 9040)
266,Treuenbrietzen (Briefwahlbezirk 9041)
267,Werder (Havel) (Urnenwahlbezirk 1500)
268,Werder (Havel) (Urnenwahlbezirk 1501)
269,Werder (Havel) (Urnenwahlbezirk 1502)
270,Werder (Havel) (Urnenwahlbezirk 1503)
271,Werder (Havel) (Urnenwahlbezirk 1504)
272,Werder (Havel) (Urnenwahlbezirk 1505)
273,Werder (Havel) (Urnenwahlbezirk 1506)
274,Werder (Havel) (Urnenwahlbezirk 1507)
275,Werder (Havel) (Urnenwahlbezirk 1508)
276,Werder (Havel) (Urnenwahlbezirk 1509)
277,Werder (Havel) (Urnenwahlbezirk 1510)
278,Werder (Havel) (Urnenwahlbezirk 1511)
279,Werder (Havel) (Urnenwahlbezirk 1512)
280,Werder (Havel) (Urnenwahlbezirk 1514)
281,Werder (Havel) (Urnenwahlbezirk 1515)
282,Werder (Havel) (Urnenwahlbezirk 1516)
283,Werder (Havel) (Urnenwahlbezirk 1517)
284,Werder (Havel) (Urnenwahlbezirk 1519)
285,Werder (Havel) (Urnenwahlbezirk 1521)
286,Werder (Havel) (Urnenwahlbezirk 1522)
287,Werder (Havel) (Urnenwahlbezirk 1523)
288,Werder (Havel) (Urnenwahlbezirk 1524)
289,Werder (Havel) (Briefwahlbezirk 9044)
290,Werder (Havel) (Briefwahlbezirk 9045)
291,Werder (Havel) (Briefwahlbezirk 9046)
292,Werder (Havel) (Briefwahlbezirk 9047)
293,Werder (Havel) (Briefwahlbezirk 9048)
294,Werder (Havel) (Briefwahlbezirk 9049)
295,Werder (Havel) (Briefwahlbezirk 9050)
296,Werder (Havel) (Briefwahlbezirk 9051)
297,Werder (Havel) (Briefwahlbezirk 9052)
298,Werder (Havel) (Briefwahlbezirk 9053)
299,Wiesenburg/Mark (Urnenwahlbezirk 1601)
300,Wiesenburg/Mark (Urnenwahlbezirk 1602)
301,Wiesenburg/Mark (Urnenwahlbezirk 1603)
302,Wiesenburg/Mark (Urnenwahlbezirk 1604)
303,Wiesenburg/Mark (Urnenwahlbezirk 1605)
304,Wiesenburg/Mark (Urnenwahlbezirk 1606)
305,Wiesenburg/Mark (Urnenwahlbezirk 1607)
306,Wiesenburg/Mark (Urnenwahlbezirk 1608)
307,Wiesenburg/Mark (Urnenwahlbezirk 1609)
308,Wiesenburg/Mark (Urnenwahlbezirk 1610)
309,Wiesenburg/Mark (Urnenwahlbezirk 1611)
310,Wiesenburg/Mark (Urnenwahlbezirk 1612)
311,Wiesenburg/Mark (Urnenwahlbezirk 1613)
312,Wiesenburg/Mark (Urnenwahlbezirk 1614)
313,Wiesenburg/Mark (Urnenwahlbezirk 1617)
314,Wiesenburg/Mark (Briefwahlbezirk 9055)
315,Wiesenburg/Mark (Briefwahlbezirk 9056)
