"Kreis","Typ","Bundesland","Einwohner","Tote","Tote.in.7.Tagen","hc.key","totrel"
"Gütersloh","Kreis","Nordrhein-Westfalen",364818,373,0,"de-nw-05754000",102
"Herford","Kreis","Nordrhein-Westfalen",250547,214,1,"de-nw-05758000",85
"Höxter","Kreis","Nordrhein-Westfalen",139729,165,0,"de-nw-05762000",118
"Lippe","Kreis","Nordrhein-Westfalen",346970,453,0,"de-nw-05766000",131
"Minden-Lübbecke","Kreis","Nordrhein-Westfalen",310270,355,1,"de-nw-05770000",114
"Paderborn","Kreis","Nordrhein-Westfalen",308335,185,0,"de-nw-05774000",60
"Bochum","Kreisfreie Stadt","Nordrhein-Westfalen",364454,309,1,"de-nw-05911000",85
"Dortmund","Kreisfreie Stadt","Nordrhein-Westfalen",587696,442,0,"de-nw-05913000",75
"Hagen","Kreisfreie Stadt","Nordrhein-Westfalen",188687,362,0,"de-nw-05914000",192
"Hamm","Kreisfreie Stadt","Nordrhein-Westfalen",178967,227,0,"de-nw-05915000",127
"Herne","Kreisfreie Stadt","Nordrhein-Westfalen",156940,303,0,"de-nw-05916000",193
"Ennepe-Ruhr-Kreis","Kreis","Nordrhein-Westfalen",323130,408,0,"de-nw-05954000",126
"Hochsauerlandkreis","Kreis","Nordrhein-Westfalen",259030,227,1,"de-nw-05958000",88
"Märkischer Kreis","Kreis","Nordrhein-Westfalen",408662,475,3,"de-nw-05962000",116
"Olpe","Kreis","Nordrhein-Westfalen",133362,179,0,"de-nw-05966000",134
"Siegen-Wittgenstein","Kreis","Nordrhein-Westfalen",275491,221,0,"de-nw-05970000",80
"Soest","Kreis","Nordrhein-Westfalen",301016,229,1,"de-nw-05974000",76
"Unna","Kreis","Nordrhein-Westfalen",393618,530,1,"de-nw-05978000",135
"Darmstadt","Kreisfreie Stadt","Hessen",159174,166,0,"de-he-06411000",104
"Frankfurt am Main","Kreisfreie Stadt","Hessen",764104,949,1,"de-he-06412000",124
"Offenbach am Main","Kreisfreie Stadt","Hessen",130892,219,1,"de-he-06413000",167
"Wiesbaden","Kreisfreie Stadt","Hessen",278609,314,1,"de-he-06414000",113
"Bergstraße","Landkreis","Hessen",271015,377,0,"de-he-06431000",139
"Darmstadt-Dieburg","Landkreis","Hessen",297701,344,0,"de-he-06432000",116
"Groß-Gerau","Landkreis","Hessen",275807,329,1,"de-he-06433000",119
"Hochtaunuskreis","Landkreis","Hessen",237281,240,1,"de-he-06434000",101
"Main-Kinzig-Kreis","Landkreis","Hessen",421689,709,1,"de-he-06435000",168
"Main-Taunus-Kreis","Landkreis","Hessen",239264,252,0,"de-he-06436000",105
"Odenwaldkreis","Landkreis","Hessen",96754,193,0,"de-he-06437000",199
"Offenbach","Landkreis","Hessen",356542,622,0,"de-he-06438000",174
