"region","neuinf","neuinfpro","add"
"<b>Sonneberg</b><br>Landkreis<br>Thüringen","215","376,902040530117",""
"<b>Saalfeld-Rudolstadt</b><br>Landkreis<br>Thüringen","284","278,052457924985",""
"<b>Saale-Holzland-Kreis</b><br>Landkreis<br>Thüringen","327","394,851236476043",""
"<b>Saale-Orla-Kreis</b><br>Landkreis<br>Thüringen","258","323,990355635925",""
"<b>Greiz</b><br>Landkreis<br>Thüringen","279","288,616708735052",""
"<b>Altenburger Land</b><br>Landkreis<br>Thüringen","323","365,566571596722",""
"<b>Hamburg</b><br>Kreisfreie Stadt<br>Hamburg","16003","863,869908306603",""
"<b>Braunschweig</b><br>Kreisfreie Stadt<br>Niedersachsen","2357","948,258174049831",""
"<b>Salzgitter</b><br>Kreisfreie Stadt<br>Niedersachsen","662","637,359674965821",""
"<b>Wolfsburg</b><br>Kreisfreie Stadt<br>Niedersachsen","1627","1313,79198966408",""
"<b>Gifhorn</b><br>Landkreis<br>Niedersachsen","2005","1131,31746291479",""
"<b>Goslar</b><br>Landkreis<br>Niedersachsen","1204","893,91779520076",""
"<b>Helmstedt</b><br>Landkreis<br>Niedersachsen","854","933,149762888175",""
"<b>Northeim</b><br>Landkreis<br>Niedersachsen","1607","1219,53070455028",""
"<b>Peine</b><br>Landkreis<br>Niedersachsen","1142","840,670180501163",""
"<b>Wolfenbüttel</b><br>Landkreis<br>Niedersachsen","1023","857,063865081559",""
"<b>Göttingen</b><br>Landkreis<br>Niedersachsen","2494","769,990737882062",""
"<b>Region Hannover</b><br>Landkreis<br>Niedersachsen","8127","703,435382098621",""
"<b>Diepholz</b><br>Landkreis<br>Niedersachsen","3193","1464,19531164019",""
"<b>Hameln-Pyrmont</b><br>Landkreis<br>Niedersachsen","1152","775,339884237448",""
"<b>Hildesheim</b><br>Landkreis<br>Niedersachsen","2096","760,897975779049",""
"<b>Holzminden</b><br>Landkreis<br>Niedersachsen","787","1120,9708433632",""
"<b>Nienburg (Weser)</b><br>Landkreis<br>Niedersachsen","2168","1782,23519256854",""
"<b>Schaumburg</b><br>Landkreis<br>Niedersachsen","2042","1289,09258487684",""
"<b>Celle</b><br>Landkreis<br>Niedersachsen","1484","827,266341854994",""
"<b>Cuxhaven</b><br>Landkreis<br>Niedersachsen","3523","1771,90105921761",""
"<b>Harburg</b><br>Landkreis<br>Niedersachsen","2257","881,585525904631",""
"<b>Lüchow-Dannenberg</b><br>Landkreis<br>Niedersachsen","622","1282,39490340804",""
"<b>Lüneburg</b><br>Landkreis<br>Niedersachsen","1936","1050,83181805846",""
