"region","neuinf","neuinfpro","add"
"<b>Freudenstadt</b><br>Landkreis<br>Baden-Württemberg","904","763,745733500051",""
"<b>Freiburg im Breisgau</b><br>Stadtkreis<br>Baden-Württemberg","1673","724,430588031523",""
"<b>Breisgau-Hochschwarzwald</b><br>Landkreis<br>Baden-Württemberg","1887","712,433032427596",""
"<b>Emmendingen</b><br>Landkreis<br>Baden-Württemberg","1406","842,612458198991",""
"<b>Ortenaukreis</b><br>Landkreis<br>Baden-Württemberg","2559","591,56687780295",""
"<b>Rottweil</b><br>Landkreis<br>Baden-Württemberg","646","460,882096942197",""
"<b>Schwarzwald-Baar-Kreis</b><br>Landkreis<br>Baden-Württemberg","817","383,798714720583",""
"<b>Tuttlingen</b><br>Landkreis<br>Baden-Württemberg","611","431,247441453396",""
"<b>Konstanz</b><br>Landkreis<br>Baden-Württemberg","1623","565,749661874817",""
"<b>Lörrach</b><br>Landkreis<br>Baden-Württemberg","1093","477,62211482158",""
"<b>Waldshut</b><br>Landkreis<br>Baden-Württemberg","809","472,444623533465",""
"<b>Reutlingen</b><br>Landkreis<br>Baden-Württemberg","1599","556,179716657913",""
"<b>Tübingen</b><br>Landkreis<br>Baden-Württemberg","1738","760,70923662084",""
"<b>Zollernalbkreis</b><br>Landkreis<br>Baden-Württemberg","1125","592,535631142619",""
"<b>Ulm</b><br>Stadtkreis<br>Baden-Württemberg","706","558,522210355603",""
"<b>Alb-Donau-Kreis</b><br>Landkreis<br>Baden-Württemberg","1255","633,186010373151",""
"<b>Biberach</b><br>Landkreis<br>Baden-Württemberg","1593","787,639060568603",""
"<b>Bodenseekreis</b><br>Landkreis<br>Baden-Württemberg","1571","720,969614641512",""
"<b>Ravensburg</b><br>Landkreis<br>Baden-Württemberg","2159","755,190843966868",""
"<b>Sigmaringen</b><br>Landkreis<br>Baden-Württemberg","835","637,667435431399",""
"<b>Ingolstadt</b><br>Kreisfreie Stadt<br>Bayern","822","600,210292657281",""
"<b>München</b><br>Kreisfreie Stadt<br>Bayern","9197","617,99406263397",""
"<b>Rosenheim</b><br>Kreisfreie Stadt<br>Bayern","485","762,68654369329",""
"<b>Altötting</b><br>Landkreis<br>Bayern","913","817,70469486091",""
"<b>Berchtesgadener Land</b><br>Landkreis<br>Bayern","567","533,26060172863",""
"<b>Bad Tölz-Wolfratshausen</b><br>Landkreis<br>Bayern","735","573,26927276698",""
"<b>Dachau</b><br>Landkreis<br>Bayern","1285","828,406944435491",""
"<b>Ebersberg</b><br>Landkreis<br>Bayern","1443","1001,450472271",""
"<b>Eichstätt</b><br>Landkreis<br>Bayern","961","721,639420585872",""
"<b>Erding</b><br>Landkreis<br>Bayern","1093","786,948038389816",""
"<b>Freising</b><br>Landkreis<br>Bayern","1347","747,034323648323",""
"<b>Fürstenfeldbruck</b><br>Landkreis<br>Bayern","1862","851,238913778916",""
"<b>Garmisch-Partenkirchen</b><br>Landkreis<br>Bayern","521","590,174333646734",""
"<b>Landsberg am Lech</b><br>Landkreis<br>Bayern","957","790,784918070716",""
"<b>Miesbach</b><br>Landkreis<br>Bayern","797","795,544154197818",""
"<b>Mühldorf a. Inn</b><br>Landkreis<br>Bayern","1008","865,362327549943",""
"<b>München</b><br>Landkreis<br>Bayern","2217","633,999170682185",""
"<b>Neuburg-Schrobenhausen</b><br>Landkreis<br>Bayern","688","703,980354036632",""
"<b>Pfaffenhofen a.d. Ilm</b><br>Landkreis<br>Bayern","847","655,938293786011",""
"<b>Rosenheim</b><br>Landkreis<br>Bayern","2218","847,467341176291",""
"<b>Starnberg</b><br>Landkreis<br>Bayern","989","723,958714588976",""
"<b>Traunstein</b><br>Landkreis<br>Bayern","1134","638,92723328732",""
"<b>Weilheim-Schongau</b><br>Landkreis<br>Bayern","1086","797,743399885407",""
"<b>Landshut</b><br>Kreisfreie Stadt<br>Bayern","435","595,360295627181",""
"<b>Passau</b><br>Kreisfreie Stadt<br>Bayern","290","553,27673375942",""
"<b>Straubing</b><br>Kreisfreie Stadt<br>Bayern","415","871,629001092162",""
"<b>Deggendorf</b><br>Landkreis<br>Bayern","679","568,300705563321",""
"<b>Freyung-Grafenau</b><br>Landkreis<br>Bayern","517","659,817497287984",""
"<b>Kelheim</b><br>Landkreis<br>Bayern","1061","859,875192479131",""
"<b>Landshut</b><br>Landkreis<br>Bayern","1236","766,792190630991",""
"<b>Passau</b><br>Landkreis<br>Bayern","1465","757,285969791268",""
"<b>Regen</b><br>Landkreis<br>Bayern","455","588,516808298734",""
"<b>Rottal-Inn</b><br>Landkreis<br>Bayern","987","810,344827586207",""
"<b>Straubing-Bogen</b><br>Landkreis<br>Bayern","1048","1030,02604550592",""
"<b>Dingolfing-Landau</b><br>Landkreis<br>Bayern","702","721,895438278968",""
"<b>Amberg</b><br>Kreisfreie Stadt<br>Bayern","231","549,31988966042",""
"<b>Regensburg</b><br>Kreisfreie Stadt<br>Bayern","944","619,951402114665",""
"<b>Weiden i.d. OPf.</b><br>Kreisfreie Stadt<br>Bayern","287","674,738450687669",""
"<b>Amberg-Sulzbach</b><br>Landkreis<br>Bayern","708","687,391988193946",""
"<b>Cham</b><br>Landkreis<br>Bayern","1128","880,603306946461",""
"<b>Neumarkt i.d. OPf.</b><br>Landkreis<br>Bayern","1239","916,250693288963",""
"<b>Neustadt a.d. Waldnaab</b><br>Landkreis<br>Bayern","751","793,491468117703",""
"<b>Regensburg</b><br>Landkreis<br>Bayern","1477","760,262514476901",""
"<b>Schwandorf</b><br>Landkreis<br>Bayern","982","661,381897532951",""
"<b>Tirschenreuth</b><br>Landkreis<br>Bayern","758","1057,24168712341",""
"<b>Bamberg</b><br>Kreisfreie Stadt<br>Bayern","681","888,175913608264",""
"<b>Bayreuth</b><br>Kreisfreie Stadt<br>Bayern","607","819,738547968885",""
"<b>Coburg</b><br>Kreisfreie Stadt<br>Bayern","323","790,852553743695",""
"<b>Hof</b><br>Kreisfreie Stadt<br>Bayern","379","838,996745843756",""
"<b>Bamberg</b><br>Landkreis<br>Bayern","1580","1071,20822796396",""
"<b>Bayreuth</b><br>Landkreis<br>Bayern","1149","1108,22828152278",""
"<b>Coburg</b><br>Landkreis<br>Bayern","803","927,562347668388",""
"<b>Forchheim</b><br>Landkreis<br>Bayern","954","818,181818181818",""
"<b>Hof</b><br>Landkreis<br>Bayern","978","1034,67975709359",""
"<b>Kronach</b><br>Landkreis<br>Bayern","540","813,804536206767",""
"<b>Kulmbach</b><br>Landkreis<br>Bayern","807","1129,80903847231",""
"<b>Lichtenfels</b><br>Landkreis<br>Bayern","702","1052,12673481011",""
"<b>Wunsiedel i. Fichtelgebirge</b><br>Landkreis<br>Bayern","583","810,014727540501",""
"<b>Ansbach</b><br>Kreisfreie Stadt<br>Bayern","462","1108,41870396584",""
"<b>Erlangen</b><br>Kreisfreie Stadt<br>Bayern","814","724,295946968012",""
"<b>Fürth</b><br>Kreisfreie Stadt<br>Bayern","980","764,293457492026",""
"<b>Nürnberg</b><br>Kreisfreie Stadt<br>Bayern","3462","671,524974638391",""
"<b>Schwabach</b><br>Kreisfreie Stadt<br>Bayern","308","750,194855806703",""
"<b>Ansbach</b><br>Landkreis<br>Bayern","1880","1014,48336894818",""
"<b>Erlangen-Höchstadt</b><br>Landkreis<br>Bayern","1394","1009,37692335542",""
"<b>Fürth</b><br>Landkreis<br>Bayern","1060","893,045199882051",""
"<b>Nürnberger Land</b><br>Landkreis<br>Bayern","1430","835,558567981162",""
"<b>Neustadt a.d. Aisch-Bad Windsheim</b><br>Landkreis<br>Bayern","1056","1042,73639308002",""
"<b>Roth</b><br>Landkreis<br>Bayern","1279","1005,75616507297",""
"<b>Weißenburg-Gunzenhausen</b><br>Landkreis<br>Bayern","851","894,687595277395",""
"<b>Aschaffenburg</b><br>Kreisfreie Stadt<br>Bayern","599","845,352677185357",""
"<b>Schweinfurt</b><br>Kreisfreie Stadt<br>Bayern","413","774,58316922673",""
"<b>Würzburg</b><br>Kreisfreie Stadt<br>Bayern","1143","900,326102367787",""
"<b>Aschaffenburg</b><br>Landkreis<br>Bayern","1768","1012,26396729609",""
"<b>Bad Kissingen</b><br>Landkreis<br>Bayern","1174","1137,9387219029",""
"<b>Rhön-Grabfeld</b><br>Landkreis<br>Bayern","751","944,535278581311",""
"<b>Haßberge</b><br>Landkreis<br>Bayern","909","1078,61168792643",""
"<b>Kitzingen</b><br>Landkreis<br>Bayern","706","769,935438841389",""
"<b>Miltenberg</b><br>Landkreis<br>Bayern","1020","792,276084913355",""
"<b>Main-Spessart</b><br>Landkreis<br>Bayern","1338","1062,10706801295",""
"<b>Schweinfurt</b><br>Landkreis<br>Bayern","1074","928,648013004531",""
"<b>Würzburg</b><br>Landkreis<br>Bayern","1550","952,69119897724",""
"<b>Augsburg</b><br>Kreisfreie Stadt<br>Bayern","2129","719,670080789643",""
"<b>Kaufbeuren</b><br>Kreisfreie Stadt<br>Bayern","243","544,086695624916",""
"<b>Kempten (Allgäu)</b><br>Kreisfreie Stadt<br>Bayern","472","684,65332172904",""
"<b>Memmingen</b><br>Kreisfreie Stadt<br>Bayern","380","856,627592425609",""
"<b>Aichach-Friedberg</b><br>Landkreis<br>Bayern","1072","793,932930441996",""
"<b>Augsburg</b><br>Landkreis<br>Bayern","2151","840,562719812427",""
"<b>Dillingen a.d. Donau</b><br>Landkreis<br>Bayern","1046","1076,44177335035",""
"<b>Günzburg</b><br>Landkreis<br>Bayern","846","664,35268803694",""
"<b>Neu-Ulm</b><br>Landkreis<br>Bayern","1196","680,229549035109",""
"<b>Lindau (Bodensee)</b><br>Landkreis<br>Bayern","629","766,278857282086",""
"<b>Ostallgäu</b><br>Landkreis<br>Bayern","1152","811,799276991269",""
"<b>Unterallgäu</b><br>Landkreis<br>Bayern","1347","921,567554254126",""
"<b>Donau-Ries</b><br>Landkreis<br>Bayern","1168","869,539322831363",""
"<b>Oberallgäu</b><br>Landkreis<br>Bayern","1235","790,106712388361",""
