id,bundesland,wahlkreis,partei,Stimmenanteil,number
66,ST,Altmark,Linke,18.5,4.65999857941642
67,ST,Börde – Jerichower Land,Linke,16.6,4.65971923829056
68,ST,Harz,Linke,17.7,4.00165952998213
69,ST,Magdeburg,Linke,18.7,4.47062401589938
70,ST,Dessau – Wittenberg,Linke,17.3,4.43985329708084
71,ST,Anhalt,Linke,17.8,4.45540331909433
72,ST,Halle,Linke,19.2,4.87314397096634
73,ST,Burgenland – Saalekreis,Linke,16.3,4.90762578882277
74,ST,Mansfeld,Linke,17.3,4.32076029130258
75,BE,Berlin-Mitte,Linke,21.5,4.26630303123966
76,BE,Berlin-Pankow,Linke,23.5,4.89281616057269
77,BE,Berlin-Reinickendorf,Linke,8.5,4.82863153261133
78,BE,Berlin-Spandau – Charlottenburg Nord,Linke,9.8,4.62116261292249
79,BE,Berlin-Steglitz-Zehlendorf,Linke,9.1,4.24425052758306
80,BE,Berlin-Charlottenburg-Wilmersdorf,Linke,11.7,4.17140020872466
81,BE,Berlin-Tempelhof-Schöneberg,Linke,13.2,4.00312040327117
82,BE,Berlin-Neukölln,Linke,18.2,4.4144767341204
83,BE,Berlin-Friedrichshain-Kreuzberg – Prenzlauer Berg Ost,Linke,28.5,4.38153326092288
84,BE,Berlin-Treptow-Köpenick,Linke,25.1,4.9819315217901
85,BE,Berlin-Marzahn-Hellersdorf,Linke,26.1,4.9767281494569
86,BE,Berlin-Lichtenberg,Linke,29.3,4.83270148956217
87,NW,Aachen I,Linke,10.3,4.68188131228089
88,NW,Aachen II,Linke,5.9,4.1353571517393
89,NW,Heinsberg,Linke,5.6,4.23765283077955
90,NW,Düren,Linke,5.9,4.76556649315171
91,NW,Rhein-Erft-Kreis I,Linke,6,4.46091967262328
92,NW,Euskirchen – Rhein-Erft-Kreis II,Linke,6.1,4.6853276535403
93,NW,Köln I,Linke,11,4.18076079967432
94,NW,Köln II,Linke,10.7,4.7143073126208
95,NW,Köln III,Linke,12.8,4.58823949820362
96,NW,Bonn,Linke,9.6,4.79267420759425
97,NW,Rhein-Sieg-Kreis I,Linke,7.1,4.88553319545463
98,NW,Rhein-Sieg-Kreis II,Linke,6.4,4.52050777478144
99,NW,Oberbergischer Kreis,Linke,6.4,4.47266962961294
100,NW,Rheinisch-Bergischer Kreis,Linke,6.4,4.27611039974727
101,NW,Leverkusen – Köln IV,Linke,9.3,4.21703997510485
102,NW,Wuppertal I,Linke,10.8,4.21310178679414
103,NW,Solingen – Remscheid – Wuppertal II,Linke,7.8,4.3263148770202
104,NW,Mettmann I,Linke,6.4,4.98574341880158
105,NW,Mettmann II,Linke,6.8,4.34053943865001
106,NW,Düsseldorf I,Linke,8.5,4.67977132136002
107,NW,Düsseldorf II,Linke,9.9,4.04635329148732
108,NW,Neuss I,Linke,6.2,4.25855274870992
109,NW,Mönchengladbach,Linke,7.4,4.10447132284753
110,NW,Krefeld I – Neuss II,Linke,6.4,4.60752558102831
111,NW,Viersen,Linke,6,4.20026183919981
112,NW,Kleve,Linke,5.6,4.967392987106
113,NW,Wesel I,Linke,6.7,4.31096908426844
114,NW,Krefeld II – Wesel II,Linke,7.6,4.21179859759286
115,NW,Duisburg I,Linke,8.7,4.41012237919495
116,NW,Duisburg II,Linke,8.4,4.59866932476871
117,NW,Oberhausen – Wesel III,Linke,8.3,4.20313472952694
118,NW,Mülheim – Essen I,Linke,7.4,4.72132443566807
119,NW,Essen II,Linke,8.7,4.35751076228917
120,NW,Essen III,Linke,8.3,4.74157611699775
121,NW,Recklinghausen I,Linke,7.3,4.39780131168664
122,NW,Recklinghausen II,Linke,6.6,4.68467254261486
123,NW,Gelsenkirchen,Linke,7.4,4.52328775636852
124,NW,Steinfurt I – Borken I,Linke,5.5,4.72564199520275
125,NW,Bottrop – Recklinghausen III,Linke,6.8,4.96774701005779
126,NW,Borken II,Linke,4.2,4.11691933963448
127,NW,Coesfeld – Steinfurt II,Linke,5.4,4.63220315077342
128,NW,Steinfurt III,Linke,6.4,4.8739894235041
129,NW,Münster,Linke,10.1,4.45825146674179
130,NW,Warendorf,Linke,5.5,4.41613268223591
131,NW,Gütersloh I,Linke,6.1,4.38125806790777
132,NW,Bielefeld – Gütersloh II,Linke,11.1,4.74957726639695
133,NW,Herford – Minden-Lübbecke II,Linke,6.9,4.74615498259664
134,NW,Minden-Lübbecke I,Linke,6.3,4.45909700472839
135,NW,Lippe I,Linke,7,4.06162405805662
136,NW,Höxter – Gütersloh III – Lippe II,Linke,5.7,4.84379629092291
137,NW,Paderborn,Linke,6.7,4.08108223136514
138,NW,Hagen – Ennepe-Ruhr-Kreis I,Linke,7.2,4.44153841980733
139,NW,Ennepe-Ruhr-Kreis II,Linke,8.1,4.83730154018849
140,NW,Bochum I,Linke,10.2,4.15856477618217
141,NW,Herne – Bochum II,Linke,8.6,4.93458317872137
142,NW,Dortmund I,Linke,10,4.37400698661804
143,NW,Dortmund II,Linke,9.1,4.3041516309604
144,NW,Unna I,Linke,6.9,4.27271707984619
145,NW,Hamm – Unna II,Linke,7,4.66486357850954
146,NW,Soest,Linke,6.8,4.11541624972597
147,NW,Hochsauerlandkreis,Linke,5.4,4.20980659034103
148,NW,Siegen-Wittgenstein,Linke,7.8,4.03978856164031
149,NW,Olpe – Märkischer Kreis I,Linke,5.4,4.07037075678818
150,NW,Märkischer Kreis II,Linke,6.5,4.41151234391145
151,SN,Nordsachsen,Linke,14.7,4.91874982998706
152,SN,Leipzig I,Linke,19.5,4.76492065866478
153,SN,Leipzig II,Linke,22.5,4.45695827621967
154,SN,Leipzig-Land,Linke,14.7,4.19831816060469
155,SN,Meißen,Linke,13.3,4.38969420734793
156,SN,Bautzen I,Linke,14.2,4.14187136245891
157,SN,Görlitz,Linke,14,4.06602399516851
158,SN,Sächsische Schweiz-Osterzgebirge,Linke,12.8,4.1635989274364
159,SN,Dresden I,Linke,17.1,4.2453414965421
160,SN,Dresden II – Bautzen II,Linke,17.3,4.10997182759456
161,SN,Mittelsachsen,Linke,14.5,4.03395526879467
162,SN,Chemnitz,Linke,19.2,4.042297745822
163,SN,Chemnitzer Umland – Erzgebirgskreis II,Linke,15.3,4.01609210832976
164,SN,Erzgebirgskreis I,Linke,14.1,4.08784958370961
165,SN,Zwickau,Linke,16.6,4.7575255210977
166,SN,Vogtlandkreis,Linke,16,4.49902377394028
167,HE,Waldeck,Linke,7,4.53528032428585
168,HE,Kassel,Linke,11.3,4.64318915456533
169,HE,Werra-Meißner – Hersfeld-Rotenburg,Linke,6.7,4.28400618280284
170,HE,Schwalm-Eder,Linke,6.5,4.45228826557286
171,HE,Marburg,Linke,10.2,4.46517244051211
172,HE,Lahn-Dill,Linke,6.7,4.43440006743185
173,HE,Gießen,Linke,8.4,4.83321573655121
