...1,Typ,Bundesland,Einwohner,Tote,Infizierte,Fälle pro 100.000,hc-key...8,lat,lon,bl,inf,tot,hc-key...14
Karlsruhe,Landkreis,Baden-Württemberg,446852,603,77435,1261,de-bw-08215000,49.0818849258,8.56279664203,null,null,null,null
Rastatt,Landkreis,Baden-Württemberg,232091,323,43941,1277,de-bw-08216000,48.7618192531,8.24124756893,null,null,null,null
Heidelberg,Stadtkreis,Baden-Württemberg,158741,88,22287,1723,de-bw-08221000,49.4055152955,8.69417184974,null,null,null,null
Mannheim,Stadtkreis,Baden-Württemberg,309721,441,58039,1882,de-bw-08222000,49.4994190357,8.50032443773,null,null,null,null
Neckar-Odenwald-Kreis,Landkreis,Baden-Württemberg,143797,189,25389,1757,de-bw-08225000,49.4666097739,9.28011000163,null,null,null,null
Rhein-Neckar-Kreis,Landkreis,Baden-Württemberg,548233,584,90108,1925,de-bw-08226000,49.3684849338,8.76708442595,null,null,null,null
Pforzheim,Stadtkreis,Baden-Württemberg,126016,306,29548,1522,de-bw-08231000,48.8764005469,8.71277909336,null,null,null,null
Calw,Landkreis,Baden-Württemberg,160149,248,32737,1435,de-bw-08235000,48.6789990614,8.6357698286,null,null,null,null
Enzkreis,Landkreis,Baden-Württemberg,199752,322,37042,1501,de-bw-08236000,48.9144669267,8.73708120338,null,null,null,null
Freudenstadt,Landkreis,Baden-Württemberg,118364,203,23462,1742,de-bw-08237000,48.4744061685,8.4653129709,null,null,null,null
Freiburg im Breisgau,Stadtkreis,Baden-Württemberg,230940,224,41643,992,de-bw-08311000,47.9925229956,7.81807596197,null,null,null,null
Breisgau-Hochschwarzwald,Landkreis,Baden-Württemberg,264867,270,44912,1099,de-bw-08315000,47.9249093559,7.92494089685,null,null,null,null
Emmendingen,Landkreis,Baden-Württemberg,166862,209,29686,1122,de-bw-08316000,48.1485120637,7.89755038202,null,null,null,null
Ortenaukreis,Landkreis,Baden-Württemberg,432580,729,90286,1337,de-bw-08317000,48.4209719355,8.01621990932,null,null,null,null
Rottweil,Landkreis,Baden-Württemberg,140166,256,32544,1518,de-bw-08325000,48.254220293,8.53235133177,null,null,null,null
Schwarzwald-Baar-Kreis,Landkreis,Baden-Württemberg,212872,320,47007,1837,de-bw-08326000,48.0191197382,8.41096435345,null,null,null,null
Tuttlingen,Landkreis,Baden-Württemberg,141682,228,32312,1825,de-bw-08327000,48.01120044,8.7941361763,null,null,null,null
Konstanz,Landkreis,Baden-Württemberg,286876,386,51751,1025,de-bw-08335000,47.7932127909,8.9157630123,null,null,null,null
Lörrach,Landkreis,Baden-Württemberg,228842,378,44218,1085,de-bw-08336000,47.703504023,7.77402882816,null,null,null,null
Waldshut,Landkreis,Baden-Württemberg,171237,276,31227,1016,de-bw-08337000,47.6971334745,8.21889239137,null,null,null,null
Reutlingen,Landkreis,Baden-Württemberg,287497,390,58719,1208,de-bw-08415000,48.4064763532,9.36572629856,null,null,null,null
Tübingen,Landkreis,Baden-Württemberg,228471,230,39205,1243,de-bw-08416000,48.481737902,8.98763400076,null,null,null,null
Zollernalbkreis,Landkreis,Baden-Württemberg,189862,214,40629,1672,de-bw-08417000,48.2672389069,8.93742839835,null,null,null,null
Ulm,Stadtkreis,Baden-Württemberg,126405,106,27420,1695,de-bw-08421000,48.3908327419,9.9500211353,null,null,null,null
Alb-Donau-Kreis,Landkreis,Baden-Württemberg,198204,215,40035,1731,de-bw-08425000,48.4017114301,9.82744714375,null,null,null,null
Biberach,Landkreis,Baden-Württemberg,202250,261,43598,1805,de-bw-08426000,48.1075826288,9.77425436647,null,null,null,null
Bodenseekreis,Landkreis,Baden-Württemberg,217901,257,42128,1464,de-bw-08435000,47.7334602866,9.40077001359,null,null,null,null
Ravensburg,Landkreis,Baden-Württemberg,285888,205,57064,1667,de-bw-08436000,47.8250441153,9.77989455833,null,null,null,null
Sigmaringen,Landkreis,Baden-Württemberg,130946,140,27660,2015,de-bw-08437000,48.0391514971,9.24100350319,null,null,null,null
Ingolstadt,Kreisfreie Stadt,Bayern,136952,217,32908,1686,de-by-09161000,48.7550927761,11.3950069326,null,null,null,null
München,Kreisfreie Stadt,Bayern,1488202,1807,325946,1228,de-by-09162000,48.1532131611,11.5472441841,null,null,null,null
Rosenheim,Kreisfreie Stadt,Bayern,63591,116,16769,1316,de-by-09163000,47.8443777181,12.1087247511,null,null,null,null
Altötting,Landkreis,Bayern,111654,302,25750,1609,de-by-09171000,48.2098044272,12.7052826752,null,null,null,null
Berchtesgadener Land,Landkreis,Bayern,106327,172,28590,1778,de-by-09172000,47.6984724021,12.9018660877,null,null,null,null
Bad Tölz-Wolfratshausen,Landkreis,Bayern,128212,167,30731,1724,de-by-09173000,47.7274771535,11.4831153973,null,null,null,null
Dachau,Landkreis,Bayern,155117,204,36934,1530,de-by-09174000,48.3345482595,11.3571128101,null,null,null,null
Ebersberg,Landkreis,Bayern,144091,245,30444,1467,de-by-09175000,48.0761776106,11.9131721198,null,null,null,null
Eichstätt,Landkreis,Bayern,133169,134,28197,2035,de-by-09176000,48.8980875603,11.3703873291,null,null,null,null
Erding,Landkreis,Bayern,138891,159,33615,1725,de-by-09177000,48.3003970808,12.0006246986,null,null,null,null
Freising,Landkreis,Bayern,180313,200,38318,1358,de-by-09178000,48.4473569802,11.7406716932,null,null,null,null
Fürstenfeldbruck,Landkreis,Bayern,218740,209,44235,1283,de-by-09179000,48.1877932949,11.2010776242,null,null,null,null
Garmisch-Partenkirchen,Landkreis,Bayern,88279,126,17689,1868,de-by-09180000,47.5563489806,11.1296286125,null,null,null,null
Landsberg am Lech,Landkreis,Bayern,121019,122,23733,1615,de-by-09181000,48.0244353759,10.9487346774,null,null,null,null
Miesbach,Landkreis,Bayern,100183,158,22504,1667,de-by-09182000,47.7416453347,11.8089897365,null,null,null,null
Mühldorf a. Inn,Landkreis,Bayern,116483,275,30751,1785,de-by-09183000,48.2393145242,12.3818280217,null,null,null,null
München,Landkreis,Bayern,349685,340,68725,1101,de-by-09184000,48.0744744023,11.6313680405,null,null,null,null
Neuburg-Schrobenhausen,Landkreis,Bayern,97730,114,22982,2087,de-by-09185000,48.6644203317,11.197210668,null,null,null,null
Pfaffenhofen a.d. Ilm,Landkreis,Bayern,129128,210,27429,2189,de-by-09186000,48.5962751771,11.5242827055,null,null,null,null
Rosenheim,Landkreis,Bayern,261721,679,67547,1665,de-by-09187000,47.8783797472,12.162753976,null,null,null,null
Starnberg,Landkreis,Bayern,136610,155,25472,1147,de-by-09188000,48.0060469771,11.2817326717,null,null,null,null
Traunstein,Landkreis,Bayern,177485,325,46631,1205,de-by-09189000,47.8945427587,12.5795750694,null,null,null,null
Weilheim-Schongau,Landkreis,Bayern,136134,164,28177,1476,de-by-09190000,47.7875370323,11.0483364745,null,null,null,null
Landshut,Kreisfreie Stadt,Bayern,73065,147,15963,1923,de-by-09261000,48.5446699826,12.1593416454,null,null,null,null
Passau,Kreisfreie Stadt,Bayern,52415,142,10456,1719,de-by-09262000,48.5820983986,13.4150504225,null,null,null,null
Straubing,Kreisfreie Stadt,Bayern,47612,113,9653,1691,de-by-09263000,48.8807544792,12.5734748714,null,null,null,null
Deggendorf,Landkreis,Bayern,119479,248,28594,2255,de-by-09271000,48.7787021164,13.0007258015,null,null,null,null
Freyung-Grafenau,Landkreis,Bayern,78355,194,20388,2925,de-by-09272000,48.8268581711,13.513210064,null,null,null,null
Kelheim,Landkreis,Bayern,123390,148,26511,2218,de-by-09273000,48.8249414287,11.857554442,null,null,null,null
Landshut,Landkreis,Bayern,161191,255,35772,2205,de-by-09274000,48.5577554134,12.1953924179,null,null,null,null
Passau,Landkreis,Bayern,193454,540,45002,2329,de-by-09275000,48.5586304532,13.3666035859,null,null,null,null
Regen,Landkreis,Bayern,77313,234,21336,2743,de-by-09276000,49.0228144148,13.0997637882,null,null,null,null
Rottal-Inn,Landkreis,Bayern,121800,316,30690,2099,de-by-09277000,48.4245198693,12.8673504326,null,null,null,null
Straubing-Bogen,Landkreis,Bayern,101745,176,23364,2359,de-by-09278000,48.89970504,12.5824039909,null,null,null,null
Dingolfing-Landau,Landkreis,Bayern,97244,187,23490,1977,de-by-09279000,48.641164618,12.6104771899,null,null,null,null
Amberg,Kreisfreie Stadt,Bayern,42052,51,8171,1417,de-by-09361000,49.4509277374,11.8453726034,null,null,null,null
Regensburg,Kreisfreie Stadt,Bayern,152270,140,32332,2216,de-by-09362000,49.0130808954,12.1137308794,null,null,null,null
Weiden i.d. OPf.,Kreisfreie Stadt,Bayern,42535,107,8697,1949,de-by-09363000,49.6692496128,12.1545339322,null,null,null,null
Amberg-Sulzbach,Landkreis,Bayern,102998,205,18725,1335,de-by-09371000,49.4867511317,11.8009532083,null,null,null,null
Cham,Landkreis,Bayern,128094,254,28287,2305,de-by-09372000,49.2370651553,12.6954795471,null,null,null,null
Neumarkt i.d. OPf.,Landkreis,Bayern,135225,219,28735,1605,de-by-09373000,49.2159614099,11.5665579197,null,null,null,null
Neustadt a.d. Waldnaab,Landkreis,Bayern,94645,217,19897,1822,de-by-09374000,49.6865828841,12.0982574415,null,null,null,null
Regensburg,Landkreis,Bayern,194275,230,40952,3030,de-by-09375000,49.0213433263,12.1211612289,null,null,null,null
Schwandorf,Landkreis,Bayern,148477,253,32112,2198,de-by-09376000,49.3680333605,12.2530847621,null,null,null,null
Tirschenreuth,Landkreis,Bayern,71696,288,15990,1887,de-by-09377000,49.8993890086,12.2003418405,null,null,null,null
Bamberg,Kreisfreie Stadt,Bayern,76674,135,12545,1369,de-by-09461000,49.8872221328,10.8989362521,null,null,null,null
Bayreuth,Kreisfreie Stadt,Bayern,74048,146,13470,1322,de-by-09462000,49.9377427404,11.5846727854,null,null,null,null
Coburg,Kreisfreie Stadt,Bayern,40842,109,7432,1883,de-by-09463000,50.2639516155,10.9644386599,null,null,null,null
Hof,Kreisfreie Stadt,Bayern,45173,145,9427,1986,de-by-09464000,50.3107956285,11.8972631725,null,null,null,null
Bamberg,Landkreis,Bayern,147497,209,29069,1818,de-by-09471000,49.893428617,10.8836637829,null,null,null,null
Bayreuth,Landkreis,Bayern,103679,198,18006,1442,de-by-09472000,49.8837610883,11.5551557567,null,null,null,null
Coburg,Landkreis,Bayern,86571,194,15572,1881,de-by-09473000,50.267889506,10.9423260473,null,null,null,null
Forchheim,Landkreis,Bayern,116600,156,20772,1794,de-by-09474000,49.7209968812,11.1731319634,null,null,null,null
Hof,Landkreis,Bayern,94522,214,17032,1683,de-by-09475000,50.2732120456,11.8191928507,null,null,null,null
Kronach,Landkreis,Bayern,66355,153,13855,2181,de-by-09476000,50.3279632281,11.3720466405,null,null,null,null
Kulmbach,Landkreis,Bayern,71428,135,12273,1567,de-by-09477000,50.1026420807,11.4822991401,null,null,null,null
Lichtenfels,Landkreis,Bayern,66722,131,13741,2140,de-by-09478000,50.1093305037,11.1169215721,null,null,null,null
Wunsiedel i. Fichtelgebirge,Landkreis,Bayern,71974,224,14015,1949,de-by-09479000,50.0901405328,12.0418721069,null,null,null,null
Ansbach,Kreisfreie Stadt,Bayern,41681,59,8333,2231,de-by-09561000,49.2921846581,10.56366943,null,null,null,null
Erlangen,Kreisfreie Stadt,Bayern,112385,120,16648,1201,de-by-09562000,49.5823292133,10.9781449629,null,null,null,null
Fürth,Kreisfreie Stadt,Bayern,128223,294,28181,1457,de-by-09563000,49.4914188335,10.9654822077,null,null,null,null
Nürnberg,Kreisfreie Stadt,Bayern,515543,1166,116712,1637,de-by-09564000,49.4362114486,11.0827553426,null,null,null,null
Schwabach,Kreisfreie Stadt,Bayern,41056,125,8452,1425,de-by-09565000,49.3356205083,11.0235125889,null,null,null,null
Ansbach,Landkreis,Bayern,185316,245,36647,1998,de-by-09571000,49.2481645834,10.4681333941,null,null,null,null
Erlangen-Höchstadt,Landkreis,Bayern,138105,169,23128,1489,de-by-09572000,49.6400408309,10.9148933012,null,null,null,null
Fürth,Landkreis,Bayern,118695,262,22278,1614,de-by-09573000,49.4466905187,10.8496864939,null,null,null,null
Nürnberger Land,Landkreis,Bayern,171143,239,29147,1521,de-by-09574000,49.4919039379,11.3694064626,null,null,null,null
Neustadt a.d. Aisch-Bad Windsheim,Landkreis,Bayern,101272,131,14854,484,de-by-09575000,49.5694835927,10.4652916664,null,null,null,null
Roth,Landkreis,Bayern,127168,211,25271,1635,de-by-09576000,49.2029170864,11.1235654086,null,null,null,null
Weißenburg-Gunzenhausen,Landkreis,Bayern,95117,160,19468,1961,de-by-09577000,49.0326858351,10.8936591358,null,null,null,null
Aschaffenburg,Kreisfreie Stadt,Bayern,70858,145,13670,1441,de-by-09661000,49.9638560444,9.14581192433,null,null,null,null
Schweinfurt,Kreisfreie Stadt,Bayern,53319,128,12534,1011,de-by-09662000,50.0470080022,10.2208919522,null,null,null,null
Würzburg,Kreisfreie Stadt,Bayern,126954,156,26630,1978,de-by-09663000,49.7846554247,9.94089602932,null,null,null,null
Aschaffenburg,Landkreis,Bayern,174658,254,30186,1395,de-by-09671000,50.0080931044,9.23803745665,null,null,null,null
Bad Kissingen,Landkreis,Bayern,103169,164,19085,1539,de-by-09672000,50.2225139424,9.96470110779,null,null,null,null
Rhön-Grabfeld,Landkreis,Bayern,79510,128,17118,2139,de-by-09673000,50.3713127519,10.2549075725,null,null,null,null
Haßberge,Landkreis,Bayern,84275,126,17405,1984,de-by-09674000,50.0628789327,10.6069788351,null,null,null,null
Kitzingen,Landkreis,Bayern,91696,114,16337,1977,de-by-09675000,49.7532253896,10.2560624461,null,null,null,null
Miltenberg,Landkreis,Bayern,128743,192,25261,1787,de-by-09676000,49.7572905887,9.23471658769,null,null,null,null
Main-Spessart,Landkreis,Bayern,125976,236,18440,1437,de-by-09677000,49.9935822339,9.66268166277,null,null,null,null
Schweinfurt,Landkreis,Bayern,115652,189,22689,1181,de-by-09678000,50.016881784,10.2599503138,null,null,null,null
Würzburg,Landkreis,Bayern,162697,112,27648,1884,de-by-09679000,49.737626672,9.92736341488,null,null,null,null
Augsburg,Kreisfreie Stadt,Bayern,295830,588,69162,1381,de-by-09761000,48.3455708649,10.885505361,null,null,null,null
Kaufbeuren,Kreisfreie Stadt,Bayern,44662,96,9640,1664,de-by-09762000,47.8799285987,10.6160967463,null,null,null,null
Kempten (Allgäu),Kreisfreie Stadt,Bayern,68940,77,15042,1741,de-by-09763000,47.7381842508,10.3081184931,null,null,null,null
Memmingen,Kreisfreie Stadt,Bayern,44360,34,9748,1734,de-by-09764000,47.9787874869,10.1630276762,null,null,null,null
Aichach-Friedberg,Landkreis,Bayern,135024,154,28625,2248,de-by-09771000,48.4275701484,11.0527555565,null,null,null,null
Augsburg,Landkreis,Bayern,255900,370,53810,1728,de-by-09772000,48.3542871832,10.7320845344,null,null,null,null
Dillingen a.d. Donau,Landkreis,Bayern,97172,184,20745,2082,de-by-09773000,48.5964037974,10.527764168,null,null,null,null
Günzburg,Landkreis,Bayern,127342,177,31071,1568,de-by-09774000,48.3528138472,10.3811312115,null,null,null,null
Neu-Ulm,Landkreis,Bayern,175823,215,36268,1675,de-by-09775000,48.2982265453,10.1411558091,null,null,null,null
Lindau (Bodensee),Landkreis,Bayern,82085,79,16794,1860,de-by-09776000,47.6051649499,9.88286136549,null,null,null,null
Ostallgäu,Landkreis,Bayern,141907,229,32815,1622,de-by-09777000,47.769959059,10.6397316342,null,null,null,null
Unterallgäu,Landkreis,Bayern,146164,243,34875,1797,de-by-09778000,48.0398130352,10.3892327572,null,null,null,null
Donau-Ries,Landkreis,Bayern,134324,230,29769,1991,de-by-09779000,48.8069320352,10.7123441979,null,null,null,null
Oberallgäu,Landkreis,Bayern,156308,157,31555,1908,de-by-09780000,47.572707564,10.2586229074,null,null,null,null
Regionalverband Saarbrücken,Landkreis,Saarland,327502,618,56232,1078,de-sl-10041000,49.2513823946,6.95729652837,null,null,null,null
Merzig-Wadern,Landkreis,Saarland,103471,100,16284,1220,de-sl-10042000,49.4957645611,6.68048479703,null,null,null,null
Neunkirchen,Landkreis,Saarland,131172,178,19819,1411,de-sl-10043000,49.3757016517,7.11720320683,null,null,null,null
Saarlouis,Landkreis,Saarland,193732,210,33920,1362,de-sl-10044000,49.3553415477,6.77554333939,null,null,null,null
Saarpfalz-Kreis,Landkreis,Saarland,141656,164,21207,1219,de-sl-10045000,49.2486993859,7.24222124863,null,null,null,null
St. Wendel,Landkreis,Saarland,86458,133,11715,1177,de-sl-10046000,49.5195731082,7.1004332453,null,null,null,null
Brandenburg an der Havel,Kreisfreie Stadt,Brandenburg,72040,138,11626,1900,de-bb-12051000,52.4027150878,12.5193337833,null,null,null,null
Cottbus,Kreisfreie Stadt,Brandenburg,98693,276,23407,2091,de-bb-12052000,51.7726930018,14.3662188537,null,null,null,null
Frankfurt (Oder),Kreisfreie Stadt,Brandenburg,57015,171,11317,1714,de-bb-12053000,52.3247630784,14.4903487489,null,null,null,null
Potsdam,Kreisfreie Stadt,Brandenburg,182112,266,34850,1153,de-bb-12054000,52.4261784936,13.0285491746,null,null,null,null
Barnim,Landkreis,Brandenburg,187343,336,35907,725,de-bb-12060000,52.8232279789,13.7037311303,null,null,null,null
Dahme-Spreewald,Landkreis,Brandenburg,173316,351,35599,1536,de-bb-12061000,52.0423069298,13.8199407798,null,null,null,null
Elbe-Elster,Landkreis,Brandenburg,101085,366,24089,1961,de-bb-12062000,51.6122710164,13.459588917,null,null,null,null
Havelland,Landkreis,Brandenburg,164693,244,29914,958,de-bb-12063000,52.6208208123,12.6283469145,null,null,null,null
Märkisch-Oderland,Landkreis,Brandenburg,197195,368,39848,1388,de-bb-12064000,52.6067238051,14.1464643331,null,null,null,null
Oberhavel,Landkreis,Brandenburg,214234,376,40613,1257,de-bb-12065000,52.9068326453,13.2053022184,null,null,null,null
Oberspreewald-Lausitz,Landkreis,Brandenburg,108396,369,27166,1184,de-bb-12066000,51.6163005208,13.9436173031,null,null,null,null
Oder-Spree,Landkreis,Brandenburg,179276,422,39548,1472,de-bb-12067000,52.244008511,14.2190594331,null,null,null,null
Ostprignitz-Ruppin,Landkreis,Brandenburg,98808,187,18701,1815,de-bb-12068000,52.9914230426,12.6359589515,null,null,null,null
Potsdam-Mittelmark,Landkreis,Brandenburg,217954,270,42020,1422,de-bb-12069000,52.246294705,12.6891435021,null,null,null,null
Prignitz,Landkreis,Brandenburg,76096,221,16243,2452,de-bb-12070000,53.1093267277,11.9618269267,null,null,null,null
Spree-Neiße,Landkreis,Brandenburg,113011,313,26810,1559,de-bb-12071000,51.7585932354,14.4331285714,null,null,null,null
Teltow-Fläming,Landkreis,Brandenburg,171554,278,36307,1303,de-bb-12072000,52.073184313,13.276018196,null,null,null,null
Uckermark,Landkreis,Brandenburg,118250,231,23884,1697,de-bb-12073000,53.2059030724,13.8612986206,null,null,null,null
Rostock,Kreisfreie Stadt,Mecklenburg-Vorpommern,209061,108,28891,1720,de-mv-13003000,54.1463883937,12.1417471216,null,null,null,null
Schwerin,Kreisfreie Stadt,Mecklenburg-Vorpommern,95609,136,14235,1480,de-mv-13004000,53.6215100516,11.4165299501,null,null,null,null
Mecklenburgische Seenplatte,Landkreis,Mecklenburg-Vorpommern,258057,203,35859,1087,de-mv-13071000,53.5436927516,13.0024606209,null,null,null,null
Rostock,Landkreis,Mecklenburg-Vorpommern,217072,260,33013,1741,de-mv-13072000,53.91204551,12.220833831,null,null,null,null
Vorpommern-Rügen,Landkreis,Mecklenburg-Vorpommern,225383,195,31084,1761,de-mv-13073000,54.2842029523,12.9915254157,null,null,null,null
Nordwestmecklenburg,Landkreis,Mecklenburg-Vorpommern,157975,106,23842,1427,de-mv-13074000,53.8215122283,11.2521094692,null,null,null,null
Vorpommern-Greifswald,Landkreis,Mecklenburg-Vorpommern,235773,417,39779,1561,de-mv-13075000,53.7895111552,13.780696363,null,null,null,null
Ludwigslust-Parchim,Landkreis,Mecklenburg-Vorpommern,211844,342,33411,1553,de-mv-13076000,53.4500470376,11.5341416118,null,null,null,null
Chemnitz,Kreisfreie Stadt,Sachsen,244401,786,48260,1096,de-sn-14511000,50.8263036941,12.9118299015,null,null,null,null
Erzgebirgskreis,Landkreis,Sachsen,331917,1497,84808,1367,de-sn-14521000,50.6088984202,12.9450724745,null,null,null,null
Mittelsachsen,Landkreis,Sachsen,301474,970,73901,1141,de-sn-14522000,50.9558166403,13.1375068135,null,null,null,null
Vogtlandkreis,Landkreis,Sachsen,223905,1150,50510,1214,de-sn-14523000,50.4567929391,12.2349996186,null,null,null,null
Zwickau,Landkreis,Sachsen,312033,1411,73720,1130,de-sn-14524000,50.750774796,12.5258055075,null,null,null,null
Dresden,Kreisfreie Stadt,Sachsen,556227,1581,127048,956,de-sn-14612000,51.0664442924,13.7834490742,null,null,null,null
Bautzen,Landkreis,Sachsen,298010,1344,81167,1215,de-sn-14625000,51.2689135848,14.2310085239,null,null,null,null
Görlitz,Landkreis,Sachsen,250558,1519,60869,876,de-sn-14626000,51.2256177492,14.750796811,null,null,null,null
Meißen,Landkreis,Sachsen,240371,907,61255,1145,de-sn-14627000,51.239397748,13.4829006825,null,null,null,null
Sächsische Schweiz-Osterzgebirge,Landkreis,Sachsen,244722,1354,67760,1052,de-sn-14628000,50.9167179421,13.8734340504,null,null,null,null
Leipzig,Kreisfreie Stadt,Sachsen,597493,735,104571,1326,de-sn-14713000,51.3422385995,12.3747717597,null,null,null,null
Leipzig,Landkreis,Sachsen,258386,521,58508,1461,de-sn-14729000,51.2214366733,12.5994908653,null,null,null,null
Nordsachsen,Landkreis,Sachsen,197444,533,44462,1260,de-st-14730000,51.4728650798,12.7793967591,null,null,null,null
Dessau-Roßlau,Kreisfreie Stadt,Sachsen-Anhalt,79354,146,14239,1307,de-st-15001000,51.8537380889,12.2310559599,null,null,null,null
Halle (Saale),Kreisfreie Stadt,Sachsen-Anhalt,237865,488,44093,1466,de-st-15002000,51.4798019096,11.9684968347,null,null,null,null
Magdeburg,Kreisfreie Stadt,Sachsen-Anhalt,235775,207,39463,1479,de-st-15003000,52.1165976423,11.6414820231,null,null,null,null
Altmarkkreis Salzwedel,Landkreis,Sachsen-Anhalt,82687,131,13557,1659,de-st-15081000,52.6800481605,11.2270452746,null,null,null,null
Anhalt-Bitterfeld,Landkreis,Sachsen-Anhalt,157217,321,30231,1354,de-st-15082000,51.7954450255,12.1432020671,null,null,null,null
Börde,Landkreis,Sachsen-Anhalt,170567,186,33986,3407,de-st-15083000,52.2207122989,11.3478384337,null,null,null,null
Burgenlandkreis,Landkreis,Sachsen-Anhalt,177590,790,38172,1593,de-st-15084000,51.1472256333,11.8834224288,null,null,null,null
Harz,Landkreis,Sachsen-Anhalt,210975,417,36274,1961,de-st-15085000,51.8212958888,10.9585438222,null,null,null,null
Jerichower Land,Landkreis,Sachsen-Anhalt,89403,176,17373,2545,de-st-15086000,52.2607898277,12.0265188373,null,null,null,null
Mansfeld-Südharz,Landkreis,Sachsen-Anhalt,133690,316,26936,2229,de-st-15087000,51.5356901778,11.3563584729,null,null,null,null
Saalekreis,Landkreis,Sachsen-Anhalt,183434,506,39498,1716,de-st-15088000,51.4256710773,11.865474038,null,null,null,null
Salzlandkreis,Landkreis,Sachsen-Anhalt,187457,432,35543,1785,de-st-15089000,51.8518591913,11.6427256195,null,null,null,null
Stendal,Landkreis,Sachsen-Anhalt,110485,261,18630,1623,de-st-15090000,52.6967781735,11.8395343529,null,null,null,null
Wittenberg,Landkreis,Sachsen-Anhalt,124185,377,24432,1425,de-st-15091000,51.8201400674,12.7015882396,null,null,null,null
Erfurt,Kreisfreie Stadt,Thüringen,213692,445,33810,741,de-th-16051000,50.9832526908,11.0202248069,null,null,null,null
Gera,Kreisfreie Stadt,Thüringen,92126,327,17476,1409,de-th-16052000,50.8940170773,12.0826961871,null,null,null,null
Jena,Kreisfreie Stadt,Thüringen,110731,129,17509,1491,de-th-16053000,50.9242638034,11.5870112529,null,null,null,null
Suhl,Kreisfreie Stadt,Thüringen,36395,168,6662,1011,de-th-16054000,50.611602852,10.6881775642,null,null,null,null
Weimar,Kreisfreie Stadt,Thüringen,65098,133,10868,1426,de-th-16055000,50.9783471684,11.3178722759,null,null,null,null
Eichsfeld,Landkreis,Thüringen,99463,303,18502,1889,de-th-16061000,51.3836491981,10.2534853921,null,null,null,null
Nordhausen,Landkreis,Thüringen,82456,95,12075,1552,de-th-16062000,51.5022779756,10.7309067397,null,null,null,null
Wartburgkreis,Landkreis,Thüringen,159937,419,29625,1089,de-th-16063000,50.8858017017,10.2107039491,null,null,null,null
Unstrut-Hainich-Kreis,Landkreis,Thüringen,101698,384,19675,1392,de-th-16064000,51.185238708,10.551795561,null,null,null,null
Kyffhäuserkreis,Landkreis,Thüringen,73522,219,12725,1021,de-th-16065000,51.3247630758,10.9848331992,null,null,null,null
Schmalkalden-Meiningen,Landkreis,Thüringen,124241,603,28420,1228,de-th-16066000,50.6307076864,10.4050434075,null,null,null,null
Gotha,Landkreis,Thüringen,134563,315,26612,1034,de-th-16067000,50.9106605802,10.6937627152,null,null,null,null
Sömmerda,Landkreis,Thüringen,69107,210,13792,1333,de-th-16068000,51.1578080643,11.1547511823,null,null,null,null
Hildburghausen,Landkreis,Thüringen,62656,382,16304,1427,de-th-16069000,50.4340027482,10.7340904102,null,null,null,null
Ilm-Kreis,Landkreis,Thüringen,105606,402,22469,1431,de-th-16070000,50.7379337622,10.9663574908,null,null,null,null
Weimarer Land,Landkreis,Thüringen,82291,120,15784,1479,de-th-16071000,50.9715719951,11.3735532667,null,null,null,null
Sonneberg,Landkreis,Thüringen,57044,269,12862,1176,de-th-16072000,50.4146305494,11.1329526551,null,null,null,null
Saalfeld-Rudolstadt,Landkreis,Thüringen,102139,480,22062,1743,de-th-16073000,50.637797959,11.3091162493,null,null,null,null
Saale-Holzland-Kreis,Landkreis,Thüringen,82816,196,17840,1884,de-th-16074000,50.904172137,11.7315307817,null,null,null,null
Saale-Orla-Kreis,Landkreis,Thüringen,79632,292,18792,1346,de-th-16075000,50.5808480206,11.7105737336,null,null,null,null
Greiz,Landkreis,Thüringen,96668,332,19478,720,de-th-16076000,50.7484595538,12.0740705739,null,null,null,null
Altenburger Land,Landkreis,Thüringen,88356,392,18902,1492,de-th-16077000,50.9564246614,12.3991313423,null,null,null,null
NA,NA,NA,NULL,NULL,NULL,NULL,NA,NULL,NULL,null,null,null,null
NA,NA,NA,NULL,NULL,NULL,NULL,NA,NULL,NULL,null,null,null,null
