...1,Typ,Bundesland,Einwohner,Tote,Infizierte,Fälle pro 100.000,hc-key...8,lat,lon,bl,inf,tot,hc-key...14
Neumünster,Kreisfreie Stadt,Schleswig-Holstein,79905,49,10554,1279,de-sh-01004000,54.0811244365,9.98448195474,null,null,null,null
Dithmarschen,Kreis,Schleswig-Holstein,133251,79,12547,922,de-sh-01051000,54.1329109614,9.10781447873,null,null,null,null
Herzogtum Lauenburg,Kreis,Schleswig-Holstein,199152,144,24353,795,de-sh-01053000,53.5890024203,10.6018592215,null,null,null,null
Nordfriesland,Kreis,Schleswig-Holstein,167147,105,16976,1356,de-sh-01054000,54.6095639996,8.88688779292,null,null,null,null
Ostholstein,Kreis,Schleswig-Holstein,201487,104,17186,809,de-sh-01055000,54.1896490274,10.8194270205,null,null,null,null
Pinneberg,Kreis,Schleswig-Holstein,317085,438,41471,577,de-sh-01056000,53.7180840651,9.73686669973,null,null,null,null
Plön,Kreis,Schleswig-Holstein,129353,44,9122,660,de-sh-01057000,54.2433885939,10.3636951573,null,null,null,null
Rendsburg-Eckernförde,Kreis,Schleswig-Holstein,274765,84,24856,976,de-sh-01058000,54.2896157359,9.78174206802,null,null,null,null
Schleswig-Flensburg,Kreis,Schleswig-Holstein,202647,88,18891,1189,de-sh-01059000,54.6190195643,9.48870921465,null,null,null,null
Segeberg,Kreis,Schleswig-Holstein,278007,231,34005,775,de-sh-01060000,53.9199857446,10.1409147199,null,null,null,null
Steinburg,Kreis,Schleswig-Holstein,130706,61,11614,940,de-sh-01061000,53.9289451889,9.51938189615,null,null,null,null
Stormarn,Kreis,Schleswig-Holstein,244989,349,31929,696,de-sh-01062000,53.7208005726,10.3316398811,null,null,null,null
Braunschweig,Kreisfreie Stadt,Niedersachsen,248561,228,29238,1163,de-ni-03101000,52.275221093,10.5241080552,null,null,null,null
Salzgitter,Kreisfreie Stadt,Niedersachsen,103866,131,19710,1469,de-ni-03102000,52.124474442,10.3707262339,null,null,null,null
Wolfsburg,Kreisfreie Stadt,Niedersachsen,123840,133,19688,2016,de-ni-03103000,52.4107473932,10.7848707661,null,null,null,null
Gifhorn,Landkreis,Niedersachsen,177227,265,24945,1438,de-ni-03151000,52.5802562309,10.6041704601,null,null,null,null
Goslar,Landkreis,Niedersachsen,134688,161,16034,1319,de-ni-03153000,51.8746771574,10.400392667,null,null,null,null
Helmstedt,Landkreis,Niedersachsen,91518,121,10953,1031,de-ni-03154000,52.2607443342,10.8888387183,null,null,null,null
Northeim,Landkreis,Niedersachsen,131772,93,13531,1855,de-ni-03155000,51.7425873324,9.84800893097,null,null,null,null
Peine,Landkreis,Niedersachsen,135844,125,19141,1224,de-ni-03157000,52.3041913284,10.2552878088,null,null,null,null
Wolfenbüttel,Landkreis,Niedersachsen,119361,112,12870,1160,de-ni-03158000,52.1269975166,10.583953795,null,null,null,null
Göttingen,Landkreis,Niedersachsen,323900,340,28620,1083,de-ni-03152000,51.4989390206,9.92623513116,null,null,null,null
Region Hannover,Landkreis,Niedersachsen,1155330,1309,182873,1344,de-ni-03241000,52.4219370696,9.71979904802,null,null,null,null
