Land,Kreis,Standort,PLZ,Ort,Straße,lat,lon,z
Thüringen,Jena,ehemalige Praxis,7747,7747 Jena,Ziegesarstraße 19,50.8839624,11.6214055,1
Thüringen,Jena,Volksbad,7745,7745 Jena,Knebelstraße 10,50.9252544,11.5864994269604,1
Thüringen,Kyffhäuserkreis,KMG Klinik,6567,6567 Bad Frankenhausen,An der Wipper 2,51.35797975,11.0946503888663,1
Thüringen,Nordhausen,,99734,99734 Nordhausen,Stolberger Straße 131,51.514178,10.8032959,1
Thüringen,Saale-Holzland-Kreis,Waldkliniken Eisenberg,7607,7607 Eisenberg,Klosterlausnitzer Straße 81,50.95690195,11.8841132021057,1
Thüringen,Saale-Orla-Kreis,Krankenhaus Pößneck,7381,7381 Pößneck,Hohes Gässchen 8-10,50.6982584,11.5907322803967,1
Thüringen,Saalfeldt-Rudolstadt,Altes Krankenhaus Rudolstadt (Haus 8),7407,7407 Rudolstadt,Jenaische Straße 14,50.7224232,11.3508821397753,1
Thüringen,Schmalkalden-Meiningen,Meiningen Dreißigacker / Demenz Zentrum Haus 2,98617,98617 Meiningen,Dr.-Romberg-Straße 3,50.5558413,10.3936592,1
Thüringen,Schmalkalden-Meiningen,,98574,98574 Schmalkalden,Siechenrasen 13,50.7187991,10.4458362,1
Thüringen,Sömmerda,,99610,99610 Sömmerda,Leubinger Straße 5,51.1702522,11.1268906,1
Thüringen,Sonneberg,,96515,96515 Sonneberg,Köppelsdorfer Straße 36,50.3580541,11.1739077,1
Thüringen,Suhl,,98527,98527 Suhl,Friedrich-König-Straße 23,50.6121836,10.6938279,1
Thüringen,Unstrut-Hainich-Kreis,Hufeland Klinikum,99947,99947 Bad Langensalza,Rudolf-Weiss-Straße 1-5,51.10518995,10.649521548369,1
Thüringen,Unstrut-Hainich-Kreis,,99974,99974 Mühlhausen,Lindenhof 6,51.21644745,10.4798891662161,1
Thüringen,Wartburgkreis,Solewerk Hotel GmbH,36433,36433 Bad Salzungen,Bahnhofstraße 21,50.8143487,10.2314760179646,1
Thüringen,Weimar,Mon ami,99423,99423 Weimar,Goetheplatz 11,50.9814345,11.3259523669946,1
Thüringen,Weimarer Land,Stadthalle,99510,99510 Apolda,Klause 1,51.0263471,11.5147625,1
Thüringen,Weimarer Land,Krankenhaus,99444,99444 Blankenhain,Wirthstraße 5,50.8598129,11.3398258,1
