Datum,Tote,deathaverage
2020-11-01,29,64
2020-11-02,49,68
2020-11-03,131,80
2020-11-04,151,90
2020-11-05,118,94
2020-11-06,166,107
2020-11-07,130,111
2020-11-08,63,115
2020-11-09,63,117
2020-11-10,154,121
2020-11-11,261,136
2020-11-12,215,150
2020-11-13,218,158
2020-11-14,178,165
2020-11-15,107,171
2020-11-16,62,171
2020-11-17,267,187
2020-11-18,305,193
2020-11-19,251,198
2020-11-20,260,204
2020-11-21,254,215
2020-11-22,138,220
2020-11-23,90,224
2020-11-24,249,221
2020-11-25,410,236
2020-11-26,389,256
2020-11-27,426,279
2020-11-28,379,297
2020-11-29,158,300
2020-11-30,125,305
2020-12-01,388,325
2020-12-02,487,336
2020-12-03,479,349
2020-12-04,432,350
2020-12-05,483,365
2020-12-06,255,378
2020-12-07,147,382
2020-12-08,423,387
2020-12-09,590,401
2020-12-10,440,396
2020-12-11,598,419
2020-12-12,496,421
2020-12-13,321,431
2020-12-14,188,437
2020-12-15,500,448
2020-12-16,952,499
2020-12-17,698,536
2020-12-18,813,567
2020-12-19,702,596
2020-12-20,409,609
2020-12-21,226,614
2020-12-22,731,647
2020-12-23,962,649
2020-12-24,802,664
2020-12-25,412,606
2020-12-26,240,540
2020-12-27,356,533
2020-12-28,348,550
2020-12-29,852,567
2020-12-30,1129,591
2020-12-31,964,614
2021-01-01,553,635
2021-01-02,336,648
2021-01-03,312,642
2021-01-04,302,635
2021-01-05,944,649
2021-01-06,1019,633
2021-01-07,1070,648
2021-01-08,1188,739
2021-01-09,1083,845
2021-01-10,465,867
2021-01-11,343,873
2021-01-12,891,866
2021-01-13,1060,871
2021-01-14,1244,896
2021-01-15,1113,886
2021-01-16,980,871
2021-01-17,445,868
2021-01-18,214,850
2021-01-19,989,864
2021-01-20,1148,876
2021-01-21,1013,843
2021-01-22,859,807
2021-01-23,879,792
2021-01-24,349,779
2021-01-25,217,779
2021-01-26,903,767
2021-01-27,982,743
2021-01-28,941,733
2021-01-29,839,730
2021-01-30,794,718
2021-01-31,399,725
2021-02-01,175,719
2021-02-02,861,713
2021-02-03,975,712
2021-02-04,786,690
2021-02-05,855,692
2021-02-06,689,677
2021-02-07,231,653
2021-02-08,158,651
2021-02-09,481,596
2021-02-10,813,573
2021-02-11,666,556
2021-02-12,556,513
2021-02-13,551,494
2021-02-14,218,492
2021-02-15,116,486
2021-02-16,528,493
2021-02-17,560,456
2021-02-18,534,438
2021-02-19,508,431
2021-02-20,490,422
2021-02-21,145,412
2021-02-22,62,404
2021-02-23,415,388
2021-02-24,422,368
2021-02-25,385,347
2021-02-26,394,330
2021-02-27,369,313
2021-02-28,157,315
2021-03-01,60,315
2021-03-02,358,306
2021-03-03,418,306
2021-03-04,359,302
2021-03-05,264,284
2021-03-06,300,274
2021-03-07,96,265
2021-03-08,34,261
2021-03-09,255,247
2021-03-10,300,230
2021-03-11,321,224
2021-03-12,252,223
2021-03-13,239,214
2021-03-14,70,210
2021-03-15,47,212
2021-03-16,238,210
2021-03-17,249,202
2021-03-18,227,189
2021-03-19,226,185
2021-03-20,207,181
2021-03-21,99,185
2021-03-22,50,185
2021-03-23,250,187
2021-03-24,248,187
2021-03-25,228,187
2021-03-26,183,181
2021-03-27,157,174
2021-03-28,90,172
2021-03-29,43,171
2021-03-30,180,161
2021-03-31,249,161
2021-04-01,201,158
2021-04-02,232,165
2021-04-03,120,159
2021-04-04,68,156
2021-04-05,50,157
2021-04-06,90,144
2021-04-07,298,151
2021-04-08,306,166
2021-04-09,296,175
2021-04-10,246,193
2021-04-11,104,199
2021-04-12,99,206
2021-04-13,294,235
2021-04-14,342,241
2021-04-15,293,239
2021-04-16,247,232
2021-04-17,219,228
2021-04-18,67,223
2021-04-19,92,222
2021-04-20,297,222
2021-04-21,331,221
2021-04-22,259,216
2021-04-23,265,219
2021-04-24,286,228
2021-04-25,120,236
2021-04-26,60,231
2021-04-27,344,238
2021-04-28,312,235
2021-04-29,264,236
2021-04-30,306,242
2021-05-01,232,234
2021-05-02,110,233
2021-05-03,84,236
2021-05-04,315,232
2021-05-05,285,228
2021-05-06,250,226
2021-05-07,284,223
2021-05-08,238,224
2021-05-09,127,226
2021-05-10,54,222
2021-05-11,283,217
2021-05-12,268,215
2021-05-13,278,219
2021-05-14,190,205
2021-05-15,177,197
2021-05-16,71,189
2021-05-17,64,190
2021-05-18,221,181
2021-05-19,284,184
2021-05-20,237,178
2021-05-21,226,183
2021-05-22,170,182
2021-05-23,82,183
2021-05-24,43,180
2021-05-25,33,154
2021-05-26,270,152
2021-05-27,269,156
2021-05-28,192,151
2021-05-29,163,150
2021-05-30,56,147
2021-05-31,36,146
2021-06-01,153,163
2021-06-02,179,150
2021-06-03,166,135
2021-06-04,86,120
2021-06-05,122,114
2021-06-06,74,117
2021-06-07,22,115
2021-06-08,140,113
2021-06-09,107,102
2021-06-10,94,92
2021-06-11,102,94
2021-06-12,129,95
2021-06-13,18,87
2021-06-14,10,86
2021-06-15,93,79
2021-06-16,137,83
2021-06-17,105,85
2021-06-18,91,83
2021-06-19,99,79
2021-06-20,16,79
2021-06-21,10,79
2021-06-22,77,76
2021-06-23,51,64
2021-06-24,93,62
2021-06-25,62,58
2021-06-26,68,54
2021-06-27,8,53
2021-06-28,8,52
2021-06-29,57,50
2021-06-30,56,50
2021-07-01,63,46
2021-07-02,69,47
2021-07-03,16,40
2021-07-04,7,39
2021-07-05,1,38
2021-07-06,31,35
2021-07-07,48,34
2021-07-08,31,29
2021-07-09,49,26
2021-07-10,35,29
2021-07-11,6,29
2021-07-12,2,29
2021-07-13,26,28
2021-07-14,28,25
2021-07-15,32,25
2021-07-16,18,21
2021-07-17,22,19
2021-07-18,3,19
2021-07-19,1,19
2021-07-20,34,20
2021-07-21,19,18
2021-07-22,42,20
2021-07-23,34,22
2021-07-24,28,23
2021-07-25,4,23
2021-07-26,3,23
2021-07-27,38,24
2021-07-28,21,24
2021-07-29,21,21
2021-07-30,30,21
2021-07-31,21,20
2021-08-01,1,19
2021-08-02,1,19
2021-08-03,19,16
2021-08-04,25,17
2021-08-05,26,18
2021-08-06,24,17
2021-08-07,24,17
2021-08-08,4,18
2021-08-09,2,18
2021-08-10,19,18
2021-08-11,14,16
2021-08-12,17,15
2021-08-13,19,14
2021-08-14,11,12
2021-08-15,3,12
2021-08-16,4,12
2021-08-17,28,14
2021-08-18,22,15
2021-08-19,22,16
2021-08-20,13,15
2021-08-21,17,16
2021-08-22,3,16
2021-08-23,4,16
2021-08-24,42,18
2021-08-25,39,20
2021-08-26,21,20
2021-08-27,14,20
2021-08-28,22,21
2021-08-29,12,22
2021-08-30,10,23
2021-08-31,60,25
2021-09-01,23,23
2021-09-02,33,25
2021-09-03,45,29
2021-09-04,24,30
2021-09-05,21,31
2021-09-06,8,31
2021-09-07,59,30
2021-09-08,35,32
2021-09-09,50,35
2021-09-10,55,36
2021-09-11,45,39
2021-09-12,8,37
2021-09-13,12,38
2021-09-14,68,39
2021-09-15,83,46
2021-09-16,68,48
2021-09-17,20,43
2021-09-18,63,46
2021-09-19,38,50
2021-09-20,13,50
2021-09-21,81,52
2021-09-22,71,51
2021-09-23,115,57
2021-09-24,65,64
2021-09-25,62,64
2021-09-26,28,62
2021-09-27,10,62
2021-09-28,101,65
2021-09-29,67,64
2021-09-30,67,57
2021-10-01,73,58
2021-10-02,66,59
2021-10-03,9,56
2021-10-04,7,56
2021-10-05,90,54
2021-10-06,76,55
2021-10-07,68,56
2021-10-08,86,57
2021-10-09,65,57
2021-10-10,24,59
2021-10-11,7,59
2021-10-12,88,59
2021-10-13,92,61
2021-10-14,72,62
2021-10-15,65,59
2021-10-16,75,60
2021-10-17,17,59
2021-10-18,10,60
2021-10-19,88,60
2021-10-20,92,60
2021-10-21,67,59
2021-10-22,116,66
2021-10-23,86,68
2021-10-24,23,69
2021-10-25,17,70
2021-10-26,128,76
2021-10-27,114,79
2021-10-28,126,87
2021-10-29,121,88
2021-10-30,90,88
2021-10-31,33,90
2021-11-01,23,91
2021-11-02,81,84
2021-11-03,194,95
2021-11-04,165,101
2021-11-05,154,106
2021-11-06,142,113
2021-11-07,37,114
2021-11-08,33,115
2021-11-09,169,128
2021-11-10,236,134
2021-11-11,235,144
2021-11-12,191,149
2021-11-13,228,161
2021-11-14,55,164
2021-11-15,43,165
2021-11-16,265,179
2021-11-17,294,187
2021-11-18,264,191
2021-11-19,201,193
2021-11-20,248,196
2021-11-21,75,199
2021-11-22,62,201
2021-11-23,309,208
2021-11-24,335,213
2021-11-25,351,226
2021-11-26,357,248
2021-11-27,303,256
2021-11-28,104,260
2021-11-29,73,262
2021-11-30,388,273
2021-12-01,446,289
2021-12-02,388,294
2021-12-03,390,299
2021-12-04,378,310
2021-12-05,94,308
2021-12-06,81,309
2021-12-07,399,311
2021-12-08,527,322
2021-12-09,465,333
2021-12-10,484,347
2021-12-11,510,366
2021-12-12,132,371
2021-12-13,116,376
2021-12-14,473,387
2021-12-15,453,376
2021-12-16,522,384
2021-12-17,437,378
2021-12-18,414,364
2021-12-19,180,371
2021-12-20,119,371
2021-12-21,462,370
2021-12-22,510,378
2021-12-23,425,364
2021-12-24,370,354
2021-12-25,157,318
2021-12-26,88,304
2021-12-27,69,297
2021-12-28,372,284
2021-12-29,414,271
2021-12-30,383,265
2021-12-31,323,258
2022-01-01,184,262
2022-01-02,46,256
2022-01-03,68,256
2022-01-04,356,253
2022-01-05,346,244
2022-01-06,443,252
2022-01-07,264,244
2022-01-08,268,256
2022-01-09,77,260
2022-01-10,52,258
2022-01-11,322,253
2022-01-12,384,259
2022-01-13,316,240
2022-01-14,286,244
2022-01-15,235,239
2022-01-16,47,235
2022-01-17,30,231
2022-01-18,193,213
2022-01-19,239,192
2022-01-20,234,181
2022-01-21,170,164
2022-01-22,179,156
2022-01-23,54,157
2022-01-24,28,157
2022-01-25,214,160
2022-01-26,166,149
2022-01-27,188,143
2022-01-28,170,143
2022-01-29,182,143
2022-01-30,59,144
2022-01-31,61,149
2022-02-01,188,145
2022-02-02,196,149
2022-02-03,164,146
2022-02-04,170,146
2022-02-05,172,144
2022-02-06,41,142
2022-02-07,49,140
2022-02-08,177,138
2022-02-09,272,149
2022-02-10,238,160
2022-02-11,226,168
2022-02-12,198,172
2022-02-13,58,174
2022-02-14,42,173
2022-02-15,243,182
2022-02-16,247,179
2022-02-17,261,182
2022-02-18,264,188
2022-02-19,210,189
2022-02-20,73,191
2022-02-21,22,189
2022-02-22,306,198
2022-02-23,299,205
2022-02-24,243,202
2022-02-25,226,197
2022-02-26,250,203
2022-02-27,57,200
2022-02-28,24,201
2022-03-01,235,191
2022-03-02,301,191
2022-03-03,267,194
2022-03-04,291,204
2022-03-05,255,204
2022-03-06,51,203
2022-03-07,24,203
2022-03-08,324,216
2022-03-09,314,218
2022-03-10,259,217
2022-03-11,249,211
2022-03-12,249,210
2022-03-13,50,210
2022-03-14,19,209
2022-03-15,283,203
2022-03-16,269,197
2022-03-17,278,200
2022-03-18,226,196
2022-03-19,221,192
2022-03-20,49,192
2022-03-21,13,191
2022-03-22,264,189
2022-03-23,329,197
2022-03-24,300,200
2022-03-25,288,209
2022-03-26,278,217
2022-03-27,49,217
2022-03-28,20,218
2022-03-29,307,224
2022-03-30,348,227
2022-03-31,279,224
2022-04-01,304,226
2022-04-02,292,228
2022-04-03,42,227
2022-04-04,23,228
2022-04-05,316,229
2022-04-06,340,228
2022-04-07,328,235
2022-04-08,334,239
2022-04-09,309,242
2022-04-10,36,241
2022-04-11,13,239
2022-04-12,289,236
2022-04-13,361,239
2022-04-14,310,236
2022-04-15,212,219
2022-04-16,29,179
2022-04-17,13,175
2022-04-18,11,175
2022-04-19,7,135
2022-04-20,348,133
2022-04-21,324,135
2022-04-22,289,146
2022-04-23,234,175
2022-04-24,24,177
2022-04-25,6,176
2022-04-26,304,218
2022-04-27,343,218
2022-04-28,246,207
2022-04-29,214,196
