owiddate,Deutschland,Afghanistan,Ägypten,Algerien,Angola,Argentinien,Aserbaidschan,Australien,Bangladesch,Belarus,Belgien,Bolivien,Brasilien,Bulgarien,Chile,China,Costa Rica,Dänemark,Dominikanische Republik,Ecuador,El Salvador,Elfenbeinküste,Finnland,Frankreich,Ghana,Griechenland,Großbritannien,Guatemala,Guinea,Honduras,Indien,Indonesien,Irak,Iran,Israel,Italien,Japan,Jordanien,Kanada,Kasachstan,Kenia,Kolumbien,Libanon,Malawi,Malaysia,Marokko,Mexiko,Mosambik,Nepal,Niederlande,Nigeria,Norwegen,Österreich,Pakistan,Paraguay,Peru,Philippinen,Polen,Portugal,Ruanda,Rumänien,Russland,Saudi-Arabien,Schweden,Schweiz,Senegal,Serbien,Sierra Leone,Simbabwe,Singapur,Slowakei,Spanien,Sri Lanka,Südafrika,Sudan,Südkorea,Thailand,Togo,Tschechien,Tunesien,Türkei,Uganda,Ukraine,Ungarn,USA,Venezuela,Vereinigte Arabische Emirate,Vietnam,NA
2021-01-02,469,,,,,195,,,,43,9,,,114,2,198,48,1128,,,,,83,1,,50,829,,,,,,,,13388,227,,,229,,,,,,,,35,,,,,68,80,,,,,255,451,,106,471,,174,,,,,,,,,,,,,,,188,,,,,176,993,,,,
2021-01-03,469,,,,,165,,,,43,7,,,97,0,230,48,1112,,,,,83,1,,53,849,,,,,,,,14098,278,,,235,,,,,,,,37,,,,,58,69,,,,,214,387,,93,422,,174,,,,,,,,,,,,,,,173,,,,,186,1027,,,,
2021-01-04,521,,,,,144,,,,43,6,,,85,3,262,82,1122,,,,,83,4,,132,1118,,,,,,,,14366,437,,,298,,,,,,,,39,,,,,42,50,,,,,339,360,,173,372,,217,,,,,,,,,,,,,,,190,,,,,203,1060,,,,
2021-01-05,529,,,,,178,,,,43,27,,,76,14,294,116,1234,,,,,133,14,,207,1386,,,,,,,,13875,623,,,322,,,,,,,,33,,,,,104,52,,,,,504,363,,287,323,,260,,,,,,,78,1200,,,,,,,204,,,,,271,1034,,,,
2021-01-06,532,,,,,182,,,,43,69,,,68,15,326,151,1435,,,,,152,36,,252,1654,,,,,,,,13091,766,,,377,,,,,,,,32,,,,,335,44,,,,,467,430,,390,274,,303,,,,,,,607,961,,,,,,,236,,,,,405,1093,,0,,
2021-01-07,544,,,,,186,,,,43,171,,,132,15,358,186,1710,,,,,165,92,,321,1922,,,,,,,,12422,924,,,463,,,,,,,,33,,,,,508,95,,,,,532,543,,488,225,1105,346,,,,,,,836,881,,,,,,,325,,,,,547,1152,,3142,,
2021-01-08,618,,,,,234,,,,43,286,,,176,15,358,220,1859,,,,,231,161,,435,2190,,,,,,,,12344,1124,,,596,,,,,,,,39,,,,,551,302,,,,,564,577,,598,175,700,389,,,,,,,950,1036,,,,,,,454,,,,,653,1279,,3932,,
2021-01-09,633,,,,,266,,,,43,325,,,175,15,358,274,1690,,,,,245,183,,497,2458,,,,,,,,11916,1239,,,713,,,,,,,,43,,,,,554,373,,,,,563,579,,657,126,565,432,,,166,,,,819,1010,,,,,,,464,,,,,758,1405,,4965,,
2021-01-10,651,,,,,297,,,,43,330,,,179,15,332,329,1564,,,,,260,194,,543,2727,,,,,,,,10246,1299,,,781,,,,,,,,46,,,,,557,408,,,,,573,579,,699,126,498,476,,,166,,,,775,993,,,,,,,475,,,,,863,1665,,5328,,
2021-01-11,682,,,,,329,,,,43,400,,,182,12,307,348,1522,,,,,274,263,,529,2692,,,,,,,,8486,1328,,,841,,,,,,,,48,,,,,567,496,,,,,623,579,,736,126,457,555,,,217,,,,771,981,,,,,,,558,,,,,930,1925,,5816,,
