"Kreis","Typ","Bundesland","Einwohner","Tote","Infizierte","Fälle.pro.100.000","Neuinfektionen.pro.100.000","Neuinfektionen","hc.key","lat","lon"
"Bad Kreuznach","Landkreis","Rheinland-Pfalz","158746","149","8016","5049.6","175.8",279,"de-rp-07133000","49.8248204055","7.68666499174"
"Birkenfeld","Landkreis","Rheinland-Pfalz","80830","99","4766","5896.3","194.2",157,"de-rp-07134000","49.7125403895","7.27765459793"
"Cochem-Zell","Landkreis","Rheinland-Pfalz","61578","70","2745","4457.8","227.4",140,"de-rp-07135000","50.1328800059","7.17431996528"
"Mayen-Koblenz","Landkreis","Rheinland-Pfalz","214786","190","9747","4538","155",333,"de-rp-07137000","50.3316078654","7.33216943214"
"Neuwied","Landkreis","Rheinland-Pfalz","183131","202","10834","5916","174.2",319,"de-rp-07138000","50.5577005458","7.46900064967"
"Rhein-Hunsrück-Kreis","Landkreis","Rheinland-Pfalz","103401","108","5223","5051.2","201.2",208,"de-rp-07140000","50.0442098205","7.50009971248"
"Rhein-Lahn-Kreis","Landkreis","Rheinland-Pfalz","122574","103","5253","4285.6","137.9",169,"de-rp-07141000","50.2632817442","7.84270993642"
"Westerwaldkreis","Landkreis","Rheinland-Pfalz","202830","174","9728","4796.1","135.6",275,"de-rp-07143000","50.5523493705","7.86568137201"
"Trier","Kreisfreie Stadt","Rheinland-Pfalz","110674","38","3821","3452.5","83.1",92,"de-rp-07211000","49.762938832","6.65505102152"
"Bernkastel-Wittlich","Landkreis","Rheinland-Pfalz","112685","67","4359","3868.3","122.5",138,"de-rp-07231000","49.924645182","6.96721862193"
"Eifelkreis Bitburg-Prüm","Landkreis","Rheinland-Pfalz","100055","34","4429","4426.6","154.9",155,"de-rp-07232000","50.0621597731","6.41012996519"
"Vulkaneifel","Landkreis","Rheinland-Pfalz","60491","63","2661","4399","153.7",93,"de-rp-07233000","50.2383358519","6.74865373201"
"Trier-Saarburg","Landkreis","Rheinland-Pfalz","150533","103","6016","3996.5","130.9",197,"de-rp-07235000","49.6964711338","6.69519559648"
"Frankenthal (Pfalz)","Kreisfreie Stadt","Rheinland-Pfalz","48750","58","3173","6508.7","186.7",91,"de-rp-07311000","49.5330640295","8.35688379873"
"Kaiserslautern","Kreisfreie Stadt","Rheinland-Pfalz","99662","123","5030","5047.1","195.7",195,"de-rp-07312000","49.4328526023","7.76067474783"
"Landau in der Pfalz","Kreisfreie Stadt","Rheinland-Pfalz","46685","46","2599","5567.1","351.3",164,"de-rp-07313000","49.2244938821","8.05060075998"
"Ludwigshafen am Rhein","Kreisfreie Stadt","Rheinland-Pfalz","172557","345","14274","8272","195.3",337,"de-rp-07314000","49.4820876658","8.39684453576"
"Mainz","Kreisfreie Stadt","Rheinland-Pfalz","217123","223","13317","6133.4","183.3",398,"de-rp-07315000","49.9741865223","8.24149708463"
"Neustadt an der Weinstraße","Kreisfreie Stadt","Rheinland-Pfalz","53306","44","2702","5068.8","305.8",163,"de-rp-07316000","49.3418758196","8.15228785937"
"Pirmasens","Kreisfreie Stadt","Rheinland-Pfalz","40176","61","1837","4572.4","146.9",59,"de-rp-07317000","49.1971270853","7.59436316477"
"Speyer","Kreisfreie Stadt","Rheinland-Pfalz","50741","95","3954","7792.5","244.4",124,"de-rp-07318000","49.3297181375","8.43501974938"
"Worms","Kreisfreie Stadt","Rheinland-Pfalz","83459","102","5930","7105.3","286.4",239,"de-rp-07319000","49.6494455343","8.32452863106"
"Zweibrücken","Kreisfreie Stadt","Rheinland-Pfalz","34001","9","1226","3605.8","238.2",81,"de-rp-07320000","49.2481606938","7.36539388964"
