value,name
153,Landeshauptstadt Potsdam (Urnenwahlbezirk 5307)
154,Landeshauptstadt Potsdam (Urnenwahlbezirk 5308)
155,Landeshauptstadt Potsdam (Urnenwahlbezirk 5309)
156,Landeshauptstadt Potsdam (Urnenwahlbezirk 6101)
157,Landeshauptstadt Potsdam (Urnenwahlbezirk 6201)
158,Landeshauptstadt Potsdam (Urnenwahlbezirk 6202)
159,Landeshauptstadt Potsdam (Urnenwahlbezirk 6203)
160,Landeshauptstadt Potsdam (Urnenwahlbezirk 6301)
161,Landeshauptstadt Potsdam (Urnenwahlbezirk 6303)
162,Landeshauptstadt Potsdam (Urnenwahlbezirk 6304)
163,Landeshauptstadt Potsdam (Urnenwahlbezirk 6305)
164,Landeshauptstadt Potsdam (Urnenwahlbezirk 6401)
165,Landeshauptstadt Potsdam (Urnenwahlbezirk 6402)
166,Landeshauptstadt Potsdam (Urnenwahlbezirk 6403)
167,Landeshauptstadt Potsdam (Urnenwahlbezirk 6404)
168,Landeshauptstadt Potsdam (Urnenwahlbezirk 6501)
169,Landeshauptstadt Potsdam (Urnenwahlbezirk 6502)
170,Landeshauptstadt Potsdam (Urnenwahlbezirk 6503)
171,Landeshauptstadt Potsdam (Urnenwahlbezirk 6505)
172,Landeshauptstadt Potsdam (Urnenwahlbezirk 6507)
173,Landeshauptstadt Potsdam (Urnenwahlbezirk 7101)
174,Landeshauptstadt Potsdam (Urnenwahlbezirk 7102)
175,Landeshauptstadt Potsdam (Urnenwahlbezirk 7103)
176,Landeshauptstadt Potsdam (Urnenwahlbezirk 7104)
177,Landeshauptstadt Potsdam (Urnenwahlbezirk 7105)
178,Landeshauptstadt Potsdam (Urnenwahlbezirk 7106)
179,Landeshauptstadt Potsdam (Urnenwahlbezirk 7108)
180,Landeshauptstadt Potsdam (Urnenwahlbezirk 7110)
181,Landeshauptstadt Potsdam (Urnenwahlbezirk 7111)
182,Landeshauptstadt Potsdam (Urnenwahlbezirk 7113)
183,Landeshauptstadt Potsdam (Urnenwahlbezirk 7201)
184,Landeshauptstadt Potsdam (Urnenwahlbezirk 7202)
185,Landeshauptstadt Potsdam (Urnenwahlbezirk 7203)
186,Landeshauptstadt Potsdam (Urnenwahlbezirk 7205)
187,Landeshauptstadt Potsdam (Urnenwahlbezirk 7301)
188,Landeshauptstadt Potsdam (Urnenwahlbezirk 7302)
189,Landeshauptstadt Potsdam (Urnenwahlbezirk 7303)
190,Landeshauptstadt Potsdam (Urnenwahlbezirk 7304)
191,Landeshauptstadt Potsdam (Urnenwahlbezirk 8101)
192,Landeshauptstadt Potsdam (Urnenwahlbezirk 8201)
193,Landeshauptstadt Potsdam (Urnenwahlbezirk 8301)
194,Landeshauptstadt Potsdam (Urnenwahlbezirk 8401)
195,Landeshauptstadt Potsdam (Urnenwahlbezirk 8402)
196,Landeshauptstadt Potsdam (Urnenwahlbezirk 8404)
197,Landeshauptstadt Potsdam (Urnenwahlbezirk 8501)
198,Landeshauptstadt Potsdam (Urnenwahlbezirk 8601)
199,Landeshauptstadt Potsdam (Urnenwahlbezirk 8602)
200,Landeshauptstadt Potsdam (Urnenwahlbezirk 8603)
201,Landeshauptstadt Potsdam (Briefwahlbezirk 9054)
202,Landeshauptstadt Potsdam (Briefwahlbezirk 9055)
203,Landeshauptstadt Potsdam (Briefwahlbezirk 9056)
204,Landeshauptstadt Potsdam (Briefwahlbezirk 9057)
205,Landeshauptstadt Potsdam (Briefwahlbezirk 9058)
206,Landeshauptstadt Potsdam (Briefwahlbezirk 9059)
207,Landeshauptstadt Potsdam (Briefwahlbezirk 9060)
208,Landeshauptstadt Potsdam (Briefwahlbezirk 9061)
209,Landeshauptstadt Potsdam (Briefwahlbezirk 9062)
210,Landeshauptstadt Potsdam (Briefwahlbezirk 9063)
211,Landeshauptstadt Potsdam (Briefwahlbezirk 9064)
212,Landeshauptstadt Potsdam (Briefwahlbezirk 9065)
213,Landeshauptstadt Potsdam (Briefwahlbezirk 9066)
214,Landeshauptstadt Potsdam (Briefwahlbezirk 9067)
215,Landeshauptstadt Potsdam (Briefwahlbezirk 9068)
216,Landeshauptstadt Potsdam (Briefwahlbezirk 9069)
217,Landeshauptstadt Potsdam (Briefwahlbezirk 9070)
218,Landeshauptstadt Potsdam (Briefwahlbezirk 9071)
219,Landeshauptstadt Potsdam (Briefwahlbezirk 9072)
220,Landeshauptstadt Potsdam (Briefwahlbezirk 9073)
221,Landeshauptstadt Potsdam (Briefwahlbezirk 9074)
222,Landeshauptstadt Potsdam (Briefwahlbezirk 9075)
223,Landeshauptstadt Potsdam (Briefwahlbezirk 9076)
224,Landeshauptstadt Potsdam (Briefwahlbezirk 9077)
225,Landeshauptstadt Potsdam (Briefwahlbezirk 9078)
226,Landeshauptstadt Potsdam (Briefwahlbezirk 9079)
227,Landeshauptstadt Potsdam (Briefwahlbezirk 9080)
228,Landeshauptstadt Potsdam (Briefwahlbezirk 9081)
229,Landeshauptstadt Potsdam (Briefwahlbezirk 9082)
230,Landeshauptstadt Potsdam (Briefwahlbezirk 9083)
231,Landeshauptstadt Potsdam (Briefwahlbezirk 9084)
232,Landeshauptstadt Potsdam (Briefwahlbezirk 9085)
233,Landeshauptstadt Potsdam (Briefwahlbezirk 9086)
234,Landeshauptstadt Potsdam (Briefwahlbezirk 9087)
235,Landeshauptstadt Potsdam (Briefwahlbezirk 9088)
236,Landeshauptstadt Potsdam (Briefwahlbezirk 9089)
237,Landeshauptstadt Potsdam (Briefwahlbezirk 9090)
238,Landeshauptstadt Potsdam (Briefwahlbezirk 9091)
239,Landeshauptstadt Potsdam (Briefwahlbezirk 9092)
240,Landeshauptstadt Potsdam (Briefwahlbezirk 9093)
241,Landeshauptstadt Potsdam (Briefwahlbezirk 9094)
242,Landeshauptstadt Potsdam (Briefwahlbezirk 9095)
243,Landeshauptstadt Potsdam (Briefwahlbezirk 9096)
244,Landeshauptstadt Potsdam (Briefwahlbezirk 9097)
245,Landeshauptstadt Potsdam (Briefwahlbezirk 9098)
246,Landeshauptstadt Potsdam (Briefwahlbezirk 9099)
247,Landeshauptstadt Potsdam (Briefwahlbezirk 9100)
248,Landeshauptstadt Potsdam (Briefwahlbezirk 9101)
249,Landeshauptstadt Potsdam (Briefwahlbezirk 9102)
250,Landeshauptstadt Potsdam (Briefwahlbezirk 9103)
251,Landeshauptstadt Potsdam (Briefwahlbezirk 9104)
252,Landeshauptstadt Potsdam (Briefwahlbezirk 9105)
253,Landeshauptstadt Potsdam (Briefwahlbezirk 9106)
254,Landeshauptstadt Potsdam (Briefwahlbezirk 9107)
255,Landeshauptstadt Potsdam (Briefwahlbezirk 9108)
256,Landeshauptstadt Potsdam (Briefwahlbezirk 9109)
257,Landeshauptstadt Potsdam (Briefwahlbezirk 9110)
258,Landeshauptstadt Potsdam (Briefwahlbezirk 9111)
259,Landeshauptstadt Potsdam (Briefwahlbezirk 9112)
260,Landeshauptstadt Potsdam (Briefwahlbezirk 9113)
261,Landeshauptstadt Potsdam (Briefwahlbezirk 9114)
