owiddate,Deutschland,Afghanistan,Ägypten,Algerien,Angola,Argentinien,Aserbaidschan,Äthiopien,Australien,Bangladesch,Belarus,Belgien,Benin,Bolivien,Brasilien,Bulgarien,Burkina Faso,Burundi,Chile,China,Costa Rica,Dänemark,Dominikanische Republik,Ecuador,El Salvador,Elfenbeinküste,Finnland,Frankreich,Ghana,Griechenland,Großbritannien,Guatemala,Guinea,Haiti,Honduras,Indien,Indonesien,Irak,Iran,Israel,Italien,Japan,Jemen,Jordanien,Kambodscha,Kamerun,Kanada,Kasachstan,Kenia,Kirgisistan,Kolumbien,Kuba,Libanon,Libyen,Madagaskar,Malawi,Malaysia,Mali,Marokko,Mexiko,Mosambik,Nepal,Nicaragua,Niederlande,Niger,Nigeria,Norwegen,Österreich,Pakistan,Papua-Neuguinea,Paraguay,Peru,Philippinen,Polen,Portugal,Ruanda,Rumänien,Russland,Sambia,Saudi-Arabien,Schweden,Schweiz,Senegal,Serbien,Sierra Leone,Simbabwe,Singapur,Slowakei,Somalia,Spanien,Sri Lanka,Südafrika,Sudan,Südkorea,Südsudan,Syrien,Tadschikistan,Tansania,Thailand,Togo,Tschad,Tschechien,Tunesien,Türkei,Uganda,Ukraine,Ungarn,USA,Usbekistan,Venezuela,Vereinigte Arabische Emirate,Vietnam,NA
2021-06-24,10004,349,454,520,413,5581,3828,30,4377,14,2777,11809,83,2272,6011,1464,28,,7406,15739,4223,10350,10737,3773,4065,114,7709,8646,39,7705,5568,1076,894,,2732,3877,1973,458,657,735,9293,9943,106,6360,5539,51,12529,4295,152,577,6537,9979,1753,370,162,163,6948,73,4584,4074,102,618,676,11764,298,246,9427,9879,1173,69,2395,3492,1924,6537,9410,173,1259,3015,4,2802,9669,9125,152,2502,154,656,8549,6074,319,10306,1863,1173,220,4236,114,114,995,,2950,339,17,8972,2434,10934,71,1081,2547,1971,2645,1107,9538,1376,
2021-06-25,9881,352,418,520,416,5509,4316,18,4316,13,2777,11459,83,2620,5824,1404,28,,8191,15694,4100,10356,9450,3588,4608,102,7404,8615,47,7728,5458,968,863,,2338,4214,2029,465,775,834,9312,10113,99,6869,5991,54,12476,4411,205,733,6524,9718,2431,346,122,106,7115,64,4597,4195,117,559,676,11783,278,263,9692,9923,1134,70,2305,3283,1971,6703,8618,173,1232,3231,9,2716,9399,8877,152,2221,163,858,8373,5997,333,10468,1715,1279,187,2929,130,104,1131,,3074,339,16,8901,2295,10299,73,1178,2547,1904,2645,821,9381,1265,
2021-06-26,9851,356,382,520,420,5775,4862,17,4339,12,2777,11326,83,2678,5711,1389,28,,8313,15816,3977,10365,8328,3591,4948,97,7099,8670,55,7749,5281,959,831,,2408,4593,2093,472,893,868,9301,10318,92,7445,6211,58,12561,4671,265,889,6518,9279,2469,323,83,59,7232,56,4509,4168,133,500,676,11802,258,280,9779,9941,1194,70,2331,3142,2089,7270,9436,173,1211,3294,15,2789,9129,8677,152,1940,172,1104,8629,5921,340,10630,1434,1320,154,2381,146,94,1267,,3012,339,14,8896,2263,10077,74,1236,2547,1871,2645,1226,8982,1392,
2021-06-27,9846,360,346,520,423,6019,5118,17,4416,10,2777,11357,83,2762,5564,1380,28,,8326,16002,3854,10269,7590,3634,5288,99,6793,8745,63,7867,5260,940,800,,2478,4573,2609,479,1012,1064,9286,10511,85,5984,6394,61,12595,4812,284,1044,6453,9889,2567,300,43,52,7372,47,3855,4126,148,438,676,11851,238,297,9813,9958,1356,71,2372,3220,2191,7347,8874,173,1227,3502,20,2877,8859,8639,152,1659,181,1331,8944,5845,346,10792,1376,1450,122,2379,162,85,1404,,3013,339,13,8888,2225,8835,65,1282,2547,1867,2645,1630,8205,1428,
2021-06-28,9843,375,326,520,426,6665,5123,31,4401,8,2777,11380,83,3324,5358,1371,28,,8219,16043,3732,10262,6399,3650,5629,66,7028,8767,63,9213,5698,764,764,,2548,3984,2648,479,1130,1249,9288,10578,82,5951,6816,65,13729,4955,286,1200,6448,10958,2911,276,34,45,7215,48,3202,4126,163,397,676,11899,218,314,10157,9975,1518,71,2319,2972,2061,7283,10072,173,1221,3498,27,3136,9050,8415,152,1659,181,1544,9129,5687,306,11181,1338,1363,122,2368,189,75,1433,,3099,339,12,8924,2246,9092,58,1308,2547,1864,2645,2034,7015,1483,
2021-06-29,9594,390,303,520,384,6941,5556,35,4424,10,2777,11542,76,3495,5692,1368,28,,7770,15735,3423,10252,5912,3614,5375,76,7264,8767,63,9099,5138,674,513,,2618,3928,2813,479,1130,1445,9268,10664,79,7318,7086,79,14167,5217,391,1356,6412,11030,3171,253,30,31,7144,48,3281,4194,178,396,676,11947,198,323,10182,9992,1588,71,2184,2792,1859,6811,11235,173,1197,3310,34,3437,9241,8199,238,1659,181,1650,9031,5529,279,11286,1649,1377,126,2341,184,75,1462,,3127,339,16,8934,2259,9112,65,1397,2547,1809,2645,2438,7532,1518,
2021-06-30,9056,402,280,520,341,7298,6143,41,4187,11,2777,10807,70,3411,5676,1350,28,,7419,15206,3236,10270,5852,3661,5118,110,7499,8793,63,8921,5012,588,467,,2197,3742,3033,479,1068,1569,9281,10712,77,8686,7565,93,14509,5592,482,1511,6365,11381,3616,230,27,26,7167,49,3361,4191,194,336,676,11996,178,332,10220,10010,1658,75,2036,3028,1819,6676,11395,173,1158,3942,47,3951,9432,8082,325,1659,181,1615,9527,5370,201,11329,2276,1423,132,2310,179,75,1491,,3134,339,20,8961,2234,9686,269,1440,2547,1763,2645,2842,9163,1704,
2021-07-01,8961,371,277,520,298,7703,6427,44,4451,7,2777,10249,64,3513,5577,1311,28,,6888,14667,3049,10379,5829,3763,4776,163,7734,8875,63,8704,4897,495,471,,1775,3627,3225,479,1007,1675,9179,10518,74,8066,8058,107,14015,5707,535,1511,6278,13441,3404,231,23,23,7133,49,2888,4099,209,290,676,12044,158,341,10150,10027,1658,80,2389,3537,1848,7232,11501,173,1110,3864,61,4102,9623,7818,411,1659,181,1449,10383,5212,210,12090,3273,1477,138,2235,174,75,1520,,3221,339,24,8883,2387,9213,465,1423,2547,1723,2645,3247,8202,1323,
2021-07-02,8832,340,274,520,252,7827,6445,53,4648,7,2777,9619,58,3703,5607,1300,28,,6363,14245,2863,10431,6037,4051,4782,223,7969,8874,63,8449,4734,390,462,,1775,3033,3308,479,945,1729,9033,10263,71,7599,8160,117,14188,5881,538,1511,6141,13621,2767,232,29,26,7213,49,2405,4005,209,222,676,12093,158,333,10155,10044,1539,84,2444,3893,1976,6784,11594,173,1071,4175,73,4544,9814,7588,497,1659,181,1275,11252,5054,219,12152,4159,1391,144,2141,142,75,1550,,3264,339,29,8821,2524,9368,511,1415,2547,1659,2645,3651,7139,1118,
2021-07-03,8775,309,271,520,205,7892,6369,58,4784,6,2777,9291,52,3739,5556,1310,28,,6251,13369,2676,10502,6759,4332,4671,274,8204,8847,63,8174,4520,418,452,,2710,3080,3402,479,884,1737,8967,10352,68,7284,8328,128,13872,6147,516,1511,5935,13675,2727,232,34,27,7328,49,2277,3715,209,154,676,12141,158,325,10139,9759,1420,88,2981,4401,2073,6062,11712,173,1057,4306,95,4599,10006,7525,584,1659,181,1073,11658,4896,227,12214,4497,1524,150,2096,110,75,1536,,3315,339,34,8659,2510,9247,558,1400,2547,1597,2645,3651,6741,841,
2021-07-04,8743,279,269,520,159,7957,6335,61,4796,6,2777,9036,45,3878,5623,1299,29,,6242,12235,2490,10551,7135,4621,4561,301,8439,8817,63,8149,4360,410,1864,,2737,3068,3071,479,823,1797,8927,10377,66,6683,8473,138,13726,6722,506,1511,5781,13145,2623,233,40,32,7497,49,1865,3678,209,150,676,11874,158,317,10158,9473,1629,92,3778,4774,2170,5932,11991,173,978,4344,105,4674,10197,7465,670,1659,181,838,12126,4738,236,12275,4687,1304,156,2095,78,75,1521,,3345,339,38,8508,2527,9338,657,1418,2547,1502,2645,3651,6733,747,
2021-07-05,8581,236,267,520,113,8074,6337,57,4846,6,2777,9036,39,3826,5934,1294,29,,7371,11417,2303,10823,7985,5269,4450,310,8395,8775,63,7993,4274,472,1989,,2765,3116,3028,479,761,1840,8882,10440,66,6163,8418,148,13334,6881,502,1511,5293,11481,2205,233,46,37,8024,49,1716,3756,209,159,676,11607,158,309,9995,9188,1577,96,4126,5354,2229,5821,11453,173,957,4215,112,5051,9926,7411,756,1659,181,685,12624,4586,245,12075,4693,1655,162,2026,46,75,1480,,3368,339,43,7443,2517,8920,662,1599,2547,1434,2645,3651,6776,601,
2021-07-06,8313,208,269,520,126,8209,6176,50,4929,5,2777,8963,39,4277,5699,1275,29,,6472,10827,2274,11070,8651,6212,4340,364,8351,8736,57,7799,4167,469,1759,,2792,2811,3067,558,700,1853,8823,10497,66,4997,8125,148,12933,6617,436,1511,5322,10654,2038,234,46,37,8525,49,1445,3792,234,316,676,11340,158,276,9833,8903,1524,100,4772,5853,2288,5678,11893,173,929,4937,120,5088,9656,7309,730,1629,181,653,13409,4434,240,11997,5240,1782,163,1941,53,75,1438,,3396,339,63,6355,2485,9594,654,1637,2547,1415,2645,4197,6614,495,
2021-07-07,8264,179,276,520,138,8299,5694,44,5225,4,2777,9393,39,4756,5962,1271,29,,6149,9986,2246,11433,9720,7181,5390,379,8308,8665,50,7656,4042,465,1813,,2820,3023,3029,636,700,1827,8763,10540,66,3858,7716,148,12541,6228,362,1511,5440,11010,2719,234,46,37,9082,49,1417,3700,259,533,676,11074,158,243,9134,8617,1471,100,5541,5807,2294,5633,12458,154,902,4980,121,4936,9386,7099,704,1598,181,647,13628,4282,213,11825,5477,1946,163,1869,59,75,1384,,3471,339,83,6176,2540,8905,456,1674,2547,1389,2645,4743,5353,272,
2021-07-08,8033,183,281,520,151,8231,5232,42,5064,3,2777,9749,39,4769,6100,1271,29,,5952,9207,2218,11723,10212,8284,6440,373,8264,8594,43,7662,3885,488,1872,,3408,3581,2995,714,700,1814,8802,10826,66,4253,7485,148,13145,6565,292,1511,4983,9658,3312,234,46,37,9620,49,1417,3813,284,790,676,10807,158,209,8272,8332,1419,100,5308,5619,2360,5495,12904,136,882,4646,117,5184,9115,7077,678,1568,181,1190,13528,4130,186,11590,5571,2102,163,1925,66,75,1323,,3588,339,82,5953,2465,9305,257,1733,2547,1371,2645,5289,5857,252,
2021-07-09,7879,187,420,520,163,8046,4917,33,5008,3,2777,10168,39,4464,6059,1267,29,,5934,8410,2189,12084,10434,9650,7140,390,8220,8574,37,7718,3816,560,1931,,3996,3852,3158,793,700,1834,8905,11169,66,4647,7486,148,13065,6803,225,1511,4575,8857,3283,421,46,37,10110,48,1374,3826,309,1069,676,10540,158,176,7628,8046,1486,100,5274,5425,2217,5519,13351,118,824,4754,132,4995,8845,7018,651,1537,181,1149,13506,3979,194,11588,5912,2370,163,2150,73,75,1262,,3700,339,80,5751,2488,8808,209,1797,2547,1377,2645,5835,6390,249,
2021-07-10,7821,192,559,520,176,8031,4687,30,5040,3,2777,10673,39,4443,6211,1260,29,,5975,7985,2161,12287,10051,10996,7142,343,8176,8526,30,7822,3755,539,1991,,3187,3318,2991,871,700,1871,9004,11303,66,4566,7536,148,13082,6823,179,1511,4227,10007,3298,609,46,37,10612,48,1379,4061,334,1258,676,10273,158,142,7484,7873,1552,100,4629,5737,2073,5384,13797,107,766,4834,151,5280,8575,6930,625,1507,181,1146,13420,3827,203,11586,6621,2267,163,2243,80,124,1204,,3689,339,78,5742,2390,8739,161,1809,2547,1396,2645,6381,6017,257,
2021-07-11,7744,196,697,520,188,7933,4494,27,5057,2,2777,10882,39,4400,6263,1259,29,,5980,7868,2132,12641,9849,12090,7144,318,8132,8467,24,6970,3672,552,629,,3285,3134,2763,950,700,1610,8996,11299,66,4484,7676,148,12948,6562,177,1511,6744,9942,3373,796,46,37,10980,48,1370,4054,359,1444,676,10104,158,109,7393,7699,1645,100,3776,5937,1869,5686,14244,229,811,4692,215,5691,8304,6895,599,1476,181,1270,13266,3675,211,11584,7424,2438,163,2245,87,174,1146,,3675,339,77,5769,2251,8440,66,1815,2547,1469,2645,6927,5848,238,
