date,Deutschland,Großbritannien,Andorra,Argentinien,Bahrain,Bangladesch,Belgien,Brasilien,Bulgarien,Cayman Islands,Chile,China,Costa Rica,Dänemark,Ecuador,Estland,Finnland,Frankreich,Gibraltar,Griechenland,Grönland,Guernsey,Indonesien,Irland,Island,Isle of Man,Israel,Italien,Jersey,Kanada,Kroatien,Lettland,Litauen,Luxemburg,Malta,Mexiko,Norwegen,Oman,Österreich,Polen,Portugal,Rumänien,Schweden,Seychellen,Singapur,Slowakei,Slowenien,Spanien,Tschechien,Ungarn,USA,Vereinigte Arabische Emirate,Zypern
2021-01-24,19.2,96.8,,5.8,,,20.5,2.8,3.1,,,,,31.9,,,,14.8,306.9,,,91.7,,,,,302.6,22,82.5,,,,,,42.5,4.7,14.6,4.9,15,17.4,,22.5,20.7,,,17.7,25,24.6,17.9,15.2,55.3,,
2021-01-25,19.9,101,7.5,5.8,,,21.4,3.3,3.2,,2.9,,9,31.9,,,19.1,15.8,312.8,16.5,,,,,30.6,45.8,312.1,22,,,14.1,9,21.7,11.7,44.6,4.8,14.7,4.9,15.2,18.5,,23.9,,202.2,,18.8,25,25,18.8,15.5,57.6,,
2021-01-26,20.5,105.5,,5.9,97.5,0,22.3,4,3.4,,3,,,31.9,,,19.9,17.2,328.7,17.7,,,,,,49.9,321.3,22.1,,,,9,22.6,13.2,46.8,4.8,15.1,4.9,16.3,20.7,22.1,25.4,,231,,20,25.1,25.3,19.8,15.8,59.5,,
2021-01-27,21.2,110.1,,6,98.6,0,23.4,5.3,3.6,,3,15.8,,32,,,21.2,18.6,328.7,19,45.5,,,29.9,31.4,53.5,330.5,22.2,,,,9,24,14.5,48.5,4.8,17.2,4.9,17.1,22.7,,26.7,,260.2,19.3,21.2,25.2,25.7,20.6,16.7,61.9,,
2021-01-28,21.8,116.2,,6.1,99.6,0,24.6,6.8,3.9,,3,,,32,0.2,19.2,23.1,20.2,366,20.2,,,1.3,,,61.7,340,22.3,,,,9,25.2,15.8,50.2,4.9,19.1,,18.2,24.3,,27.8,21.4,292.6,,22.6,25.5,26.1,21.2,18.1,64.9,,
2021-01-29,22.5,123.4,,6.2,99.8,,25.6,7.8,4,,3,,,32.2,,19.9,24.8,21.4,381.9,21.2,,,1.5,,,68.6,344.3,22.3,,,,9.1,26.3,,51.8,4.9,19.8,,19.3,25,,28.8,22.8,313.8,,24.3,25.7,,21.8,20.5,68.3,,22.4
2021-01-30,22.9,132.2,,6.2,100.2,,25.7,9.1,4,,3,,,32.4,,20.8,26.1,21.8,381.9,22.3,,,1.8,,,,348.3,22.4,,23.1,,9.1,26.4,,53,4.9,19.8,,20.4,25.3,,29.7,,,,24.5,25.7,,21.9,23,72,,
2021-01-31,23.3,136.9,,,100.8,,25.7,9.6,4,,,16.7,,32.7,,21,,21.9,382.5,,,,1.8,30.5,,,356.9,22.4,115.8,,,,26.4,17.2,,4.9,19.8,,20.6,25.8,26.3,30.4,,,26.5,24.5,25.7,26.8,21.9,24.6,75.4,,
2021-02-01,23.9,142.1,13.4,6.2,101.6,,26,9.9,4.2,,,,9,32.8,,21.2,26.3,22.7,385.1,23.7,,,2,,,,366.5,22.5,,,14.3,9.1,26.8,18.1,53.9,4.8,19.9,,20.7,26.4,26.5,31.1,,356.7,,26.1,25.7,26.8,22.3,25.2,77.8,,
2021-02-02,24.5,147.6,,,102.3,,26.8,10.8,4.4,,3.5,,,33.1,,21.8,26.3,23.8,388,25.1,,,2.2,,,80.9,374.6,22.6,,,,9.2,27.4,19.1,55.5,4.8,21,,21.1,27.8,,31.7,25.4,369,29.9,27.7,25.7,27.1,22.7,25.6,79.1,,
2021-02-03,25.2,154.5,,6.3,102.9,,27.5,11.9,4.8,,6.7,21.7,,33.4,,22.7,27.1,24.9,390.8,26.5,,,2.4,,35.5,86.9,381.4,22.8,,,14.4,9.3,28,20.1,57.4,4.8,25.4,,21.6,29.5,27,32.2,26.2,377.1,,29.5,25.8,27.4,23,25.8,81.2,,
2021-02-04,25.9,161.6,,6.6,104.2,,27.9,14.5,5.3,118.9,14.7,,,33.7,0.4,24,28.8,26.1,393.2,27.9,,,2.6,,,94.4,389.8,23,,,14.5,9.4,28.5,21.2,59.4,4.9,29.9,,22.1,30.9,27.4,32.7,27.3,,,31.1,26.1,27.9,23.5,27.4,83.4,,
2021-02-05,26.5,168.9,,,105.5,,28.3,14.5,5.7,,29.1,,,33.9,,25.6,29.7,27.2,397.7,29.4,,,2.7,30.6,37.1,94.6,393.7,23.2,,,,9.4,28.9,,61.2,4.9,31.7,,22.4,31.5,,33.2,28.4,,,32.6,26.2,,23.9,28.9,86.4,,26
2021-02-06,27,177,,6.8,107.3,,28.4,16,5.7,,31,,,34.1,,26.8,30.5,27.5,400.7,30.5,,,2.8,,,101.9,396.1,23.5,,,,9.4,28.9,,63.6,4.9,31.8,,23.1,31.7,27.9,33.7,,382.2,,32.9,26.3,,24,29.6,90.5,,
2021-02-07,27.4,181.1,,7.1,112.5,0.2,28.4,16.6,5.7,,31.6,,,34.4,,27.1,30.7,27.6,400.7,,,,2.9,,,106.6,402.3,23.6,,,,9.4,28.9,22.3,65.3,4.9,31.9,,23.3,31.9,28.5,34.1,,,,33,26.3,28.2,24,29.9,94.4,,
2021-02-08,,,,7.1,118.2,,,16.8,6,,40.6,,9.2,,,27.1,30.8,,,31.9,,,3,,37.5,111.3,409.1,24,,,,9.6,29,,66.4,5,,5.3,23.5,,28.6,34.4,,,,35.1,,,24.3,30.2,96.7,,
2021-02-09,28.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
