value,name
182,Pritzwalk/Urnenwahlbezirk 1214
183,Pritzwalk/Urnenwahlbezirk 1215
184,Pritzwalk/Urnenwahlbezirk 1216
185,Pritzwalk/Urnenwahlbezirk 1217
186,Pritzwalk/Urnenwahlbezirk 1218
187,Pritzwalk/Urnenwahlbezirk 1219
188,Pritzwalk/Urnenwahlbezirk 1220
189,Rheinsberg/Briefwahlbezirk 9143
190,Rheinsberg/Briefwahlbezirk 9144
191,Rheinsberg/Urnenwahlbezirk 4021
192,Rheinsberg/Urnenwahlbezirk 4022
193,Rheinsberg/Urnenwahlbezirk 4023
194,Rheinsberg/Urnenwahlbezirk 4025
195,Rheinsberg/Urnenwahlbezirk 4027
196,Rheinsberg/Urnenwahlbezirk 4028
197,Rheinsberg/Urnenwahlbezirk 4029
198,Rheinsberg/Urnenwahlbezirk 4030
199,Rheinsberg/Urnenwahlbezirk 4031
200,Rheinsberg/Urnenwahlbezirk 4032
201,Rheinsberg/Urnenwahlbezirk 4033
202,Rheinsberg/Urnenwahlbezirk 4034
203,Rheinsberg/Urnenwahlbezirk 4035
204,Rheinsberg/Urnenwahlbezirk 4036
205,Rheinsberg/Urnenwahlbezirk 4037
206,Rheinsberg/Urnenwahlbezirk 4038
207,Rheinsberg/Urnenwahlbezirk 4039
208,Rheinsberg/Urnenwahlbezirk 4040
209,Rheinsberg/Urnenwahlbezirk 4042
210,Wittenberge/Briefwahlbezirk 9111
211,Wittenberge/Briefwahlbezirk 9112
212,Wittenberge/Briefwahlbezirk 9113
213,Wittenberge/Briefwahlbezirk 9114
214,Wittenberge/Briefwahlbezirk 9152
215,Wittenberge/Urnenwahlbezirk 1301
216,Wittenberge/Urnenwahlbezirk 1302
217,Wittenberge/Urnenwahlbezirk 1303
218,Wittenberge/Urnenwahlbezirk 1304
219,Wittenberge/Urnenwahlbezirk 1305
220,Wittenberge/Urnenwahlbezirk 1306
221,Wittenberge/Urnenwahlbezirk 1307
222,Wittenberge/Urnenwahlbezirk 1308
223,Wittenberge/Urnenwahlbezirk 1309
224,Wittenberge/Urnenwahlbezirk 1310
225,Wittenberge/Urnenwahlbezirk 1311
226,Wittenberge/Urnenwahlbezirk 1312
227,Wittenberge/Urnenwahlbezirk 1313
228,Wittenberge/Urnenwahlbezirk 1314
229,Wittenberge/Urnenwahlbezirk 1315
230,Wittstock/Dosse/Briefwahlbezirk 9146
231,Wittstock/Dosse/Briefwahlbezirk 9147
232,Wittstock/Dosse/Briefwahlbezirk 9148
233,Wittstock/Dosse/Briefwahlbezirk 9149
234,Wittstock/Dosse/Urnenwahlbezirk 8001
235,Wittstock/Dosse/Urnenwahlbezirk 8002
236,Wittstock/Dosse/Urnenwahlbezirk 8003
237,Wittstock/Dosse/Urnenwahlbezirk 8004
238,Wittstock/Dosse/Urnenwahlbezirk 8005
239,Wittstock/Dosse/Urnenwahlbezirk 8006
240,Wittstock/Dosse/Urnenwahlbezirk 8007
241,Wittstock/Dosse/Urnenwahlbezirk 8008
242,Wittstock/Dosse/Urnenwahlbezirk 8009
243,Wittstock/Dosse/Urnenwahlbezirk 8010
244,Wittstock/Dosse/Urnenwahlbezirk 8011
245,Wittstock/Dosse/Urnenwahlbezirk 8012
246,Wittstock/Dosse/Urnenwahlbezirk 8013
247,Wittstock/Dosse/Urnenwahlbezirk 8014
