"Kreis","Typ","Bundesland","Einwohner","Tote","Tote.in.7.Tagen","hc.key","Datum","totrel"
"Ludwigsburg","Landkreis","Baden-Württemberg",544971,708,0,"de-bw-08118000","29.4.2022",130
"Rems-Murr-Kreis","Landkreis","Baden-Württemberg",427286,587,0,"de-bw-08119000","29.4.2022",137
"Heilbronn","Stadtkreis","Baden-Württemberg",126458,264,0,"de-bw-08121000","29.4.2022",209
"Heilbronn","Landkreis","Baden-Württemberg",346363,324,0,"de-bw-08125000","29.4.2022",94
"Hohenlohekreis","Landkreis","Baden-Württemberg",112765,177,0,"de-bw-08126000","29.4.2022",157
"Schwäbisch Hall","Landkreis","Baden-Württemberg",197860,332,0,"de-bw-08127000","29.4.2022",168
"Main-Tauber-Kreis","Landkreis","Baden-Württemberg",132684,193,0,"de-bw-08128000","29.4.2022",145
"Heidenheim","Landkreis","Baden-Württemberg",132812,297,0,"de-bw-08135000","29.4.2022",224
"Ostalbkreis","Landkreis","Baden-Württemberg",314294,566,1,"de-bw-08136000","29.4.2022",180
"Baden-Baden","Stadtkreis","Baden-Württemberg",55449,104,0,"de-bw-08211000","29.4.2022",188
"Karlsruhe","Stadtkreis","Baden-Württemberg",308436,350,0,"de-bw-08212000","29.4.2022",113
"Karlsruhe","Landkreis","Baden-Württemberg",446852,689,0,"de-bw-08215000","29.4.2022",154
"Rastatt","Landkreis","Baden-Württemberg",232091,363,0,"de-bw-08216000","29.4.2022",156
"Heidelberg","Stadtkreis","Baden-Württemberg",158741,111,0,"de-bw-08221000","29.4.2022",70
"Mannheim","Stadtkreis","Baden-Württemberg",309721,475,1,"de-bw-08222000","29.4.2022",153
"Neckar-Odenwald-Kreis","Landkreis","Baden-Württemberg",143797,211,0,"de-bw-08225000","29.4.2022",147
"Rhein-Neckar-Kreis","Landkreis","Baden-Württemberg",548233,661,0,"de-bw-08226000","29.4.2022",121
"Pforzheim","Stadtkreis","Baden-Württemberg",126016,321,1,"de-bw-08231000","29.4.2022",255
"Calw","Landkreis","Baden-Württemberg",160149,280,0,"de-bw-08235000","29.4.2022",175
"Enzkreis","Landkreis","Baden-Württemberg",199752,337,0,"de-bw-08236000","29.4.2022",169
"Freudenstadt","Landkreis","Baden-Württemberg",118364,238,0,"de-bw-08237000","29.4.2022",201
"Freiburg im Breisgau","Stadtkreis","Baden-Württemberg",230940,255,0,"de-bw-08311000","29.4.2022",110
"Breisgau-Hochschwarzwald","Landkreis","Baden-Württemberg",264867,318,0,"de-bw-08315000","29.4.2022",120
"Emmendingen","Landkreis","Baden-Württemberg",166862,234,0,"de-bw-08316000","29.4.2022",140
"Ortenaukreis","Landkreis","Baden-Württemberg",432580,762,0,"de-bw-08317000","29.4.2022",176
"Rottweil","Landkreis","Baden-Württemberg",140166,273,0,"de-bw-08325000","29.4.2022",195
"Schwarzwald-Baar-Kreis","Landkreis","Baden-Württemberg",212872,362,1,"de-bw-08326000","29.4.2022",170
"Tuttlingen","Landkreis","Baden-Württemberg",141682,251,0,"de-bw-08327000","29.4.2022",177
"Konstanz","Landkreis","Baden-Württemberg",286876,424,0,"de-bw-08335000","29.4.2022",148
"Lörrach","Landkreis","Baden-Württemberg",228842,413,0,"de-bw-08336000","29.4.2022",180
"Waldshut","Landkreis","Baden-Württemberg",171237,314,0,"de-bw-08337000","29.4.2022",183
"Reutlingen","Landkreis","Baden-Württemberg",287497,440,1,"de-bw-08415000","29.4.2022",153
"Tübingen","Landkreis","Baden-Württemberg",228471,246,0,"de-bw-08416000","29.4.2022",108
"Zollernalbkreis","Landkreis","Baden-Württemberg",189862,235,0,"de-bw-08417000","29.4.2022",124
"Ulm","Stadtkreis","Baden-Württemberg",126405,114,0,"de-bw-08421000","29.4.2022",90
"Alb-Donau-Kreis","Landkreis","Baden-Württemberg",198204,228,0,"de-bw-08425000","29.4.2022",115
"Biberach","Landkreis","Baden-Württemberg",202250,277,0,"de-bw-08426000","29.4.2022",137
"Bodenseekreis","Landkreis","Baden-Württemberg",217901,307,0,"de-bw-08435000","29.4.2022",141
"Ravensburg","Landkreis","Baden-Württemberg",285888,221,0,"de-bw-08436000","29.4.2022",77
"Sigmaringen","Landkreis","Baden-Württemberg",130946,168,0,"de-bw-08437000","29.4.2022",128
"Ingolstadt","Kreisfreie Stadt","Bayern",136952,244,1,"de-by-09161000","29.4.2022",178
"München","Kreisfreie Stadt","Bayern",1488202,1981,0,"de-by-09162000","29.4.2022",133
"Rosenheim","Kreisfreie Stadt","Bayern",63591,124,0,"de-by-09163000","29.4.2022",195
"Altötting","Landkreis","Bayern",111654,324,0,"de-by-09171000","29.4.2022",290
"Berchtesgadener Land","Landkreis","Bayern",106327,186,0,"de-by-09172000","29.4.2022",175
"Bad Tölz-Wolfratshausen","Landkreis","Bayern",128212,178,0,"de-by-09173000","29.4.2022",139
"Dachau","Landkreis","Bayern",155117,236,0,"de-by-09174000","29.4.2022",152
"Ebersberg","Landkreis","Bayern",144091,275,0,"de-by-09175000","29.4.2022",191
"Eichstätt","Landkreis","Bayern",133169,140,0,"de-by-09176000","29.4.2022",105
"Erding","Landkreis","Bayern",138891,183,1,"de-by-09177000","29.4.2022",132
"Freising","Landkreis","Bayern",180313,213,0,"de-by-09178000","29.4.2022",118
"Fürstenfeldbruck","Landkreis","Bayern",218740,226,0,"de-by-09179000","29.4.2022",103
"Garmisch-Partenkirchen","Landkreis","Bayern",88279,148,0,"de-by-09180000","29.4.2022",168
"Landsberg am Lech","Landkreis","Bayern",121019,122,0,"de-by-09181000","29.4.2022",101
"Miesbach","Landkreis","Bayern",100183,182,0,"de-by-09182000","29.4.2022",182
"Mühldorf a. Inn","Landkreis","Bayern",116483,302,1,"de-by-09183000","29.4.2022",259
"München","Landkreis","Bayern",349685,362,0,"de-by-09184000","29.4.2022",104
"Neuburg-Schrobenhausen","Landkreis","Bayern",97730,147,0,"de-by-09185000","29.4.2022",150
"Pfaffenhofen a.d. Ilm","Landkreis","Bayern",129128,236,1,"de-by-09186000","29.4.2022",183
"Rosenheim","Landkreis","Bayern",261721,701,0,"de-by-09187000","29.4.2022",268
"Starnberg","Landkreis","Bayern",136610,167,0,"de-by-09188000","29.4.2022",122
"Traunstein","Landkreis","Bayern",177485,354,0,"de-by-09189000","29.4.2022",199
"Weilheim-Schongau","Landkreis","Bayern",136134,188,0,"de-by-09190000","29.4.2022",138
"Landshut","Kreisfreie Stadt","Bayern",73065,173,0,"de-by-09261000","29.4.2022",237
"Passau","Kreisfreie Stadt","Bayern",52415,144,0,"de-by-09262000","29.4.2022",275
"Straubing","Kreisfreie Stadt","Bayern",47612,130,0,"de-by-09263000","29.4.2022",273
"Deggendorf","Landkreis","Bayern",119479,281,1,"de-by-09271000","29.4.2022",235
"Freyung-Grafenau","Landkreis","Bayern",78355,217,0,"de-by-09272000","29.4.2022",277
"Kelheim","Landkreis","Bayern",123390,158,0,"de-by-09273000","29.4.2022",128
"Landshut","Landkreis","Bayern",161191,300,0,"de-by-09274000","29.4.2022",186
"Passau","Landkreis","Bayern",193454,557,0,"de-by-09275000","29.4.2022",288
"Regen","Landkreis","Bayern",77313,253,0,"de-by-09276000","29.4.2022",327
"Rottal-Inn","Landkreis","Bayern",121800,345,2,"de-by-09277000","29.4.2022",283
"Straubing-Bogen","Landkreis","Bayern",101745,194,0,"de-by-09278000","29.4.2022",191
"Dingolfing-Landau","Landkreis","Bayern",97244,224,0,"de-by-09279000","29.4.2022",230
"Amberg","Kreisfreie Stadt","Bayern",42052,55,0,"de-by-09361000","29.4.2022",131
"Regensburg","Kreisfreie Stadt","Bayern",152270,160,0,"de-by-09362000","29.4.2022",105
"Weiden i.d. OPf.","Kreisfreie Stadt","Bayern",42535,118,0,"de-by-09363000","29.4.2022",277
"Amberg-Sulzbach","Landkreis","Bayern",102998,219,0,"de-by-09371000","29.4.2022",213
"Cham","Landkreis","Bayern",128094,269,0,"de-by-09372000","29.4.2022",210
"Neumarkt i.d. OPf.","Landkreis","Bayern",135225,244,0,"de-by-09373000","29.4.2022",180
"Neustadt a.d. Waldnaab","Landkreis","Bayern",94645,233,0,"de-by-09374000","29.4.2022",246
"Regensburg","Landkreis","Bayern",194275,256,0,"de-by-09375000","29.4.2022",132
"Schwandorf","Landkreis","Bayern",148477,279,0,"de-by-09376000","29.4.2022",188
"Tirschenreuth","Landkreis","Bayern",71696,306,0,"de-by-09377000","29.4.2022",427
"Bamberg","Kreisfreie Stadt","Bayern",76674,149,0,"de-by-09461000","29.4.2022",194
"Bayreuth","Kreisfreie Stadt","Bayern",74048,166,0,"de-by-09462000","29.4.2022",224
"Coburg","Kreisfreie Stadt","Bayern",40842,118,0,"de-by-09463000","29.4.2022",289
"Hof","Kreisfreie Stadt","Bayern",45173,166,1,"de-by-09464000","29.4.2022",367
"Bamberg","Landkreis","Bayern",147497,253,0,"de-by-09471000","29.4.2022",172
"Bayreuth","Landkreis","Bayern",103679,215,0,"de-by-09472000","29.4.2022",207
"Coburg","Landkreis","Bayern",86571,204,0,"de-by-09473000","29.4.2022",236
"Forchheim","Landkreis","Bayern",116600,185,0,"de-by-09474000","29.4.2022",159
"Hof","Landkreis","Bayern",94522,249,0,"de-by-09475000","29.4.2022",263
"Kronach","Landkreis","Bayern",66355,168,1,"de-by-09476000","29.4.2022",253
"Kulmbach","Landkreis","Bayern",71428,157,1,"de-by-09477000","29.4.2022",220
"Lichtenfels","Landkreis","Bayern",66722,163,0,"de-by-09478000","29.4.2022",244
"Wunsiedel i. Fichtelgebirge","Landkreis","Bayern",71974,256,1,"de-by-09479000","29.4.2022",356
"Ansbach","Kreisfreie Stadt","Bayern",41681,62,0,"de-by-09561000","29.4.2022",149
"Erlangen","Kreisfreie Stadt","Bayern",112385,132,1,"de-by-09562000","29.4.2022",117
"Fürth","Kreisfreie Stadt","Bayern",128223,307,0,"de-by-09563000","29.4.2022",239
"Nürnberg","Kreisfreie Stadt","Bayern",515543,1220,0,"de-by-09564000","29.4.2022",237
"Schwabach","Kreisfreie Stadt","Bayern",41056,137,0,"de-by-09565000","29.4.2022",334
"Ansbach","Landkreis","Bayern",185316,261,0,"de-by-09571000","29.4.2022",141
"Erlangen-Höchstadt","Landkreis","Bayern",138105,178,0,"de-by-09572000","29.4.2022",129
"Fürth","Landkreis","Bayern",118695,276,0,"de-by-09573000","29.4.2022",233
"Nürnberger Land","Landkreis","Bayern",171143,277,0,"de-by-09574000","29.4.2022",162
"Neustadt a.d. Aisch-Bad Windsheim","Landkreis","Bayern",101272,151,0,"de-by-09575000","29.4.2022",149
"Roth","Landkreis","Bayern",127168,241,2,"de-by-09576000","29.4.2022",190
"Weißenburg-Gunzenhausen","Landkreis","Bayern",95117,171,0,"de-by-09577000","29.4.2022",180
"Aschaffenburg","Kreisfreie Stadt","Bayern",70858,163,0,"de-by-09661000","29.4.2022",230
"Schweinfurt","Kreisfreie Stadt","Bayern",53319,137,0,"de-by-09662000","29.4.2022",257
"Würzburg","Kreisfreie Stadt","Bayern",126954,192,0,"de-by-09663000","29.4.2022",151
"Aschaffenburg","Landkreis","Bayern",174658,286,0,"de-by-09671000","29.4.2022",164
"Bad Kissingen","Landkreis","Bayern",103169,193,0,"de-by-09672000","29.4.2022",187
"Rhön-Grabfeld","Landkreis","Bayern",79510,148,1,"de-by-09673000","29.4.2022",186
"Haßberge","Landkreis","Bayern",84275,146,0,"de-by-09674000","29.4.2022",173
"Kitzingen","Landkreis","Bayern",91696,132,1,"de-by-09675000","29.4.2022",144
"Miltenberg","Landkreis","Bayern",128743,210,0,"de-by-09676000","29.4.2022",163
"Main-Spessart","Landkreis","Bayern",125976,243,0,"de-by-09677000","29.4.2022",193
"Schweinfurt","Landkreis","Bayern",115652,213,0,"de-by-09678000","29.4.2022",184
"Würzburg","Landkreis","Bayern",162697,138,1,"de-by-09679000","29.4.2022",85
"Augsburg","Kreisfreie Stadt","Bayern",295830,647,0,"de-by-09761000","29.4.2022",219
"Kaufbeuren","Kreisfreie Stadt","Bayern",44662,104,0,"de-by-09762000","29.4.2022",233
"Kempten (Allgäu)","Kreisfreie Stadt","Bayern",68940,94,0,"de-by-09763000","29.4.2022",136
"Memmingen","Kreisfreie Stadt","Bayern",44360,37,0,"de-by-09764000","29.4.2022",83
"Aichach-Friedberg","Landkreis","Bayern",135024,160,0,"de-by-09771000","29.4.2022",118
"Augsburg","Landkreis","Bayern",255900,408,0,"de-by-09772000","29.4.2022",159
"Dillingen a.d. Donau","Landkreis","Bayern",97172,209,1,"de-by-09773000","29.4.2022",215
"Günzburg","Landkreis","Bayern",127342,199,0,"de-by-09774000","29.4.2022",156
"Neu-Ulm","Landkreis","Bayern",175823,257,0,"de-by-09775000","29.4.2022",146
"Lindau (Bodensee)","Landkreis","Bayern",82085,102,1,"de-by-09776000","29.4.2022",124
"Ostallgäu","Landkreis","Bayern",141907,250,0,"de-by-09777000","29.4.2022",176
"Unterallgäu","Landkreis","Bayern",146164,250,0,"de-by-09778000","29.4.2022",171
"Donau-Ries","Landkreis","Bayern",134324,243,0,"de-by-09779000","29.4.2022",181
"Oberallgäu","Landkreis","Bayern",156308,169,0,"de-by-09780000","29.4.2022",108
