"Kreis","Typ","Bundesland","Einwohner","Tote","Tote.in.7.Tagen","hc.key","Datum","totrel"
"Nordwestmecklenburg","Landkreis","Mecklenburg-Vorpommern",157975,131,0,"de-mv-13074000","29.4.2022",83
"Vorpommern-Greifswald","Landkreis","Mecklenburg-Vorpommern",235773,498,0,"de-mv-13075000","29.4.2022",211
"Ludwigslust-Parchim","Landkreis","Mecklenburg-Vorpommern",211844,407,0,"de-mv-13076000","29.4.2022",192
"Chemnitz","Kreisfreie Stadt","Sachsen",244401,836,1,"de-sn-14511000","29.4.2022",342
"Erzgebirgskreis","Landkreis","Sachsen",331917,1648,0,"de-sn-14521000","29.4.2022",497
"Mittelsachsen","Landkreis","Sachsen",301474,1015,0,"de-sn-14522000","29.4.2022",337
"Vogtlandkreis","Landkreis","Sachsen",223905,1228,0,"de-sn-14523000","29.4.2022",548
"Zwickau","Landkreis","Sachsen",312033,1493,0,"de-sn-14524000","29.4.2022",478
"Dresden","Kreisfreie Stadt","Sachsen",556227,1688,0,"de-sn-14612000","29.4.2022",303
"Bautzen","Landkreis","Sachsen",298010,1404,0,"de-sn-14625000","29.4.2022",471
"Görlitz","Landkreis","Sachsen",250558,1613,0,"de-sn-14626000","29.4.2022",644
"Meißen","Landkreis","Sachsen",240371,953,0,"de-sn-14627000","29.4.2022",396
"Sächsische Schweiz-Osterzgebirge","Landkreis","Sachsen",244722,1436,0,"de-sn-14628000","29.4.2022",587
"Leipzig","Kreisfreie Stadt","Sachsen",597493,807,0,"de-sn-14713000","29.4.2022",135
"Leipzig","Landkreis","Sachsen",258386,530,0,"de-sn-14729000","29.4.2022",205
"Nordsachsen","Landkreis","Sachsen",197444,621,0,"de-st-14730000","29.4.2022",315
"Dessau-Roßlau","Kreisfreie Stadt","Sachsen-Anhalt",79354,157,0,"de-st-15001000","29.4.2022",198
"Halle (Saale)","Kreisfreie Stadt","Sachsen-Anhalt",237865,567,2,"de-st-15002000","29.4.2022",238
"Magdeburg","Kreisfreie Stadt","Sachsen-Anhalt",235775,214,0,"de-st-15003000","29.4.2022",91
