nachname,vorname,status,beruf,partei,parlament,bundesland
Platzeck,Matthias,extern,Ministerpräsident a. D.,SPD,Landtag,Brandenburg
Rößler,Matthias,aktiv,MdL,CDU,Landtag,Sachsen
Seestern-Pauly,Matthias,aktiv,MdB,FDP,Bundestag,Niedersachsen
Birkwald,Matthias W.,aktiv,MdB,Linke,Bundestag,Nordrhein-Westfalen
Lucks,Max,aktiv,MdB,Grüne,Bundestag,Nordrhein-Westfalen
Straubinger,Max,aktiv,MdB,CSU,Bundestag,Bayern
Funke-Kaiser,Maximilian,aktiv,MdB,FDP,Bundestag,Bayern
Mordhorst,Maximilian,aktiv,MdB,FDP,Bundestag,Schleswig-Holstein
Mörseburg,Maximilian,aktiv,MdB,CDU,Bundestag,Baden-Württemberg
Heil,Mechthild,aktiv,MdB,CDU,Bundestag,Rheinland-Pfalz
Wittmann,Mechthilde,aktiv,MdB,CSU,Bundestag,Bayern
Daimagüler,Mehmet Gürcan,extern,ehemaliges Bundesvorstandsmitglied der FDP und Anwalt von Nebenklägern im NSU-Prozess,FDP,Landtag,Nordrhein-Westfalen
Mostofizadeh,Mehrdad,aktiv,MdL,Grüne,Landtag,Nordrhein-Westfalen
Payandeh,Mehrdad,extern,Gewerkschafter,SPD,Landtag,Niedersachsen
Huml,Melanie,aktiv,MdL,CSU,Landtag,Bayern
Kühnemann-Grunow,Melanie,aktiv,MdL,SPD,Landtag,Berlin
Leonhard,Melanie,extern,Senatorin,SPD,Landtag,Hamburg
Wegling,Melanie,aktiv,MdB,SPD,Bundestag,Hessen
Sekmen,Melis,aktiv,MdB,Grüne,Bundestag,Baden-Württemberg
Spellerberg,Merle,aktiv,MdB,Grüne,Bundestag,Sachsen
Hakverdi,Metin,aktiv,MdB,SPD,Bundestag,Hamburg
Albrecht,Michael,extern,medizinischer Vorstand des Universitätsklinikums Carl Gustav Carus Dresden,CDU,Landtag,Sachsen
Boddenberg,Michael,aktiv,MdL,CDU,Landtag,Hessen
Brand,Michael,aktiv,MdB,CDU,Bundestag,Hessen
Breilmann,Michael,aktiv,MdB,CDU,Bundestag,Nordrhein-Westfalen
Donth,Michael,aktiv,MdB,CDU,Bundestag,Baden-Württemberg
Espendiller,Michael,aktiv,MdB,AfD,Bundestag,Nordrhein-Westfalen
Frieser,Michael,aktiv,MdB,CSU,Bundestag,Bayern
Frisch,Michael,aktiv,MdL,AfD,Landtag,Rheinland-Pfalz
Link,Michael Georg,aktiv,MdB,FDP,Bundestag,Baden-Württemberg
Gerdes,Michael,aktiv,MdB,SPD,Bundestag,Nordrhein-Westfalen
Grosse-Brömer,Michael,aktiv,MdB,CDU,Bundestag,Niedersachsen
Hennrich,Michael,aktiv,MdB,CDU,Bundestag,Baden-Württemberg
Hübner,Michael,aktiv,MdL,SPD,Landtag,Nordrhein-Westfalen
Hüttner,Michael,aktiv,MdL,SPD,Landtag,Rheinland-Pfalz
Joukov,Michael,aktiv,MdL,Grüne,Landtag,Baden-Württemberg
Kaufmann,Michael,aktiv,MdB,AfD,Bundestag,Thüringen
Kellner,Michael,aktiv,MdB,Grüne,Bundestag,Brandenburg
