nachname,vorname,status,beruf,partei,parlament,bundesland
Lehrer,Abraham,extern,Vizepräsident des Zentralrats der Juden in Deutschland,SPD,Landtag,Nordrhein-Westfalen
Post,Achim,aktiv,MdB,SPD,Bundestag,Nordrhein-Westfalen
Ahmetovic,Adis,aktiv,MdB,SPD,Bundestag,Niedersachsen
Brugger,Agnieszka,aktiv,MdB,Grüne,Bundestag,Baden-Württemberg
Hauptmann,Agnieszka,extern,Intensivpflegerin,CDU,Landtag,Saarland
Kurtovic,Ajla,extern,Angehörige eines Opfers des Anschlags in Hanau 2020,SPD,Landtag,Hessen
Füracker,Albert,aktiv,MdL,CSU,Landtag,Bayern
Rupprecht,Albert,aktiv,MdB,CSU,Bundestag,Bayern
Stegemann,Albert,aktiv,MdB,CDU,Bundestag,Niedersachsen
Glaser,Albrecht,aktiv,MdB,AfD,Bundestag,Hessen
Trauschel,Alena,aktiv,MdL,FDP/DVP,Landtag,Baden-Württemberg
Bauer,Alexander,aktiv,MdL,CDU,Landtag,Hessen
Becker,Alexander,aktiv,MdL,CDU,Landtag,Baden-Württemberg
Dierks,Alexander,aktiv,MdL,CDU,Landtag,Sachsen
Dobrindt,Alexander,aktiv,MdB,CSU,Bundestag,Bayern
Engelhard,Alexander,aktiv,MdB,CSU,Bundestag,Bayern
Flierl,Alexander,aktiv,MdL,CSU,Landtag,Bayern
Gauland,Alexander,aktiv,MdB,AfD,Bundestag,Brandenburg
Gerst,Alexander,extern,Astronaut,Grüne,Landtag,Baden-Württemberg
Lambsdorff,Alexander Graf,aktiv,MdB,FDP,Bundestag,Nordrhein-Westfalen
Hoffmann,Alexander,aktiv,MdB,CSU,Bundestag,Bayern
Hold,Alexander,aktiv,MdL,Freie Wähler,Landtag,Bayern
Jorde,Alexander,extern,Krankenpfleger,SPD,Landtag,Niedersachsen
König,Alexander,aktiv,MdL,CSU,Landtag,Bayern
Müller,Alexander,aktiv,MdB,FDP,Bundestag,Hessen
Muthmann,Alexander,aktiv,MdL,FDP,Landtag,Bayern
Radwan,Alexander,aktiv,MdB,CSU,Bundestag,Bayern
Schweitzer,Alexander,aktiv,MdL,SPD,Landtag,Rheinland-Pfalz
Throm,Alexander,aktiv,MdB,CDU,Bundestag,Baden-Württemberg
Ulrich,Alexander,aktiv,MdB,Linke,Bundestag,Rheinland-Pfalz
Wiesner,Alexander,aktiv,MdL,AfD,Landtag,Sachsen
Schaumburg-Lippe,Alexander zu,extern,Unternehmer,FDP,Landtag,Niedersachsen
Gauß,Alexandra,extern,Bürgermeisterin von Windeck,Grüne,Landtag,Nordrhein-Westfalen
Al-Dailami,Ali,aktiv,MdB,Linke,Bundestag,Hessen
Weidel,Alice,aktiv,MdB,AfD,Bundestag,Baden-Württemberg
Rainer,Alois,aktiv,MdB,CSU,Bundestag,Bayern
Touré,Aminata,aktiv,MdL,Grüne,Landtag,Schleswig-Holstein
Ali,Amira Mohamed,aktiv,MdB,Linke,Bundestag,Niedersachsen
Barth,André,aktiv,MdL,AfD,Landtag,Sachsen
Berghegger,André,aktiv,MdB,CDU,Bundestag,Niedersachsen
Hahn,André,aktiv,MdB,Linke,Bundestag,Sachsen
Kuper,André,aktiv,MdL,CDU,Landtag,Nordrhein-Westfalen
Stinka,André,aktiv,MdL,SPD,Landtag,Nordrhein-Westfalen
Lindholz,Andrea,aktiv,MdB,CSU,Bundestag,Bayern
Audretsch,Andreas,aktiv,MdB,Grüne,Bundestag,Berlin
Bleck,Andreas,aktiv,MdB,AfD,Bundestag,Rheinland-Pfalz
Bovenschulte,Andreas,aktiv,MdL,SPD,Landtag,Bremen
Hartmann,Andreas,extern,Architekt,FDP,Landtag,Niedersachsen
Jung,Andreas,aktiv,MdB,CDU,Bundestag,Baden-Württemberg
Kenner,Andreas,aktiv,MdL,SPD,Landtag,Baden-Württemberg
Larem,Andreas,aktiv,MdB,SPD,Bundestag,Hessen
Lenz,Andreas,aktiv,MdB,CSU,Bundestag,Bayern
Lichert,Andreas,aktiv,MdL,AfD,Landtag,Hessen
Mattfeldt,Andreas,aktiv,MdB,CDU,Bundestag,Niedersachsen
Mehltretter,Andreas,aktiv,MdB,SPD,Bundestag,Bayern
Philippi,Andreas,aktiv,MdB,SPD,Bundestag,Niedersachsen
Pinkwart,Andreas,extern,Landesminister,FDP,Landtag,Nordrhein-Westfalen
Rimkus,Andreas,aktiv,MdB,SPD,Bundestag,Nordrhein-Westfalen
Scheuer,Andreas,aktiv,MdB,CSU,Bundestag,Bayern
Schneider,Andreas,extern,Mitarbeiter der SPD-Landtagsfraktion,SPD,Landtag,Niedersachsen
Silbersack,Andreas,aktiv,MdL,FDP,Landtag,Sachsen-Anhalt
Stoch,Andreas,aktiv,MdL,SPD,Landtag,Baden-Württemberg
Sturm,Andreas,aktiv,MdL,CDU,Landtag,Baden-Württemberg
Terhaag,Andreas,aktiv,MdL,FDP,Landtag,Nordrhein-Westfalen
Winhart,Andreas,aktiv,MdL,AfD,Landtag,Bayern
Hunko,Andrej,aktiv,MdB,Linke,Bundestag,Nordrhein-Westfalen
Ullmann,Andrew,aktiv,MdB,FDP,Bundestag,Bayern
Kramme,Anette,aktiv,MdB,SPD,Bundestag,Bayern
Schultner,Anette,extern,ehemaliges AfD-Mitglied,fraktionslos,Landtag,Nordrhein-Westfalen
Erwin,Angela,aktiv,MdL,CDU,Landtag,Nordrhein-Westfalen
Freimuth,Angela,aktiv,MdL,FDP,Landtag,Nordrhein-Westfalen
Gorr,Angela,aktiv,MdL,CDU,Landtag,Sachsen-Anhalt
Lück,Angela,aktiv,MdL,SPD,Landtag,Nordrhein-Westfalen
Merkel,Angela,extern,Bundeskanzlerin a. D.,CDU,Landtag,Mecklenburg-Vorpommern
Steinhauer,Angela,extern,ehemalige Krankenschwester,SPD,Landtag,Nordrhein-Westfalen
Glöckner,Angelika,aktiv,MdB,SPD,Bundestag,Rheinland-Pfalz
Löber,Angelika,aktiv,MdL,SPD,Landtag,Hessen
Niebler,Angelika,extern,Europaabgeordnete,CSU,Landtag,Bayern
Schorer,Angelika,aktiv,MdL,CSU,Landtag,Bayern
Merten,Anikó,aktiv,MdB,FDP,Bundestag,Niedersachsen
Karliczek,Anja,aktiv,MdB,CDU,Bundestag,Nordrhein-Westfalen
Liebert,Anja,aktiv,MdB,Grüne,Bundestag,Nordrhein-Westfalen
Reinalter,Anja,aktiv,MdB,Grüne,Bundestag,Baden-Württemberg
Schulz,Anja,aktiv,MdB,FDP,Bundestag,Niedersachsen
Troff-Schaffarzyk,Anja,aktiv,MdB,SPD,Bundestag,Niedersachsen
Weber,Anja,extern,Gewerkschafterin,SPD,Landtag,Nordrhein-Westfalen
Weisgerber,Anja,aktiv,MdB,CSU,Bundestag,Bayern
Beilstein,Anke,aktiv,MdL,CDU,Landtag,Rheinland-Pfalz
Domscheit-Berg,Anke,aktiv,MdB,Linke,Bundestag,Brandenburg
Hennig,Anke,aktiv,MdB,SPD,Bundestag,Niedersachsen
Rehlinger,Anke,aktiv,MdL,SPD,Landtag,Saarland
Jurisch,Ann-Veruschka,aktiv,MdB,FDP,Bundestag,Baden-Württemberg
Christmann,Anna,aktiv,MdB,Grüne,Bundestag,Baden-Württemberg
Elbert,Anna,extern,Intensivpflegerin,SPD,Landtag,Saarland
Kassautzki,Anna,aktiv,MdB,SPD,Bundestag,Mecklenburg-Vorpommern
Kebschull,Anna,extern,Landrätin des Landkreises Osnabrück,Grüne,Landtag,Niedersachsen
Lührmann,Anna,aktiv,MdB,Grüne,Bundestag,Hessen
Schwamberger,Anna,aktiv,MdL,Grüne,Landtag,Bayern
Stolz,Anna,aktiv,MdL,Freie Wähler,Landtag,Bayern
Walther,Anna,extern,Bürgermeisterin von Schönaich,SPD,Landtag,Baden-Württemberg
Baerbock,Annalena,aktiv,MdB,Grüne,Bundestag,Brandenburg
Helm,Anne,aktiv,MdL,Linke,Landtag,Berlin
Janssen,Anne,aktiv,MdB,CDU,Bundestag,Niedersachsen
König,Anne,aktiv,MdB,CDU,Bundestag,Nordrhein-Westfalen
Spallek,Anne Monika,aktiv,MdB,Grüne,Bundestag,Nordrhein-Westfalen
Spiegel,Anne,extern,Bundesministerin,Grüne,Landtag,Rheinland-Pfalz
Karl,Annette,aktiv,MdL,SPD,Landtag,Bayern
Klüber,Annette,extern,Intensivpflegerin in Mainz,SPD,Landtag,Rheinland-Pfalz
Noller,Annette,extern,Vorstandsvorsitzende des Diakonischen Werks Württemberg,SPD,Landtag,Baden-Württemberg
Watermann-Krass,Annette,aktiv,MdL,SPD,Landtag,Nordrhein-Westfalen
Widmann-Mauz,Annette,aktiv,MdB,CDU,Bundestag,Baden-Württemberg
Heger,Annie,extern,Entertainerin,SPD,Landtag,Niedersachsen
Klose,Annika,aktiv,MdB,SPD,Bundestag,Berlin
Heveling,Ansgar,aktiv,MdB,CDU,Bundestag,Nordrhein-Westfalen
Mayr,Ansgar,aktiv,MdL,CDU,Landtag,Baden-Württemberg
Kapek,Antje,aktiv,MdL,Grüne,Landtag,Berlin
Tillmann,Antje,aktiv,MdB,CDU,Bundestag,Thüringen
Baron,Anton,aktiv,MdL,AfD,Landtag,Baden-Württemberg
Hofreiter,Anton,aktiv,MdB,Grüne,Bundestag,Bayern
Fäscher,Ariane,aktiv,MdB,SPD,Bundestag,Brandenburg
Tasdelen,Arif,aktiv,MdL,SPD,Landtag,Bayern
Zorn,Armand,aktiv,MdB,SPD,Bundestag,Hessen
Grau,Armin,aktiv,MdB,Grüne,Bundestag,Rheinland-Pfalz
Laschet,Armin,aktiv,MdB,CDU,Bundestag,Nordrhein-Westfalen
Schwarz,Armin,aktiv,MdB,CDU,Bundestag,Hessen
Kirchhoff,Arndt G.,extern,Unternehmer,CDU,Landtag,Nordrhein-Westfalen
Klocke,Arndt,aktiv,MdL,Grüne,Landtag,Nordrhein-Westfalen
Auernhammer,Artur,aktiv,MdB,CSU,Bundestag,Bayern
Damerow,Astrid,aktiv,MdB,CDU,Bundestag,Schleswig-Holstein
Fünderich,Astrid,extern,Schauspielerin,SPD,Landtag,Baden-Württemberg
Henke,Astrid,aktiv,MdL,SPD,Landtag,Schleswig-Holstein
Timmermann-Fechter,Astrid,aktiv,MdB,CDU,Bundestag,Nordrhein-Westfalen
Wallmann,Astrid,aktiv,MdL,CDU,Landtag,Hessen
Gürpinar,Ates,aktiv,MdB,Linke,Bundestag,Bayern
Tesfaiesus,Awet,aktiv,MdB,Grüne,Bundestag,Hessen
Echeverria,Axel,aktiv,MdB,SPD,Bundestag,Nordrhein-Westfalen
Knoerig,Axel,aktiv,MdB,CDU,Bundestag,Niedersachsen
Müller,Axel,aktiv,MdB,CDU,Bundestag,Baden-Württemberg
Schäfer,Axel,aktiv,MdB,SPD,Bundestag,Nordrhein-Westfalen
Wintermeyer,Axel,aktiv,MdL,CDU,Landtag,Hessen
Özoguz,Aydan,aktiv,MdB,SPD,Bundestag,Hamburg
Demir,Ayse,extern,Vorstandssprecherin des Türkischen Bundes in Berlin-Brandenburg,Linke,Landtag,Berlin
Yeter,Ayse,extern,Intensivpflegerin am Klinikum Stuttgart,Grüne,Landtag,Baden-Württemberg
Haghanipour,Bahar,aktiv,MdL,Grüne,Landtag,Berlin
Havliza,Barbara,extern,Landesministerin,CDU,Landtag,Niedersachsen
Holzmann,Barbara,extern,Kommunalpolitikerin in Schwaben,Grüne,Landtag,Bayern
Lenk,Barbara,aktiv,MdB,AfD,Bundestag,Sachsen
Otte-Kinast,Barbara,extern,Landesministerin,CDU,Landtag,Niedersachsen
Richstein,Barbara,aktiv,MdL,CDU,Landtag,Brandenburg
Stamm,Barbara,aktiv,MdL,CSU,Landtag,Bayern
Bas,Bärbel,aktiv,MdB,SPD,Bundestag,Nordrhein-Westfalen
Bergerhoff-Wodopia,Bärbel,extern,Managerin,SPD,Landtag,Nordrhein-Westfalen
Kofler,Bärbel,aktiv,MdB,SPD,Bundestag,Bayern
Treutler,Bärbel,extern,Kommunalpolitikerin in der Prignitz,Grüne,Landtag,Brandenburg
Müller-Gemmeke,Beate,aktiv,MdB,Grüne,Bundestag,Baden-Württemberg
Walter-Rosenheimer,Beate,aktiv,MdB,Grüne,Bundestag,Bayern
Storch,Beatrix von,aktiv,MdB,AfD,Bundestag,Berlin
Onay,Belit,extern,Oberbürgermeister von Hannover,Grüne,Landtag,Niedersachsen
Oster,Benedikt,aktiv,MdL,SPD,Landtag,Rheinland-Pfalz
Bergt,Bengt,aktiv,MdB,SPD,Bundestag,Schleswig-Holstein
Fadavian,Benjamin,extern,Bürgermeister von Herzogenrath,SPD,Landtag,Nordrhein-Westfalen
List,Benjamin,extern,Chemiker,CDU,Landtag,Nordrhein-Westfalen
Miskowitsch,Benjamin,aktiv,MdL,CSU,Landtag,Bayern
Strasser,Benjamin,aktiv,MdB,FDP,Bundestag,Baden-Württemberg
Aymaz,Berivan,aktiv,MdL,Grüne,Landtag,Nordrhein-Westfalen
Althusmann,Bernd,aktiv,MdL,CDU,Landtag,Niedersachsen
Baumann,Bernd,aktiv,MdB,AfD,Bundestag,Hamburg
Buchholz,Bernd,extern,Landesminister,FDP,Landtag,Schleswig-Holstein
Busemann,Bernd,aktiv,MdL,CDU,Landtag,Niedersachsen
Krückel,Bernd,aktiv,MdL,CDU,Landtag,Nordrhein-Westfalen
Mettenleiter,Bernd,aktiv,MdL,Grüne,Landtag,Baden-Württemberg
Reuther,Bernd,aktiv,MdB,FDP,Bundestag,Nordrhein-Westfalen
Riexinger,Bernd,aktiv,MdB,Linke,Bundestag,Baden-Württemberg
Rützel,Bernd,aktiv,MdB,SPD,Bundestag,Bayern
Schattner,Bernd,aktiv,MdB,AfD,Bundestag,Rheinland-Pfalz
Sibler,Bernd,aktiv,MdL,CSU,Landtag,Bayern
Siggelkow,Bernd,extern,Pastor,CDU,Landtag,Berlin
Stelter,Bernd,extern,Komiker,CDU,Landtag,Nordrhein-Westfalen
Vohl,Bernd,aktiv,MdL,AfD,Landtag,Hessen
Westphal,Bernd,aktiv,MdB,SPD,Bundestag,Niedersachsen
Wölbern,Bernd,aktiv,MdL,SPD,Landtag,Niedersachsen
Daldrup,Bernhard,aktiv,MdB,SPD,Bundestag,Nordrhein-Westfalen
Eisenhut,Bernhard,aktiv,MdL,AfD,Landtag,Baden-Württemberg
Herrmann,Bernhard,aktiv,MdB,Grüne,Bundestag,Sachsen
Loos,Bernhard,aktiv,MdB,CSU,Bundestag,Bayern
Seidenath,Bernhard,aktiv,MdL,CSU,Landtag,Bayern
Vogel,Bernhard,extern,Ministerpräsident a. D.,CDU,Landtag,Thüringen
Wendsche,Bert,extern,Oberbürgermeister von Radebeul,CDU,Landtag,Sachsen
Hagedorn,Bettina,aktiv,MdB,SPD,Bundestag,Schleswig-Holstein
Hoffmann,Bettina,aktiv,MdB,Grüne,Bundestag,Hessen
Jarasch,Bettina,aktiv,MdL,Grüne,Landtag,Berlin
König,Bettina,aktiv,MdL,SPD,Landtag,Berlin
Lugk,Bettina,aktiv,MdB,SPD,Bundestag,Nordrhein-Westfalen
Müller,Bettina,aktiv,MdB,SPD,Bundestag,Hessen
Stark-Watzinger,Bettina,aktiv,MdB,FDP,Bundestag,Hessen
Hoff,Bianca,extern,Hygiene-Fachkraft,Linke,Landtag,Brandenburg
Djir-Sarai,Bijan,aktiv,MdB,FDP,Bundestag,Nordrhein-Westfalen
Gröning,Birger,aktiv,MdL,AfD,Landtag,Thüringen
Honé,Birgit,extern,Landesministerin,SPD,Landtag,Niedersachsen
Keller,Birgit,aktiv,MdL,Linke,Landtag,Thüringen
Franken,Björn,aktiv,MdL,CDU,Landtag,Nordrhein-Westfalen
Höcke,Björn,aktiv,MdL,AfD,Landtag,Thüringen
Simon,Björn,aktiv,MdB,CDU,Bundestag,Hessen
Thümler,Björn,aktiv,MdL,CDU,Landtag,Niedersachsen
Löttgen,Bodo,aktiv,MdL,CDU,Landtag,Nordrhein-Westfalen
Ramelow,Bodo,aktiv,MdL,Linke,Landtag,Thüringen
Mijatovic,Boris,aktiv,MdB,Grüne,Bundestag,Hessen
Rhein,Boris,aktiv,MdL,CDU,Landtag,Hessen
Weirauch,Boris,aktiv,MdL,SPD,Landtag,Baden-Württemberg
Nickholz,Brian,aktiv,MdB,SPD,Bundestag,Nordrhein-Westfalen
Boch,Brigitte von,extern,Unternehmerin,CDU,Landtag,Saarland
Haßelmann,Britta,aktiv,MdB,Grüne,Bundestag,Nordrhein-Westfalen
Näpel,Britta,extern,Paralympic-Dressurreiterin,SPD,Landtag,Rheinland-Pfalz
Oellers,Britta,aktiv,MdL,CDU,Landtag,Nordrhein-Westfalen
Steffen,Britta,extern,Schwimmerin,Grüne,Landtag,Brandenburg
Hönel,Bruno,aktiv,MdB,Grüne,Bundestag,Schleswig-Holstein
Bayram,Canan,aktiv,MdB,Grüne,Bundestag,Berlin
Kiziltepe,Cansel,aktiv,MdB,SPD,Bundestag,Berlin
Lay,Caren,aktiv,MdB,Linke,Bundestag,Sachsen
Gödecke,Carina,aktiv,MdL,SPD,Landtag,Nordrhein-Westfalen
Konrad,Carina,aktiv,MdB,FDP,Bundestag,Rheinland-Pfalz
Cronenberg,Carl-Julius,aktiv,MdB,FDP,Bundestag,Nordrhein-Westfalen
Holzapfel,Carl-Wolfgang,extern,Politaktivist,AfD,Landtag,Berlin
Kasper,Carlos,aktiv,MdB,SPD,Bundestag,Sachsen
Wegge,Carmen,aktiv,MdB,SPD,Bundestag,Bayern
Holzner,Carola,extern,Medizinerin,SPD,Landtag,Nordrhein-Westfalen
Veit,Carola,aktiv,MdL,SPD,Landtag,Hamburg
Bachmann,Carolin,aktiv,MdB,AfD,Bundestag,Sachsen
Schaller,Carolin,extern,keine Landtagsabgeordnete,SPD,Landtag,Bayern
Wagner,Carolin,aktiv,MdB,SPD,Bundestag,Bayern
Weitzel,Carolin,extern,Bürgermeisterin von Erftstadt,CDU,Landtag,Nordrhein-Westfalen
Trautner,Carolina,aktiv,MdL,CSU,Landtag,Bayern
Brodesser,Carsten,aktiv,MdB,CDU,Bundestag,Nordrhein-Westfalen
Körber,Carsten,aktiv,MdB,CDU,Bundestag,Sachsen
Linnemann,Carsten,aktiv,MdB,CDU,Bundestag,Nordrhein-Westfalen
Löcker,Carsten,aktiv,MdL,SPD,Landtag,Nordrhein-Westfalen
Müller,Carsten,aktiv,MdB,CDU,Bundestag,Niedersachsen
Schneider,Carsten,aktiv,MdB,SPD,Bundestag,Thüringen
Träger,Carsten,aktiv,MdB,SPD,Bundestag,Bayern
Firnhaber,Catarina dos Santos,aktiv,MdB,CDU,Bundestag,Nordrhein-Westfalen
Özdemir,Cem,aktiv,MdB,Grüne,Bundestag,Baden-Württemberg
Bozoglu,Cemal,aktiv,MdL,Grüne,Landtag,Bayern
Kopf,Chantal,aktiv,MdB,Grüne,Bundestag,Baden-Württemberg
Baldauf,Christian,aktiv,MdL,CDU,Landtag,Rheinland-Pfalz
Bernreiter,Christian,extern,Landrat des Landkreises Deggendorf,CSU,Landtag,Bayern
Dahm,Christian,aktiv,MdL,SPD,Landtag,Nordrhein-Westfalen
Drosten,Christian,extern,Virologe,Grüne,Landtag,Berlin
Dürr,Christian,aktiv,MdB,FDP,Bundestag,Niedersachsen
Flisek,Christian,aktiv,MdL,SPD,Landtag,Bayern
Gehring,Christian,aktiv,MdL,CDU,Landtag,Baden-Württemberg
Görke,Christian,aktiv,MdB,Linke,Bundestag,Brandenburg
Haase,Christian,aktiv,MdB,CDU,Bundestag,Nordrhein-Westfalen
Hartmann,Christian,aktiv,MdL,CDU,Landtag,Sachsen
Hirte,Christian,aktiv,MdB,CDU,Bundestag,Thüringen
Jung,Christian,aktiv,MdL,FDP/DVP,Landtag,Baden-Württemberg
Karagiannidis,Christian,extern,Mediziner,Grüne,Landtag,Nordrhein-Westfalen
Kühn,Christian,aktiv,MdB,Grüne,Bundestag,Baden-Württemberg
Kullmann,Christian,extern,Unternehmer,CDU,Landtag,Nordrhein-Westfalen
Leye,Christian,aktiv,MdB,Linke,Bundestag,Nordrhein-Westfalen
Lindner,Christian,aktiv,MdB,FDP,Bundestag,Nordrhein-Westfalen
Loose,Christian,aktiv,MdL,AfD,Landtag,Nordrhein-Westfalen
Mangen,Christian,aktiv,MdL,FDP,Landtag,Nordrhein-Westfalen
Petry,Christian,aktiv,MdB,SPD,Bundestag,Saarland
Sauter,Christian,aktiv,MdB,FDP,Bundestag,Nordrhein-Westfalen
Schaft,Christian,aktiv,MdL,Linke,Landtag,Thüringen
Schreider,Christian,aktiv,MdB,SPD,Bundestag,Rheinland-Pfalz
Streich,Christian,extern,Fußballtrainer des SC Freiburg,Grüne,Landtag,Baden-Württemberg
Stetten,Christian von,aktiv,MdB,CDU,Bundestag,Baden-Württemberg
Wirth,Christian,aktiv,MdB,AfD,Bundestag,Saarland
Schenderlein,Christiane,aktiv,MdB,CDU,Bundestag,Sachsen
Schories,Christiane,extern,Krankenpflegerin,Linke,Landtag,Hessen
Staab,Christiane,aktiv,MdL,CDU,Landtag,Baden-Württemberg
Schröder,Christina-Johanne,aktiv,MdB,Grüne,Bundestag,Niedersachsen
Baum,Christina,aktiv,MdB,AfD,Bundestag,Baden-Württemberg
Buchheim,Christina,aktiv,MdL,Linke,Landtag,Sachsen-Anhalt
Kampmann,Christina,aktiv,MdL,SPD,Landtag,Nordrhein-Westfalen
Föcking,Christina Schulze,aktiv,MdL,CDU,Landtag,Nordrhein-Westfalen
Stumpp,Christina,aktiv,MdB,CDU,Bundestag,Baden-Württemberg
Aschenberg-Dugnus,Christine,aktiv,MdB,FDP,Bundestag,Schleswig-Holstein
Lieberknecht,Christine,extern,Ministerpräsidentin a. D.,CDU,Landtag,Thüringen
Schnittker,Christine,aktiv,MdL,CDU,Landtag,Bremen
Rasche,Christof,aktiv,MdL,FDP,Landtag,Nordrhein-Westfalen
Vries,Christoph de,aktiv,MdB,CDU,Bundestag,Hamburg
Degen,Christoph,aktiv,MdL,SPD,Landtag,Hessen
Eilers,Christoph,aktiv,MdL,CDU,Landtag,Niedersachsen
Hoffmann,Christoph,aktiv,MdB,FDP,Bundestag,Baden-Württemberg
Meyer,Christoph,aktiv,MdB,FDP,Bundestag,Berlin
Ploß,Christoph,aktiv,MdB,CDU,Bundestag,Hamburg
Schmid,Christoph,aktiv,MdB,SPD,Bundestag,Bayern
Vogt,Christopher,aktiv,MdL,FDP,Landtag,Schleswig-Holstein
Katzidis,Christos,aktiv,MdL,CDU,Landtag,Nordrhein-Westfalen
Pantazis,Christos,aktiv,MdB,SPD,Bundestag,Niedersachsen
Holmberg,Cindy,aktiv,MdL,Grüne,Landtag,Baden-Württemberg
Bünger,Clara,aktiv,MdB,Linke,Bundestag,
Schweizer,Clara Jasmin,extern,Jugendrätin in Nürtingen,Grüne,Landtag,Baden-Württemberg
Kalisch,Claudia,extern,Oberbürgermeisterin von Lüneburg,Grüne,Landtag,Niedersachsen
Köhler,Claudia,aktiv,MdL,Grüne,Landtag,Bayern
Moll,Claudia,aktiv,MdB,SPD,Bundestag,Nordrhein-Westfalen
Müller,Claudia,aktiv,MdB,Grüne,Bundestag,Mecklenburg-Vorpommern
Raffelhüschen,Claudia,aktiv,MdB,FDP,Bundestag,Baden-Württemberg
Ravensburg,Claudia,aktiv,MdL,CDU,Landtag,Hessen
Roth,Claudia,aktiv,MdB,Grüne,Bundestag,Bayern
Tausend,Claudia,aktiv,MdB,SPD,Bundestag,Bayern
Theobald,Claudia,extern,Vorsitzende des Kita-Fachkräfteverbands Rheinland-Pfalz,CDU,Landtag,Rheinland-Pfalz
Thiemann,Colette Christin,aktiv,MdL,CDU,Landtag,Niedersachsen
Miazga,Corinna,aktiv,MdB,AfD,Bundestag,Bayern
Rüffer,Corinna,aktiv,MdB,Grüne,Bundestag,Rheinland-Pfalz
Lüddemann,Cornelia,aktiv,MdL,Grüne,Landtag,Sachsen-Anhalt
Möhring,Cornelia,aktiv,MdB,Linke,Bundestag,Schleswig-Holstein
Nikolay,Cornelia,extern,Intensivpflegerin,CDU,Landtag,Rheinland-Pfalz
Seibeld,Cornelia,aktiv,MdL,CDU,Landtag,Berlin
Andres,Dagmar,aktiv,MdB,SPD,Bundestag,Nordrhein-Westfalen
Schmidt,Dagmar,aktiv,MdB,SPD,Bundestag,Hessen
Lohr,Damian,aktiv,MdL,AfD,Landtag,Rheinland-Pfalz
Baldy,Daniel,aktiv,MdB,SPD,Bundestag,Rheinland-Pfalz
Born,Daniel,aktiv,MdL,SPD,Landtag,Baden-Württemberg
Föst,Daniel,aktiv,MdB,FDP,Bundestag,Bayern
Günther,Daniel,aktiv,MdL,CDU,Landtag,Schleswig-Holstein
Hagemeier,Daniel,aktiv,MdL,CDU,Landtag,Nordrhein-Westfalen
Keller,Daniel,aktiv,MdL,SPD,Landtag,Brandenburg
Schneider,Daniel,aktiv,MdB,SPD,Bundestag,Niedersachsen
Sieveke,Daniel,aktiv,MdL,CDU,Landtag,Nordrhein-Westfalen
Sturm,Daniel,aktiv,MdL,CDU,Landtag,Sachsen-Anhalt
Behrens,Daniela,extern,Landesministerin,SPD,Landtag,Niedersachsen
Beihl,Daniela,aktiv,MdL,FDP,Landtag,Nordrhein-Westfalen
Cavallo,Daniela,extern,VW-Betriebsratsvorsitzende,SPD,Landtag,Niedersachsen
Kluckert,Daniela,aktiv,MdB,FDP,Bundestag,Berlin
Ludwig,Daniela,aktiv,MdB,CSU,Bundestag,Bayern
Schmitt,Daniela,aktiv,MdL,FDP,Landtag,Rheinland-Pfalz
Tërstena,Dardan,extern,Gewerkschafter,CDU,Landtag,Saarland
McAllister,David,extern,Europaabgeordneter,CDU,Landtag,Niedersachsen
Düring,Deborah,aktiv,MdB,Grüne,Bundestag,Hessen
Loop,Denise,aktiv,MdB,Grüne,Bundestag,Schleswig-Holstein
M'Baye,Denise,extern,Schauspielerin und Sängerin,SPD,Landtag,Niedersachsen
Birnstock,Dennis,aktiv,MdL,FDP/DVP,Landtag,Baden-Württemberg
Buchner,Dennis,aktiv,MdL,SPD,Landtag,Berlin
Gladiator,Dennis,aktiv,MdL,CDU,Landtag,Hamburg
Lander,Dennis,aktiv,MdL,Linke,Landtag,Saarland
Radtke,Dennis,extern,Europaabgeordneter,CDU,Landtag,Nordrhein-Westfalen
Rohde,Dennis,aktiv,MdB,SPD,Bundestag,Niedersachsen
Thering,Dennis,aktiv,MdL,CDU,Landtag,Hamburg
Çaglar,Derya,aktiv,MdL,SPD,Landtag,Berlin
Türk-Nachbaur,Derya,aktiv,MdB,SPD,Bundestag,Baden-Württemberg
Müller,Detlef,aktiv,MdB,SPD,Bundestag,Sachsen
Prinz,Detlef,extern,Journalist und Medienunternehmer,SPD,Landtag,Berlin
Seif,Detlef,aktiv,MdB,CDU,Bundestag,Nordrhein-Westfalen
Simon,Detlef,extern,Künstler,SPD,Landtag,Niedersachsen
Stachowitz,Diana,aktiv,MdL,SPD,Landtag,Bayern
Stöcker,Diana,aktiv,MdB,CDU,Bundestag,Baden-Württemberg
Althaus,Dieter,extern,Ministerpräsident a. D.,CDU,Landtag,Thüringen
Beck,Dieter,extern,kein Landtagsabgeordneter,AfD,Landtag,Mecklenburg-Vorpommern
Janecek,Dieter,aktiv,MdB,Grüne,Bundestag,Bayern
Nuhr,Dieter,extern,Kabarettist,FDP,Landtag,Nordrhein-Westfalen
Puhl,Dieter,extern,ehemaliger Leiter der Bahnhofsmission am Zoo,SPD,Landtag,Berlin
Stier,Dieter,aktiv,MdB,CDU,Bundestag,Sachsen-Anhalt
Bär,Dietmar,extern,Schauspieler,SPD,Landtag,Nordrhein-Westfalen
Bartsch,Dietmar,aktiv,MdB,Linke,Bundestag,Mecklenburg-Vorpommern
Brockes,Dietmar,aktiv,MdL,FDP,Landtag,Nordrhein-Westfalen
