land,country,continent,date,erste,ersterate,zweite,zweiterate,population
Südamerika,South America,Kontinent,2021-01-18,     25973,0.01,8371,0,434260137
Spanien,Spain,Europa,2021-01-18,    895627,1.92,2315,0,46745211
Schweiz,Switzerland,Europa,2021-01-18,    105626,1.21,1071,0.01,8715494
Großbritannien,United Kingdom,Europa,2021-01-18,   4266577,6.26,456866,0.67,68207114
USA,United States,Nordamerika,2021-01-18,  16825182,5.07,2686189,0.81,332915074
Welt,World,Welt,2021-01-18,  33404699,0.42,3959075,0.05,7874965730
Niederlande,Netherlands,Europa,2021-01-18,     76959,0.45,1098,0.01,17173094
Schweden,Sweden,Europa,2021-01-18,    132292,1.3,559,0.01,10160159
VAE,United Arab Emirates,Asien,2021-01-18,    836568,8.37,250000,2.5,9991083
Asien,Asia,Kontinent,2021-01-19,   4039775,0.09,844457,0.02,4678444992
Österreich,Austria,Europa,2021-01-19,    151699,1.68,2815,0.03,9043072
Belgien,Belgium,Europa,2021-01-19,    158111,1.36,854,0.01,11632334
Bulgarien,Bulgaria,Europa,2021-01-19,     19058,0.28,3168,0.05,6896655
Kanada,Canada,Nordamerika,2021-01-19,    635558,1.67,24774,0.07,38067913
Chile,Chile,Südamerika,2021-01-19,     44232,0.23,8372,0.04,19212362
Tschechien,Czechia,Europa,2021-01-19,    147344,1.37,5202,0.05,10724553
Dänemark,Denmark,Europa,2021-01-19,    164794,2.83,4538,0.08,5813302
Estland,Estonia,Europa,2021-01-19,     19469,1.47,887,0.07,1325188
Europa,Europe,Kontinent,2021-01-19,  12544267,1.67,614275,0.08,748962983
Europa,European Union,Kontinent,2021-01-19,   6723008,1.5,150652,0.03,447189915
Frankreich,France,Europa,2021-01-19,    669746,0.99,405,0,67564251
Deutschland,Germany,Europa,2021-01-19,   1351332,1.61,72947,0.09,83900471
Griechenland,Greece,Europa,2021-01-19,     93382,0.9,1072,0.01,10370747
Ungarn,Hungary,Europa,2021-01-19,    130318,1.35,2939,0.03,9634162
Irland,Ireland,Europa,2021-01-19,    118624,2.38,65,0,4982904
Israel,Israel,Asien,2021-01-19,   2353803,25.33,591181,6.36,9291000
Italien,Italy,Europa,2021-01-19,   1297765,2.15,9879,0.02,60367471
Lettland,Latvia,Europa,2021-01-19,     16513,0.88,1421,0.08,1866934
Litauen,Lithuania,Europa,2021-01-19,     56444,2.1,6706,0.25,2689862
Luxemburg,Luxembourg,Europa,2021-01-19,      4503,0.71,794,0.13,634814
Mexiko,Mexico,Nordamerika,2021-01-19,    488513,0.38,9609,0.01,130262220
Nordamerika,North America,Kontinent,2021-01-19,  18943990,3.18,3072088,0.51,596581283
Norwegen,Norway,Europa,2021-01-19,     58720,1.07,1223,0.02,5465629
Oman,Oman,Asien,2021-01-19,     24773,0.47,3276,0.06,5223376
Polen,Poland,Europa,2021-01-19,    530055,1.4,11174,0.03,37797000
Portugal,Portugal,Europa,2021-01-19,    151434,1.49,9032,0.09,10167923
Rumänien,Romania,Europa,2021-01-19,    267425,1.4,2621,0.01,19127772
Slowakei,Slovakia,Europa,2021-01-19,     80048,1.47,1166,0.02,5460726
Slowenien,Slovenia,Europa,2021-01-19,     50131,2.41,1969,0.09,2078723
Südamerika,South America,Kontinent,2021-01-19,     57759,0.01,8372,0,434260137
Spanien,Spain,Europa,2021-01-19,    956756,2.05,9341,0.02,46745211
Schweiz,Switzerland,Europa,2021-01-19,    122077,1.4,1775,0.02,8715494
Großbritannien,United Kingdom,Europa,2021-01-19,   4609740,6.76,460625,0.68,68207114
USA,United States,Nordamerika,2021-01-19,  17788997,5.36,3037573,0.91,332915074
Welt,World,Welt,2021-01-19,  35596767,0.45,4539192,0.06,7874965730
Costa Rica,Costa Rica,Nordamerika,2021-01-19,     29257,0.57,132,0,5139053
Niederlande,Netherlands,Europa,2021-01-19,     76959,0.45,1098,0.01,17173094
Schweden,Sweden,Europa,2021-01-19,    132292,1.3,559,0.01,10160159
VAE,United Arab Emirates,Asien,2021-01-19,    836568,8.37,250000,2.5,9991083
Argentinien,Argentina,Südamerika,2021-01-20,    243539,0.53,4394,0.01,45605823
Asien,Asia,Kontinent,2021-01-20,   4248703,0.09,989607,0.02,4678444992
Österreich,Austria,Europa,2021-01-20,    174132,1.93,4146,0.05,9043072
Belgien,Belgium,Europa,2021-01-20,    179370,1.54,1344,0.01,11632334
Bulgarien,Bulgaria,Europa,2021-01-20,     19834,0.29,4293,0.06,6896655
Kanada,Canada,Nordamerika,2021-01-20,    665993,1.75,37468,0.1,38067913
Chile,Chile,Südamerika,2021-01-20,     53542,0.28,8372,0.04,19212362
Tschechien,Czechia,Europa,2021-01-20,    161024,1.5,7862,0.07,10724553
Dänemark,Denmark,Europa,2021-01-20,    166223,2.86,6274,0.11,5813302
Estland,Estonia,Europa,2021-01-20,     20321,1.53,1521,0.11,1325188
Europa,Europe,Kontinent,2021-01-20,  13452327,1.8,729148,0.1,748962983
Europa,European Union,Kontinent,2021-01-20,   7210551,1.61,260011,0.06,447189915
Frankreich,France,Europa,2021-01-20,    807016,1.19,559,0,67564251
Deutschland,Germany,Europa,2021-01-20,   1430350,1.7,126712,0.15,83900471
Griechenland,Greece,Europa,2021-01-20,    108167,1.04,1664,0.02,10370747
Ungarn,Hungary,Europa,2021-01-20,    134554,1.4,4030,0.04,9634162
Island,Iceland,Europa,2021-01-20,      5725,1.67,480,0.14,343360
Irland,Ireland,Europa,2021-01-20,    127039,2.55,1019,0.02,4982904
Israel,Israel,Asien,2021-01-20,   2430548,26.16,734832,7.91,9291000
Italien,Italy,Europa,2021-01-20,   1324629,2.19,14482,0.02,60367471
Lettland,Latvia,Europa,2021-01-20,     16543,0.89,2182,0.12,1866934
Litauen,Lithuania,Europa,2021-01-20,     58063,2.16,8552,0.32,2689862
Luxemburg,Luxembourg,Europa,2021-01-20,      4954,0.78,1243,0.2,634814
Mexiko,Mexico,Nordamerika,2021-01-20,    489628,0.38,11402,0.01,130262220
Nordamerika,North America,Kontinent,2021-01-20,  20127733,3.37,3504161,0.59,596581283
Norwegen,Norway,Europa,2021-01-20,     68867,1.26,1933,0.04,5465629
Oman,Oman,Asien,2021-01-20,     24773,0.47,4775,0.09,5223376
Polen,Poland,Europa,2021-01-20,    566793,1.5,24992,0.07,37797000
Portugal,Portugal,Europa,2021-01-20,    171192,1.68,18207,0.18,10167923
Rumänien,Romania,Europa,2021-01-20,    302571,1.58,5813,0.03,19127772
