land,country,continent,date,erste,ersterate,zweite,zweiterate,population
USA,United States,Nordamerika,2021-07-28, 192529933,57.99,166362828,50.11,332915074
Uruguay,Uruguay,Südamerika,2021-07-28,   2562352,73.52,2206315,63.31,3485152
Vietnam,Vietnam,Asien,2021-07-28,   4825209,4.92,496630,0.51,98168829
Welt,World,Welt,2021-07-28,2190073670,27.81,892284808,11.33,7874965730
Sambia,Zambia,Afrika,2021-07-28,    282556,1.49,118083,0.62,18920657
Simbabwe,Zimbabwe,Afrika,2021-07-28,   1593365,10.56,730398,4.84,15092171
Afghanistan,Afghanistan,Asien,2021-07-28,    742934,1.87,219159,0.55,39835428
Albanien,Albania,Europa,2021-07-28,    640047,22.28,498724,17.36,2872934
Andorra,Andorra,Europa,2021-07-28,     48445,62.63,33904,43.83,77354
Angola,Angola,Afrika,2021-07-28,    958373,2.82,634164,1.87,33933611
Anguilla,Anguilla,Nordamerika,2021-07-28,      9398,62.14,8603,56.88,15125
Armenien,Armenia,Europa,2021-07-28,    108674,3.66,43855,1.48,2968128
Bahamas,Bahamas,Nordamerika,2021-07-28,     60578,15.26,43943,11.07,396914
Belarus,Belarus,Europa,2021-07-28,   1334540,14.13,860453,9.11,9442867
Benin,Benin,Afrika,2021-07-28,     43377,0.35,14509,0.12,12451031
Bermuda,Bermuda,Nordamerika,2021-07-28,     41651,67.08,40817,65.74,62092
Bosnien und Herzeg.,Bosnia and Herzegovina,Europa,2021-07-28,    388445,11.9,235393,7.21,3263459
Botswana,Botswana,Afrika,2021-07-28,    227982,9.51,124425,5.19,2397240
Britische Jungferninseln,British Virgin Islands,Nordamerika,2021-07-28,     15620,51.34,10881,35.77,30423
Kamerun,Cameroon,Afrika,2021-07-28,    279987,1.03,51888,0.19,27224262
Kap Verde,Cape Verde,Afrika,2021-07-28,    141276,25.14,18170,3.23,561901
Cayman Islands,Cayman Islands,Nordamerika,2021-07-28,     49672,74.7,47321,71.16,66498
Tschad,Chad,Afrika,2021-07-28,     21581,0.13,7229,0.04,16914985
Komoren,Comoros,Afrika,2021-07-28,     84740,9.54,41220,4.64,888456
Cookinseln,Cook Islands,Asien,2021-07-28,     10931,62.21,9578,54.51,17572
Costa Rica,Costa Rica,Nordamerika,2021-07-28,   2573189,50.07,851089,16.56,5139053
DR Kongo,Democratic Republic of Congo,Afrika,2021-07-28,     78871,0.09,2513,0,92377986
Dschibuti,Djibouti,Afrika,2021-07-28,     12547,1.25,8810,0.88,1002197
Dominica,Dominica,Nordamerika,2021-07-28,     20784,28.8,19550,27.09,72172
Ägypten,Egypt,Afrika,2021-07-28,   3697974,3.55,1639532,1.57,104258327
Äquatorialguinea,Equatorial Guinea,Afrika,2021-07-28,    178913,12.34,122500,8.45,1449891
Eswatini,Eswatini,Afrika,2021-07-28,     38326,3.27,27341,2.33,1172369
Falkland Inseln,Falkland Islands,Südamerika,2021-07-28,      2632,74.6,1775,50.31,3528
Fiji,Fiji,Asien,2021-07-28,    441171,48.86,97268,10.77,902899
Französisch-Polynesien,French Polynesia,Asien,2021-07-28,     83210,29.45,70827,25.07,282534
Gabun,Gabon,Afrika,2021-07-28,     52830,2.32,34351,1.51,2278829
Gambia,Gambia,Afrika,2021-07-28,     31254,1.26,12303,0.49,2486937
Georgien,Georgia,Europa,2021-07-28,    288573,7.25,144222,3.62,3979773
Ghana,Ghana,Afrika,2021-07-28,    865422,2.73,405971,1.28,31732128
Gibraltar,Gibraltar,Europa,2021-07-28,     39329,100,39077,100,33691
Grenada,Grenada,Nordamerika,2021-07-28,     21014,18.59,15510,13.72,113015
Guernsey,Guernsey,Europa,2021-07-28,     32969,52.01,13618,21.48,63385
Guinea Bissau,Guinea-Bissau,Afrika,2021-07-28,     24000,1.19,1225,0.06,2015490
Honduras,Honduras,Nordamerika,2021-07-28,   1511974,15.03,194020,1.93,10062994
Island,Iceland,Europa,2021-07-28,    267830,78,253666,73.88,343360
Iran,Iran,Asien,2021-07-28,   7741936,9.11,2426738,2.85,85028760
Irak,Iraq,Asien,2021-07-28,    826007,2.01,494900,1.2,41179351
Jamaika,Jamaica,Nordamerika,2021-07-28,    178728,6.01,122174,4.11,2973462
Jordanien,Jordan,Asien,2021-07-28,   2878541,28.03,2150078,20.94,10269022
Kuwait,Kuwait,Asien,2021-07-28,   1452148,33.55,923307,21.33,4328553
Laos,Laos,Asien,2021-07-28,   1038254,14.07,670727,9.09,7379358
Lesotho,Lesotho,Afrika,2021-07-28,     36637,1.7,19685,0.91,2159067
Liberia,Liberia,Afrika,2021-07-28,     79670,1.54,2542,0.05,5180208
Luxemburg,Luxembourg,Europa,2021-07-28,    103558,16.31,37865,5.96,634814
Mali,Mali,Afrika,2021-07-28,    145016,0.7,51846,0.25,20855724
Mauretanien,Mauritania,Afrika,2021-07-28,    177259,3.71,14835,0.31,4775110
Mauritius,Mauritius,Afrika,2021-07-28,    634013,49.79,522469,41.03,1273428
Monaco,Monaco,Europa,2021-07-28,     21796,55.15,18834,47.66,39520
Montserrat,Montserrat,Nordamerika,2021-07-28,      1439,28.89,1291,25.92,4981
Mosambik,Mozambique,Afrika,2021-07-28,    372085,1.16,318955,0.99,32163045
Myanmar,Myanmar,Asien,2021-07-28,   1840758,3.36,1527284,2.79,54806014
Nauru,Nauru,Asien,2021-07-28,      7533,69.28,7251,66.69,10873
Niederlande,Netherlands,Europa,2021-07-28,  12112754,70.53,9334307,54.35,17173094
Neu-Kaledonien,New Caledonia,Asien,2021-07-28,     66159,22.95,59583,20.67,288217
Nicaragua,Nicaragua,Nordamerika,2021-07-28,    252766,3.77,162874,2.43,6702379
Niger,Niger,Afrika,2021-07-28,    224803,0.89,30784,0.12,25130810
Nigeria,Nigeria,Afrika,2021-07-28,   2534205,1.2,1404740,0.66,211400704
Niue,Niue,Asien,2021-07-28,      1184,73.36,32,1.98,1614
Oman,Oman,Asien,2021-07-28,   1550910,29.69,336511,6.44,5223376
Pakistan,Pakistan,Asien,2021-07-28,  20060157,8.91,5188701,2.3,225199929
Palästina,Palestine,Asien,2021-07-28,    359349,6.88,231138,4.43,5222756
Papua-Neuguinea,Papua New Guinea,Asien,2021-07-28,     74771,0.82,8352,0.09,9119005
Philippinen,Philippines,Asien,2021-07-28,  11204316,10.09,6311060,5.68,111046910
Pitcairn,Pitcairn,Asien,2021-07-28,        47,100,30,63.83,47
Ruanda,Rwanda,Afrika,2021-07-28,    394067,2.97,252842,1.9,13276517
Saint Helena,Saint Helena,Afrika,2021-07-28,      4361,71.55,3531,57.93,6095
St. Vincent Grenadines,Saint Vincent and the Grenadines,Nordamerika,2021-07-28,     15711,14.12,9892,8.89,111269
Samoa,Samoa,Asien,2021-07-28,     60044,30,21070,10.53,200144
San Marino,San Marino,Europa,2021-07-28,     21768,64,21703,63.81,34010
São Tomé und Príncipe,Sao Tome and Principe,Afrika,2021-07-28,     32090,14.37,11870,5.31,223364
Senegal,Senegal,Afrika,2021-07-28,    640013,3.72,266544,1.55,17196308
Seychellen,Seychelles,Afrika,2021-07-28,     72882,73.69,68553,69.31,98910
Sierra Leone,Sierra Leone,Afrika,2021-07-28,     82145,1.01,15170,0.19,8141343
Singapur,Singapore,Asien,2021-07-28,   4267577,78.25,3158737,57.92,5453600
St. Martin,Sint Maarten (Dutch part),Nordamerika,2021-07-28,     23885,55.01,20157,46.42,43421
Salomon-Inseln,Solomon Islands,Asien,2021-07-28,     29429,4.18,9934,1.41,703995
Somalia,Somalia,Afrika,2021-07-28,    162655,0.99,87135,0.53,16359500
Afrika,South Africa,Kontinent,2021-07-28,   5580927,9.3,2580001,4.3,60041996
Südsudan,South Sudan,Afrika,2021-07-28,     52226,0.46,4763,0.04,11381377
Sudan,Sudan,Afrika,2021-07-28,    627833,1.4,182727,0.41,44909351
Schweden,Sweden,Europa,2021-07-28,   6312988,62.13,4063213,39.99,10160159
Syrien,Syria,Asien,2021-07-28,    121909,0.67,9312,0.05,18275704
Osttimor,Timor,Asien,2021-07-28,    276510,20.58,86759,6.46,1343875
Togo,Togo,Afrika,2021-07-28,    304278,3.59,149930,1.77,8478242
Tonga,Tonga,Asien,2021-07-28,     28753,26.93,10758,10.08,106759
Tunesien,Tunisia,Afrika,2021-07-28,   1699805,14.24,963633,8.07,11935764
Turkmenistan,Turkmenistan,Asien,2021-07-28,     32240,0.53,19506,0.32,6117933
Turks-und Caicosinseln,Turks and Caicos Islands,Nordamerika,2021-07-28,     24567,62.63,22696,57.86,39226
Uganda,Uganda,Afrika,2021-07-28,    537440,1.14,4129,0.01,47123533
Usbekistan,Uzbekistan,Asien,2021-07-28,   3667979,10.81,1023425,3.02,33935765
Vanuatu,Vanuatu,Asien,2021-07-28,     23881,7.59,114,0.04,314464
Venezuela,Venezuela,Südamerika,2021-07-28,   2900000,10.1,1100000,3.83,28704947
Wallis and Futuna,Wallis and Futuna,Asien,2021-07-28,      4629,41.73,4529,40.82,11094
Jemen,Yemen,Asien,2021-07-28,    298161,0.98,13322,0.04,30490639
Afrika,Africa,Kontinent,2021-07-29,  43143301,3.14,22487338,1.64,1373486472
Albanien,Albania,Europa,2021-07-29,    660756,23,519013,18.07,2872934
Antigua und Barbuda,Antigua and Barbuda,Nordamerika,2021-07-29,     38146,38.64,30704,31.1,98728
Argentinien,Argentina,Südamerika,2021-07-29,  24542819,53.82,6532982,14.32,45605823
Aruba,Aruba,Nordamerika,2021-07-29,     72758,67.87,64547,60.21,107195
Asien,Asia,Kontinent,2021-07-29,1313175545,28.07,274582678,5.87,4678444992
Australien,Australia,Asien,2021-07-29,   8237020,31.94,3762007,14.59,25788217
Österreich,Austria,Europa,2021-07-29,   5314994,58.77,4569774,50.53,9043072
Aserbaidschan,Azerbaijan,Europa,2021-07-29,   2777752,27.17,2020534,19.76,10223344
Bahrain,Bahrain,Asien,2021-07-29,   1106716,63.3,1051287,60.13,1748295
Bangladesch,Bangladesh,Asien,2021-07-29,   6883277,4.14,4306386,2.59,166303494
Barbados,Barbados,Nordamerika,2021-07-29,     99544,34.6,75779,26.34,287708
Belgien,Belgium,Europa,2021-07-29,   8045106,69.16,6727258,57.83,11632334
Belize,Belize,Nordamerika,2021-07-29,    128768,31.8,49681,12.27,404915
Bolivien,Bolivia,Südamerika,2021-07-29,   3061750,25.87,1563658,13.21,11832936
Brasilien,Brazil,Südamerika,2021-07-29, 103363365,48.3,40360686,18.86,213993441
Brunei,Brunei,Asien,2021-07-29,    132446,30,27508,6.23,441532
Bulgarien,Bulgaria,Europa,2021-07-29,   1022453,14.83,991535,14.38,6896655
Kambodscha,Cambodia,Asien,2021-07-29,   7131184,42.08,4670954,27.56,16946446
Kanada,Canada,Nordamerika,2021-07-29,  27002764,70.93,21994323,57.78,38067913
Cayman Islands,Cayman Islands,Nordamerika,2021-07-29,     49785,74.87,47411,71.3,66498
Tschad,Chad,Afrika,2021-07-29,     22445,0.13,7535,0.04,16914985
Chile,Chile,Südamerika,2021-07-29,  13825879,71.96,12483190,64.97,19212362
Kolumbien,Colombia,Südamerika,2021-07-29,  17032633,33.22,11892153,23.2,51265841
Kongo,Congo,Afrika,2021-07-29,    132671,2.35,66027,1.17,5657017
Zypern,Cyprus,Europa,2021-07-29,    530879,59.25,449525,50.17,896005
Tschechien,Czechia,Europa,2021-07-29,   5641094,52.6,4804289,44.8,10724553
Dänemark,Denmark,Europa,2021-07-29,   4166779,71.68,3124919,53.75,5813302
Dom. Rep.,Dominican Republic,Nordamerika,2021-07-29,   5524571,50.44,4174568,38.11,10953714
Ecuador,Ecuador,Südamerika,2021-07-29,   9543339,53.35,2364819,13.22,17888474
El Salvador,El Salvador,Nordamerika,2021-07-29,   2763989,42.4,1473747,22.61,6518500
Äquatorialguinea,Equatorial Guinea,Afrika,2021-07-29,    179210,12.36,127055,8.76,1449891
Estland,Estonia,Europa,2021-07-29,    633155,47.78,559845,42.25,1325188
Europa,Europe,Kontinent,2021-07-29, 365463932,48.8,293350969,39.17,748962983
Europa,European Union,Kontinent,2021-07-29, 263627924,58.95,217256214,48.58,447189915
Finnland,Finland,Europa,2021-07-29,   3661451,65.99,1834111,33.06,5548361
Frankreich,France,Europa,2021-07-29,  42032743,62.21,31822747,47.1,67564251
Georgien,Georgia,Europa,2021-07-29,    311747,7.83,153128,3.85,3979773
Deutschland,Germany,Europa,2021-07-29,  51503987,61.39,43117510,51.39,83900471
Gibraltar,Gibraltar,Europa,2021-07-29,     39334,100,39106,100,33691
Griechenland,Greece,Europa,2021-07-29,   5672206,54.69,5075546,48.94,10370747
Grönland,Greenland,Nordamerika,2021-07-29,     35782,62.92,23488,41.3,56868
Guatemala,Guatemala,Nordamerika,2021-07-29,   1701925,9.33,326960,1.79,18249868
Guyana,Guyana,Südamerika,2021-07-29,    250712,31.72,138624,17.54,790329
Haiti,Haiti,Nordamerika,2021-07-29,      5425,0.05,341,0,11541683
Hongkong,Hong Kong,Asien,2021-07-29,   3165712,41.91,2362188,31.28,7552800
Ungarn,Hungary,Europa,2021-07-29,   5617260,58.31,5428980,56.35,9634162
Indien,India,Asien,2021-07-29, 356140739,25.56,99893015,7.17,1393409033
Indonesien,Indonesia,Asien,2021-07-29,  46289942,16.75,19669222,7.12,276361788
Irland,Ireland,Europa,2021-07-29,   3332635,66.88,2794824,56.09,4982904
Israel,Israel,Asien,2021-07-29,   5797707,62.4,5377850,57.88,9291000
Italien,Italy,Europa,2021-07-29,  38198823,63.28,31038727,51.42,60367471
Japan,Japan,Asien,2021-07-29,  50259909,39.87,36381410,28.86,126050796
Jordanien,Jordan,Asien,2021-07-29,   2942904,28.66,2212826,21.55,10269022
Kasachstan,Kazakhstan,Europa,2021-07-29,   5275626,27.77,3535508,18.61,18994958
Kenia,Kenya,Afrika,2021-07-29,   1055341,1.92,652393,1.19,54985702
Kosovo,Kosovo,Europa,2021-07-29,    269706,15.13,130511,7.32,1782115
Kirgisistan,Kyrgyzstan,Asien,2021-07-29,    423415,6.39,115566,1.74,6628347
Lettland,Latvia,Europa,2021-07-29,    728797,39.04,677725,36.3,1866934
Libanon,Lebanon,Asien,2021-07-29,   1105750,16.34,821661,12.14,6769151
Liechtenstein,Liechtenstein,Europa,2021-07-29,     20756,54.26,18976,49.61,38254
Litauen,Lithuania,Europa,2021-07-29,   1401228,52.09,1238998,46.06,2689862
Macau,Macao,Asien,2021-07-29,    282047,42.84,220753,33.53,658391
Malaysia,Malaysia,Asien,2021-07-29,  13515650,41.24,6479517,19.77,32776195
Malta,Malta,Europa,2021-07-29,    398444,77.2,379016,73.44,516100
Mauretanien,Mauritania,Afrika,2021-07-29,    178483,3.74,15293,0.32,4775110
Mexiko,Mexico,Nordamerika,2021-07-29,  45066028,34.6,25205090,19.35,130262220
Montenegro,Montenegro,Europa,2021-07-29,    173101,27.56,152293,24.25,628051
Marokko,Morocco,Afrika,2021-07-29,  13388726,35.85,10094160,27.03,37344787
Namibia,Namibia,Afrika,2021-07-29,    159881,6.18,48069,1.86,2587344
Nepal,Nepal,Asien,2021-07-29,   3650733,12.3,1548803,5.22,29674920
Neuseeland,New Zealand,Asien,2021-07-29,   1118657,21.84,725148,14.16,5122600
Nordamerika,North America,Kontinent,2021-07-29, 286019467,47.94,225165864,37.74,596581283
Nordmazedonien,North Macedonia,Europa,2021-07-29,    506033,24.3,372257,17.87,2082661
Norwegen,Norway,Europa,2021-07-29,   3591214,65.71,1819207,33.28,5465629
Ozeanien,Oceania,Kontinent,2021-07-29,  10192191,23.58,4786481,11.07,43219954
Panama,Panama,Nordamerika,2021-07-29,   1717496,39.2,691399,15.78,4381583
Paraguay,Paraguay,Südamerika,2021-07-29,   2274966,31.51,332065,4.6,7219641
Peru,Peru,Südamerika,2021-07-29,   8084071,24.23,5049300,15.14,33359415
Philippinen,Philippines,Asien,2021-07-29,  11524212,10.38,7835715,7.06,111046910
Polen,Poland,Europa,2021-07-29,  18239525,48.26,17316491,45.81,37797000
Portugal,Portugal,Europa,2021-07-29,   7002806,68.87,5876834,57.8,10167923
Katar,Qatar,Asien,2021-07-29,   2044639,69.77,1707642,58.27,2930524
Rumänien,Romania,Europa,2021-07-29,   4975672,26.01,4845121,25.33,19127772
Russland,Russia,Europa,2021-07-29,  36024370,24.69,24061918,16.49,145912022
Saint Lucia,Saint Lucia,Nordamerika,2021-07-29,     32133,17.43,24418,13.24,184401
Saudi-Arabien,Saudi Arabia,Asien,2021-07-29,  18575016,52.56,7700888,21.79,35340680
Serbien,Serbia,Europa,2021-07-29,   2825616,41.12,2688949,39.13,6871547
Singapur,Singapore,Asien,2021-07-29,   4290278,78.67,3261603,59.81,5453600
Slowakei,Slovakia,Europa,2021-07-29,   2267222,41.52,1969415,36.07,5460726
Slowenien,Slovenia,Europa,2021-07-29,    938720,45.16,833242,40.08,2078723
Afrika,South Africa,Kontinent,2021-07-29,   5921627,9.86,2835930,4.72,60041996
Südamerika,South America,Kontinent,2021-07-29, 187634431,43.21,84098716,19.37,434260137
Südkorea,South Korea,Asien,2021-07-29,  18849989,36.74,7177738,13.99,51305184
Spanien,Spain,Europa,2021-07-29,  31851618,68.14,26933847,57.62,46745211
Sri Lanka,Sri Lanka,Asien,2021-07-29,   8718433,40.56,1994384,9.28,21497306
Surinam,Suriname,Südamerika,2021-07-29,    186012,31.43,56684,9.58,591798
Schweiz,Switzerland,Europa,2021-07-29,   4718204,54.14,4351553,49.93,8715494
Taiwan,Taiwan,Asien,2021-07-29,   7484172,31.37,342800,1.44,23855008
Thailand,Thailand,Asien,2021-07-29,  13225233,18.91,3786244,5.41,69950844
Trinidad Tobago,Trinidad and Tobago,Nordamerika,2021-07-29,    376226,26.81,189273,13.49,1403374
Türkei,Turkey,Europa,2021-07-29,  40661999,47.81,26437993,31.09,85042736
Ukraine,Ukraine,Europa,2021-07-29,   3437629,7.91,1938992,4.46,43466822
VAE,United Arab Emirates,Asien,2021-07-29,   7743985,77.51,6913213,69.19,9991083
Großbritannien,United Kingdom,Europa,2021-07-29,  46740832,68.53,37939061,55.62,68207114
USA,United States,Nordamerika,2021-07-29, 193026175,58.14,166607240,50.18,332915074
Uruguay,Uruguay,Südamerika,2021-07-29,   2566253,73.63,2222780,63.78,3485152
Vietnam,Vietnam,Asien,2021-07-29,   4983496,5.08,546402,0.56,98168829
Welt,World,Welt,2021-07-29,2205628867,28.01,904472046,11.49,7874965730
Sambia,Zambia,Afrika,2021-07-29,    283481,1.5,130293,0.69,18920657
Simbabwe,Zimbabwe,Afrika,2021-07-29,   1623583,10.76,751507,4.98,15092171
Afghanistan,Afghanistan,Asien,2021-07-29,    742934,1.87,219159,0.55,39835428
Andorra,Andorra,Europa,2021-07-29,     48445,62.63,33904,43.83,77354
Angola,Angola,Afrika,2021-07-29,    958373,2.82,634164,1.87,33933611
Anguilla,Anguilla,Nordamerika,2021-07-29,      9398,62.14,8603,56.88,15125
Armenien,Armenia,Europa,2021-07-29,    108674,3.66,43855,1.48,2968128
Bahamas,Bahamas,Nordamerika,2021-07-29,     60578,15.26,43943,11.07,396914
Belarus,Belarus,Europa,2021-07-29,   1334540,14.13,860453,9.11,9442867
Benin,Benin,Afrika,2021-07-29,     43377,0.35,14509,0.12,12451031
Bermuda,Bermuda,Nordamerika,2021-07-29,     41651,67.08,40817,65.74,62092
Bhutan,Bhutan,Asien,2021-07-29,    486242,62.35,460221,59.01,779900
Bosnien und Herzeg.,Bosnia and Herzegovina,Europa,2021-07-29,    388445,11.9,235393,7.21,3263459
Botswana,Botswana,Afrika,2021-07-29,    227982,9.51,124425,5.19,2397240
Britische Jungferninseln,British Virgin Islands,Nordamerika,2021-07-29,     15620,51.34,10881,35.77,30423
Kamerun,Cameroon,Afrika,2021-07-29,    279987,1.03,51888,0.19,27224262
Kap Verde,Cape Verde,Afrika,2021-07-29,    141276,25.14,18170,3.23,561901
Komoren,Comoros,Afrika,2021-07-29,     84740,9.54,41220,4.64,888456
Cookinseln,Cook Islands,Asien,2021-07-29,     10931,62.21,9578,54.51,17572
Costa Rica,Costa Rica,Nordamerika,2021-07-29,   2573189,50.07,851089,16.56,5139053
Kroatien,Croatia,Europa,2021-07-29,   1632151,39.99,1410550,34.56,4081657
Kuba,Cuba,Nordamerika,2021-07-29,   3504781,30.97,2560173,22.62,11317498
Curaçao,Curacao,Nordamerika,2021-07-29,     92386,56.06,81900,49.7,164796
DR Kongo,Democratic Republic of Congo,Afrika,2021-07-29,     78871,0.09,2513,0,92377986
Dschibuti,Djibouti,Afrika,2021-07-29,     12547,1.25,8810,0.88,1002197
Dominica,Dominica,Nordamerika,2021-07-29,     20784,28.8,19550,27.09,72172
Ägypten,Egypt,Afrika,2021-07-29,   3697974,3.55,1639532,1.57,104258327
Eswatini,Eswatini,Afrika,2021-07-29,     38326,3.27,27341,2.33,1172369
Färöer Inseln,Faeroe Islands,Europa,2021-07-29,     34657,70.65,29003,59.13,49053
Falkland Inseln,Falkland Islands,Südamerika,2021-07-29,      2632,74.6,1775,50.31,3528
Fiji,Fiji,Asien,2021-07-29,    441171,48.86,97268,10.77,902899
Französisch-Polynesien,French Polynesia,Asien,2021-07-29,     83210,29.45,70827,25.07,282534
Gabun,Gabon,Afrika,2021-07-29,     52830,2.32,34351,1.51,2278829
Gambia,Gambia,Afrika,2021-07-29,     31254,1.26,12303,0.49,2486937
Ghana,Ghana,Afrika,2021-07-29,    865422,2.73,405971,1.28,31732128
Grenada,Grenada,Nordamerika,2021-07-29,     21014,18.59,15510,13.72,113015
Guernsey,Guernsey,Europa,2021-07-29,     32969,52.01,13618,21.48,63385
Guinea,Guinea,Afrika,2021-07-29,    518105,3.84,287335,2.13,13497237
Guinea Bissau,Guinea-Bissau,Afrika,2021-07-29,     24000,1.19,1225,0.06,2015490
Honduras,Honduras,Nordamerika,2021-07-29,   1511974,15.03,194020,1.93,10062994
Island,Iceland,Europa,2021-07-29,    267830,78,253666,73.88,343360
Iran,Iran,Asien,2021-07-29,   7741936,9.11,2426738,2.85,85028760
Irak,Iraq,Asien,2021-07-29,    826007,2.01,494900,1.2,41179351
Isle of Man,Isle of Man,Europa,2021-07-29,     64871,75.95,58383,68.36,85410
Jamaika,Jamaica,Nordamerika,2021-07-29,    178728,6.01,122174,4.11,2973462
Jersey,Jersey,Europa,2021-07-29,     74267,73.48,67799,67.08,101073
Kuwait,Kuwait,Asien,2021-07-29,   1452148,33.55,923307,21.33,4328553
Laos,Laos,Asien,2021-07-29,   1038254,14.07,670727,9.09,7379358
Lesotho,Lesotho,Afrika,2021-07-29,     36637,1.7,19685,0.91,2159067
Liberia,Liberia,Afrika,2021-07-29,     79670,1.54,2542,0.05,5180208
Luxemburg,Luxembourg,Europa,2021-07-29,    103558,16.31,37865,5.96,634814
Malawi,Malawi,Afrika,2021-07-29,    410724,2.09,93471,0.48,19647681
Malediven,Maldives,Asien,2021-07-29,    321594,59.16,263067,48.39,543620
Mali,Mali,Afrika,2021-07-29,    145016,0.7,51846,0.25,20855724
Mauritius,Mauritius,Afrika,2021-07-29,    634013,49.79,522469,41.03,1273428
Moldawien,Moldova,Europa,2021-07-29,    538869,13.39,469986,11.68,4024025
Monaco,Monaco,Europa,2021-07-29,     21796,55.15,18834,47.66,39520
Mongolei,Mongolia,Asien,2021-07-29,   2161612,64.93,1965699,59.04,3329282
Montserrat,Montserrat,Nordamerika,2021-07-29,      1439,28.89,1291,25.92,4981
Mosambik,Mozambique,Afrika,2021-07-29,    372085,1.16,318955,0.99,32163045
Myanmar,Myanmar,Asien,2021-07-29,   1840758,3.36,1527284,2.79,54806014
Nauru,Nauru,Asien,2021-07-29,      7533,69.28,7251,66.69,10873
Niederlande,Netherlands,Europa,2021-07-29,  12112754,70.53,9334307,54.35,17173094
Neu-Kaledonien,New Caledonia,Asien,2021-07-29,     66159,22.95,59583,20.67,288217
Nicaragua,Nicaragua,Nordamerika,2021-07-29,    252766,3.77,162874,2.43,6702379
Niger,Niger,Afrika,2021-07-29,    224803,0.89,30784,0.12,25130810
Nigeria,Nigeria,Afrika,2021-07-29,   2534205,1.2,1404740,0.66,211400704
Niue,Niue,Asien,2021-07-29,      1184,73.36,32,1.98,1614
Oman,Oman,Asien,2021-07-29,   1550910,29.69,336511,6.44,5223376
Pakistan,Pakistan,Asien,2021-07-29,  20060157,8.91,5188701,2.3,225199929
Palästina,Palestine,Asien,2021-07-29,    359349,6.88,231138,4.43,5222756
Papua-Neuguinea,Papua New Guinea,Asien,2021-07-29,     74771,0.82,8352,0.09,9119005
Pitcairn,Pitcairn,Asien,2021-07-29,        47,100,30,63.83,47
Ruanda,Rwanda,Afrika,2021-07-29,    394067,2.97,252842,1.9,13276517
Saint Helena,Saint Helena,Afrika,2021-07-29,      4361,71.55,3531,57.93,6095
St. Kitts und Nevis,Saint Kitts and Nevis,Nordamerika,2021-07-29,     23755,44.36,19660,36.72,53546
St. Vincent Grenadines,Saint Vincent and the Grenadines,Nordamerika,2021-07-29,     15711,14.12,9892,8.89,111269
Samoa,Samoa,Asien,2021-07-29,     60044,30,21070,10.53,200144
San Marino,San Marino,Europa,2021-07-29,     21768,64,21703,63.81,34010
São Tomé und Príncipe,Sao Tome and Principe,Afrika,2021-07-29,     32090,14.37,11870,5.31,223364
Senegal,Senegal,Afrika,2021-07-29,    640013,3.72,266544,1.55,17196308
Seychellen,Seychelles,Afrika,2021-07-29,     72882,73.69,68553,69.31,98910
Sierra Leone,Sierra Leone,Afrika,2021-07-29,     82145,1.01,15170,0.19,8141343
St. Martin,Sint Maarten (Dutch part),Nordamerika,2021-07-29,     23885,55.01,20157,46.42,43421
Salomon-Inseln,Solomon Islands,Asien,2021-07-29,     29429,4.18,9934,1.41,703995
Somalia,Somalia,Afrika,2021-07-29,    162655,0.99,87135,0.53,16359500
Südsudan,South Sudan,Afrika,2021-07-29,     52226,0.46,4763,0.04,11381377
Sudan,Sudan,Afrika,2021-07-29,    627833,1.4,182727,0.41,44909351
Schweden,Sweden,Europa,2021-07-29,   6312988,62.13,4063213,39.99,10160159
Syrien,Syria,Asien,2021-07-29,    121909,0.67,9312,0.05,18275704
Tadschikistan,Tajikistan,Asien,2021-07-29,    524472,5.38,40450,0.41,9749625
Osttimor,Timor,Asien,2021-07-29,    276510,20.58,86759,6.46,1343875
Togo,Togo,Afrika,2021-07-29,    304278,3.59,149930,1.77,8478242
Tonga,Tonga,Asien,2021-07-29,     28753,26.93,10758,10.08,106759
Tunesien,Tunisia,Afrika,2021-07-29,   1699805,14.24,963633,8.07,11935764
Turkmenistan,Turkmenistan,Asien,2021-07-29,     32240,0.53,19506,0.32,6117933
Turks-und Caicosinseln,Turks and Caicos Islands,Nordamerika,2021-07-29,     24567,62.63,22696,57.86,39226
Uganda,Uganda,Afrika,2021-07-29,    537440,1.14,4129,0.01,47123533
Usbekistan,Uzbekistan,Asien,2021-07-29,   3667979,10.81,1023425,3.02,33935765
Vanuatu,Vanuatu,Asien,2021-07-29,     23881,7.59,114,0.04,314464
Venezuela,Venezuela,Südamerika,2021-07-29,   2900000,10.1,1100000,3.83,28704947
Wallis and Futuna,Wallis and Futuna,Asien,2021-07-29,      4629,41.73,4529,40.82,11094
Jemen,Yemen,Asien,2021-07-29,    298161,0.98,13322,0.04,30490639
Afrika,Africa,Kontinent,2021-07-30,  43436826,3.16,22627623,1.65,1373486472
Albanien,Albania,Europa,2021-07-30,    665632,23.17,525215,18.28,2872934
Anguilla,Anguilla,Nordamerika,2021-07-30,      9428,62.33,8765,57.95,15125
Argentinien,Argentina,Südamerika,2021-07-30,  24754641,54.28,6716433,14.73,45605823
Aruba,Aruba,Nordamerika,2021-07-30,     72787,67.9,64811,60.46,107195
Asien,Asia,Kontinent,2021-07-30,1322028577,28.26,279306923,5.97,4678444992
Australien,Australia,Asien,2021-07-30,   8344012,32.36,3865785,14.99,25788217
