Land,Kreis,Ort,Straße,Standort,lon,lat,z
Baden-Württemberg,Zollernalbkreis,Meßstetten,Geißbühlstraße,Details sind noch nicht bekannt,8.9887078,48.1858375,1
Baden-Württemberg,Landkreis Sigmaringen,Mengen,Flugplatz,Kaserne Sporthalle,9.3653289,48.0562024,1
Baden-Württemberg,Landkreis Bodenseekreis,Friedrichshafen,Neue Messe 1,Details sind noch nicht bekannt,9.5072751,47.6781865,1
Baden-Württemberg,Landkreis Biberach,Ummendorf,Schulstraße 31,Gemeindehalle,9.8287803,48.0613769,1
Baden-Württemberg,Stadtkreis Ulm,Ulm,Böfinger Straße 50,Messe,10.0150628,48.4158634,1
Baden-Württemberg,Landkreis Waldshut,Waldshut-Tiengen,Berliner Straße 2,Stadt-/Sporthalle,8.276046,47.6305195,1
Baden-Württemberg,Landkreis Konstanz,Singen,Hohgarten 4,Stadthalle,8.8325771,47.7612411,1
Baden-Württemberg,Landkreis Ortenaukreis,Lahr/Schwarzwald,Rheinstraße 15,Rheintalsporthalle,7.8325254,48.3447069,1
Baden-Württemberg,Landkreis Ortenaukreis,Offenburg,Schutterwälder Straße 3,Messe Offenburg-Ortenau,7.9350358,48.4621107,1
Baden-Württemberg,Landkreis Rottweil,Rottweil,Stadionstraße,Stadthalle,8.6285191,48.1541695,1
Baden-Württemberg,Landkreis Emmendingen,Kenzingen,Industriestraße 26,ehemaliger Aldi-Markt,7.7676525,48.2018332,1
Baden-Württemberg,Landkreis Lörrach,Lörrach,Beim Haagensteg 5,Freizeitcenter Impulsiv,7.6814623,47.63259,1
Baden-Württemberg,Landkreis Breisgau- Hochschwarzwald,Müllheim,Eisenbahnstraße 14,Betriebsgebäude,7.6046713,47.8091463,1
Baden-Württemberg,Landkreis Schwarzwald-Baar- Kreis,Villingen-Schwenningen,Waldeckweg 25,Tennishalle des Tennisclubs TCS Schwenningen e.V.,8.5424307,48.0501269,1
Baden-Württemberg,Landkreis Tuttlingen,Tuttlingen,Mühlenweg 27,Kreissporthalle,8.8052117,47.9875676,1
Baden-Württemberg,Stadtkreis Freiburg,Freiburg im Breisgau,Neuer Messplatz 1,Messe,7.8403115,48.0156785,1
Bayern,Aichbach-Friedberg,Dasing,Carl-von-Linde Straße 6,Details sind noch nicht bekannt,11.088263,48.3981088,1
Bayern,Aichbach-Friedberg,Aichach,Krankenhausstraße 11,Details sind noch nicht bekannt,11.1406996,48.462774,1
Bayern,Landkreis Altötting,Neuötting,Badstraße 1,Kreishallenbad,12.6898094,48.2341587,1
Bayern,Stadt Amberg,Amberg,Bruno-Hofer-Straße 8,Jugendzentrum Klärwerk,11.8669302,49.4347757,1
Bayern,Landkreis Amberg-Sulzbach,Sulzbach-Rosenberg,Obere Gartenstraße 3,Landkreis Cultur Center LCC,11.7471154,49.5039237,1
Bayern,Kreisfreie Stadt und Landkreis Ansbach,Ansbach,Gustav-Weißkopf-Straße,Details sind noch nicht bekannt,10.5580726,49.2976974,1
Bayern,Landkreis und Stadt Aschaffenburg,Hösbach,Siemensstraße 2,Details sind noch nicht bekannt,9.218297,50.0061621,1
Bayern,Landkreis Augsburg,Gablingen,Paul-Klee-Straße 13,Details sind noch nicht bekannt,10.8555708,48.4577322,1
Bayern,Landkreis Bad Kissingen,Bad Kissingen,Reithausplatz 2,Tattersall,10.0742091,50.2032523,1
